Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Left.Leg.Muscles.Envelope
 1.530000000000000e+00, 2.328472666449750e-01
 1.540000000000000e+00, 2.133477372259226e-01
 1.550000000000000e+00, 1.964056384453907e-01
 1.560000000000000e+00, 1.843566051453426e-01
 1.570000000000000e+00, 1.769916377800785e-01
 1.580000000000000e+00, 1.727453577039110e-01
 1.590000000000000e+00, 1.685952392502169e-01
 1.600000000000000e+00, 1.620958308655606e-01
 1.610000000000000e+00, 1.619988695494648e-01
 1.620000000000000e+00, 1.604450591735228e-01
 1.630000000000000e+00, 1.645349005128381e-01
 1.640000000000000e+00, 1.825485247256769e-01
 1.650000000000000e+00, 1.915730133631506e-01
 1.660000000000000e+00, 1.921116869874700e-01
 1.670000000000000e+00, 1.878997435587949e-01
 1.680000000000000e+00, 1.788098568984318e-01
 1.690000000000000e+00, 1.673904030166387e-01
 1.700000000000000e+00, 1.592561504473528e-01
 1.710000000000000e+00, 1.619352019500077e-01
 1.720000000000000e+00, 1.653218447020404e-01
 1.730000000000000e+00, 1.688640670993736e-01
 1.740000000000000e+00, 1.719923024408884e-01
 1.750000000000000e+00, 1.744402596665816e-01
 1.760000000000000e+00, 1.770921063255376e-01
 1.770000000000000e+00, 1.816108983713967e-01
 1.780000000000000e+00, 1.950644464852585e-01
 1.790000000000000e+00, 2.090173829504552e-01
 1.800000000000000e+00, 2.201596548728301e-01
 1.810000000000000e+00, 2.265649498300470e-01
 1.820000000000000e+00, 2.294621562125805e-01
 1.830000000000000e+00, 2.299968567425107e-01
 1.840000000000000e+00, 2.289946134831672e-01
 1.850000000000000e+00, 2.273963229733411e-01
 1.860000000000000e+00, 2.233295728618142e-01
 1.870000000000000e+00, 2.206706235374788e-01
 1.880000000000000e+00, 2.165462438493349e-01
 1.890000000000000e+00, 2.087892146746074e-01
 1.900000000000000e+00, 1.999364107694642e-01
 1.910000000000000e+00, 1.848548819632557e-01
 1.920000000000000e+00, 1.711003935489089e-01
 1.930000000000000e+00, 1.673960784273935e-01
 1.940000000000000e+00, 1.674904794567661e-01
 1.950000000000000e+00, 1.735922316548410e-01
 1.960000000000000e+00, 1.844783426549614e-01
 1.970000000000000e+00, 1.992897113796048e-01
 1.980000000000000e+00, 2.184626843633860e-01
 1.990000000000000e+00, 2.423712742229150e-01
 2.000000000000000e+00, 2.718205572447844e-01
 2.010000000000000e+00, 3.079359918162743e-01
 2.020000000000000e+00, 3.739754996873465e-01
 2.030000000000000e+00, 4.453193126701940e-01
 2.040000000000000e+00, 4.865569297978239e-01
 2.050000000000000e+00, 4.863615055100549e-01
 2.060000000000000e+00, 4.770337872194768e-01
 2.070000000000000e+00, 4.595340049856959e-01
 2.080000000000000e+00, 4.423741563061110e-01
 2.090000000000000e+00, 4.489621876925087e-01
 2.100000000000000e+00, 4.465989201480716e-01
 2.110000000000000e+00, 4.118882294430637e-01
 2.120000000000000e+00, 3.771402492913039e-01
 2.130000000000000e+00, 3.465239879185267e-01
 2.140000000000000e+00, 3.238241325953792e-01
 2.150000000000000e+00, 3.102635338960710e-01
 2.160000000000000e+00, 3.058501108932398e-01
 2.170000000000000e+00, 3.027942387907242e-01
 2.180000000000000e+00, 2.942135722755395e-01
 2.190000000000000e+00, 2.826348493815932e-01
 2.200000000000000e+00, 2.757660150803781e-01
 2.210000000000000e+00, 2.505797897846252e-01
 2.220000000000000e+00, 2.070166400703941e-01
 2.230000000000000e+00, 1.516368733432217e-01
 2.240000000000000e+00, 1.061946516957167e-01
 2.250000000000000e+00, 9.817624198368513e-02
 2.260000000000000e+00, 1.656522249872076e-01
 2.270000000000000e+00, 9.275432875162850e-01
 2.280000000000000e+00, 1.059385559243847e+00
 2.290000000000000e+00, 1.816438546639373e-01
 2.300000000000000e+00, 1.714834686316354e-01
 2.310000000000000e+00, 6.912407849820579e-02
 2.320000000000000e+00, 4.756646879052259e-02
 2.330000000000000e+00, 1.021116444428374e-01
 2.340000000000000e+00, 1.589458142977293e-01
 2.350000000000000e+00, 1.892913185480810e-01
 2.360000000000000e+00, 1.046592146885263e-01
 2.370000000000000e+00, 1.444909029959235e-01
 2.380000000000000e+00, 1.464732288704569e-01
 2.390000000000000e+00, 1.489085234251797e-01
 2.400000000000000e+00, 1.521732162156557e-01
 2.410000000000000e+00, 1.541839208432797e-01
 2.420000000000000e+00, 1.536054222669098e-01
 2.430000000000000e+00, 1.504474808821279e-01
 2.440000000000000e+00, 1.474048836386422e-01
 2.450000000000000e+00, 1.430060666617939e-01
 2.460000000000000e+00, 1.380686557305982e-01
 2.470000000000000e+00, 1.330659981165034e-01
 2.480000000000000e+00, 1.279358619550176e-01
 2.490000000000000e+00, 1.227184507676957e-01
 2.500000000000000e+00, 1.173062793025471e-01
 2.510000000000000e+00, 1.118156477444560e-01
 2.520000000000000e+00, 1.072378086596167e-01
 2.530000000000000e+00, 1.045520813395567e-01
 2.540000000000000e+00, 1.034633101874451e-01
 2.550000000000000e+00, 1.028171305841832e-01
 2.560000000000000e+00, 1.018485713128771e-01
 2.570000000000000e+00, 1.009589879592826e-01
 2.580000000000000e+00, 1.002908471126653e-01
 2.590000000000000e+00, 9.996079102699817e-02
 2.600000000000000e+00, 9.993460496090895e-02
 2.610000000000000e+00, 1.001434726121347e-01
 2.620000000000000e+00, 1.001566909832187e-01
 2.630000000000000e+00, 1.003355229568424e-01
 2.640000000000000e+00, 1.001632650638938e-01
 2.650000000000000e+00, 9.945483347277562e-02
 2.660000000000000e+00, 9.810919206741052e-02
 2.670000000000000e+00, 9.608611297955381e-02
 2.680000000000000e+00, 9.347578438684997e-02
 2.690000000000000e+00, 9.433704137304029e-02
 2.700000000000000e+00, 1.509704101131280e+00
 2.710000000000000e+00, 3.205743007683351e-01
 2.720000000000000e+00, 6.454550292336315e-02
 2.730000000000000e+00, 8.629356046205600e-02
 2.740000000000000e+00, 8.786533642012656e-02
 2.750000000000000e+00, 8.132371939259628e-02
 2.760000000000000e+00, 7.387325573915260e-02
 2.770000000000000e+00, 9.817798223871521e-02
 2.780000000000000e+00, 1.123759024805597e-01
