Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Acc
 1.530000000000000e+00,-5.008430628880729e-01
 1.540000000000000e+00, 5.392924751759810e-03
 1.550000000000000e+00, 4.267278583547355e-01
 1.560000000000000e+00, 6.868544919300099e-01
 1.570000000000000e+00, 7.568766375320592e-01
 1.580000000000000e+00, 7.019557184221398e-01
 1.590000000000000e+00, 6.503624845530882e-01
 1.600000000000000e+00, 6.951894117324166e-01
 1.610000000000000e+00, 8.473295532861752e-01
 1.620000000000000e+00, 1.068095630672262e+00
 1.630000000000000e+00, 1.303674765277131e+00
 1.640000000000000e+00, 1.495606726092062e+00
 1.650000000000000e+00, 1.590804246213896e+00
 1.660000000000000e+00, 1.559337945172351e+00
 1.670000000000000e+00, 1.407506349307906e+00
 1.680000000000000e+00, 1.171667260117202e+00
 1.690000000000000e+00, 9.047982035024825e-01
 1.700000000000000e+00, 6.669734147833607e-01
 1.710000000000000e+00, 5.049592741176800e-01
 1.720000000000000e+00, 4.285448072832029e-01
 1.730000000000000e+00, 4.067361091330547e-01
 1.740000000000000e+00, 3.816200575547840e-01
 1.750000000000000e+00, 2.893955460364009e-01
 1.760000000000000e+00, 7.752517779819453e-02
 1.770000000000000e+00,-2.880199654553481e-01
 1.780000000000000e+00,-7.957744375749300e-01
 1.790000000000000e+00,-1.346689154848498e+00
 1.800000000000000e+00,-1.793460966561796e+00
 1.810000000000000e+00,-2.047492032642075e+00
 1.820000000000000e+00,-2.106746717834254e+00
 1.830000000000000e+00,-2.008483260807231e+00
 1.840000000000000e+00,-1.803404279064928e+00
 1.850000000000000e+00,-1.577015379602596e+00
 1.860000000000000e+00,-1.221322376761403e+00
 1.870000000000000e+00,-1.010233021550897e+00
 1.880000000000000e+00,-7.644902015904718e-01
 1.890000000000000e+00,-4.027539112734905e-01
 1.900000000000000e+00,-4.397221475188608e-02
 1.910000000000000e+00, 3.620612164166189e-01
 1.920000000000000e+00, 7.446605275068401e-01
 1.930000000000000e+00, 1.031762155826056e+00
 1.940000000000000e+00, 1.152535101820302e+00
 1.950000000000000e+00, 1.054944664611279e+00
 1.960000000000000e+00, 7.335955134065365e-01
 1.970000000000000e+00, 2.494123296170659e-01
 1.980000000000000e+00,-2.971519355916227e-01
 1.990000000000000e+00,-8.301422287873224e-01
 2.000000000000000e+00,-1.326320738515986e+00
 2.010000000000000e+00,-1.761326742561143e+00
 2.020000000000000e+00,-2.248848234064355e+00
 2.030000000000000e+00,-2.641787918771758e+00
 2.040000000000000e+00,-3.025561454718648e+00
 2.050000000000000e+00,-3.326096841249205e+00
 2.060000000000000e+00,-3.458064829602542e+00
 2.070000000000000e+00,-3.351014453186157e+00
 2.080000000000000e+00,-2.988894278808568e+00
 2.090000000000000e+00,-2.404916259500633e+00
 2.100000000000000e+00,-1.659638071836773e+00
 2.110000000000000e+00,-8.182426085392155e-01
 2.120000000000000e+00, 7.359741611355156e-02
 2.130000000000000e+00, 1.007360337094914e+00
 2.140000000000000e+00, 2.029626120491767e+00
 2.150000000000000e+00, 3.233571666479741e+00
 2.160000000000000e+00, 4.709011487342985e+00
 2.170000000000000e+00, 6.454775452141036e+00
 2.180000000000000e+00, 8.719529268920708e+00
 2.190000000000000e+00, 1.104421204494290e+01
 2.200000000000000e+00, 1.353515732326420e+01
 2.210000000000000e+00, 1.591111316040717e+01
 2.220000000000000e+00, 1.792358549792892e+01
 2.230000000000000e+00, 1.928552728706294e+01
 2.240000000000000e+00, 1.972008097159325e+01
 2.250000000000000e+00, 1.904560591779956e+01
 2.260000000000000e+00, 1.393442059524584e+01
 2.270000000000000e+00,-1.636970301927412e+01
 2.280000000000000e+00, 4.081343589118556e+01
 2.290000000000000e+00, 6.969361607475142e+00
 2.300000000000000e+00, 2.936309948798787e+00
 2.310000000000000e+00,-7.610800524612444e-01
 2.320000000000000e+00,-3.974631172059187e+00
 2.330000000000000e+00,-6.597640705462972e+00
 2.340000000000000e+00,-8.604763841409580e+00
 2.350000000000000e+00,-1.011700952715286e+01
