Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Pos
 1.530000000000000e+00, 1.057102612673880e-01
 1.540000000000000e+00, 1.060165399151202e-01
 1.550000000000000e+00, 1.063219246314565e-01
 1.560000000000000e+00, 1.066672944997134e-01
 1.570000000000000e+00, 1.070781827563968e-01
 1.580000000000000e+00, 1.075626784603044e-01
 1.590000000000000e+00, 1.081174274026121e-01
 1.600000000000000e+00, 1.087388221046879e-01
 1.610000000000000e+00, 1.094315275070421e-01
 1.620000000000000e+00, 1.102101131618330e-01
 1.630000000000000e+00, 1.110957581093326e-01
 1.640000000000000e+00, 1.121110441450946e-01
 1.650000000000000e+00, 1.132742770581528e-01
 1.660000000000000e+00, 1.145944749507076e-01
 1.670000000000000e+00, 1.160685941902657e-01
 1.680000000000000e+00, 1.176820572443282e-01
 1.690000000000000e+00, 1.194121642945147e-01
 1.700000000000000e+00, 1.212332314224431e-01
 1.710000000000000e+00, 1.231222571438095e-01
 1.720000000000000e+00, 1.250632041664193e-01
 1.730000000000000e+00, 1.270479149593101e-01
 1.740000000000000e+00, 1.290732438072617e-01
 1.750000000000000e+00, 1.311356164611479e-01
 1.760000000000000e+00, 1.332249362967294e-01
 1.770000000000000e+00, 1.353194516377553e-01
 1.780000000000000e+00, 1.373828026145299e-01
 1.790000000000000e+00, 1.393658680683073e-01
 1.800000000000000e+00, 1.412160126100195e-01
 1.810000000000000e+00, 1.428900330362591e-01
 1.820000000000000e+00, 1.443625554117189e-01
 1.830000000000000e+00, 1.456270287769528e-01
 1.840000000000000e+00, 1.466924311195151e-01
 1.850000000000000e+00, 1.475778430087138e-01
 1.860000000000000e+00, 1.483077015522287e-01
 1.870000000000000e+00, 1.489130103609186e-01
 1.880000000000000e+00, 1.494178641608842e-01
 1.890000000000000e+00, 1.498481911821430e-01
 1.900000000000000e+00, 1.502381798330815e-01
 1.910000000000000e+00, 1.506245429681675e-01
 1.920000000000000e+00, 1.510467006223561e-01
 1.930000000000000e+00, 1.515417032823748e-01
 1.940000000000000e+00, 1.521370695718740e-01
 1.950000000000000e+00, 1.528439973729158e-01
 1.960000000000000e+00, 1.536526272233115e-01
 1.970000000000000e+00, 1.545318351842164e-01
 1.980000000000000e+00, 1.554363634938991e-01
 1.990000000000000e+00, 1.563103001125778e-01
 2.000000000000000e+00, 1.571018360380725e-01
 2.010000000000000e+00, 1.577617594314096e-01
 2.020000000000000e+00, 1.582446748924447e-01
 2.030000000000000e+00, 1.585042818936899e-01
 2.040000000000000e+00, 1.584998628724410e-01
 2.050000000000000e+00, 1.581942750084075e-01
 2.060000000000000e+00, 1.575588869168532e-01
 2.070000000000000e+00, 1.565816759814523e-01
 2.080000000000000e+00, 1.552736147635923e-01
 2.090000000000000e+00, 1.536703617484571e-01
 2.100000000000000e+00, 1.518293054437237e-01
 2.110000000000000e+00, 1.498238872870669e-01
 2.120000000000000e+00, 1.477374856129763e-01
 2.130000000000000e+00, 1.456591423957831e-01
 2.140000000000000e+00, 1.436830102598997e-01
 2.150000000000000e+00, 1.419128687312742e-01
 2.160000000000000e+00, 1.404706092729295e-01
 2.170000000000000e+00, 1.395061055915825e-01
 2.180000000000000e+00, 1.391939284234033e-01
 2.190000000000000e+00, 1.397512570482862e-01
 2.200000000000000e+00, 1.414186755216558e-01
 2.210000000000000e+00, 1.444376932674707e-01
 2.220000000000000e+00, 1.490417643361274e-01
 2.230000000000000e+00, 1.554273518933438e-01
 2.240000000000000e+00, 1.637260358738161e-01
 2.250000000000000e+00, 1.739782443048822e-01
 2.260000000000000e+00, 1.860610682645492e-01
 2.270000000000000e+00, 1.991174520726804e-01
 2.280000000000000e+00, 2.119949831033870e-01
 2.290000000000000e+00, 2.274367419275569e-01
 2.300000000000000e+00, 2.440722848493615e-01
 2.310000000000000e+00, 2.610070536518829e-01
 2.320000000000000e+00, 2.778737784532947e-01
 2.330000000000000e+00, 2.943528825642120e-01
 2.340000000000000e+00, 3.101824874385781e-01
 2.350000000000000e+00, 3.251598639133699e-01
 2.360000000000000e+00, 3.391350404260562e-01
 2.370000000000000e+00, 3.520121692960129e-01
 2.380000000000000e+00, 3.637429496151827e-01
 2.390000000000000e+00, 3.743178945518981e-01
 2.400000000000000e+00, 3.837558487768835e-01
 2.410000000000000e+00, 3.920941592802760e-01
 2.420000000000000e+00, 3.993831652908462e-01
 2.430000000000000e+00, 4.056844043479264e-01
 2.440000000000000e+00, 4.110705929582000e-01
 2.450000000000000e+00, 4.156257489332428e-01
 2.460000000000000e+00, 4.194442887998454e-01
 2.470000000000000e+00, 4.226293562592432e-01
 2.480000000000000e+00, 4.252905462565417e-01
 2.490000000000000e+00, 4.275401248173552e-01
 2.500000000000000e+00, 4.294885716802637e-01
 2.510000000000000e+00, 4.312414829057933e-01
 2.520000000000000e+00, 4.328979787673569e-01
 2.530000000000000e+00, 4.345494933420193e-01
 2.540000000000000e+00, 4.362777808169727e-01
 2.550000000000000e+00, 4.381507854667583e-01
 2.560000000000000e+00, 4.402161111468113e-01
 2.570000000000000e+00, 4.424945817374242e-01
 2.580000000000000e+00, 4.449784251853587e-01
 2.590000000000000e+00, 4.476372601590770e-01
 2.600000000000000e+00, 4.504299403845191e-01
 2.610000000000000e+00, 4.533161017825187e-01
 2.620000000000000e+00, 4.562635262983350e-01
 2.630000000000000e+00, 4.592519608522597e-01
 2.640000000000000e+00, 4.622731676390106e-01
 2.650000000000000e+00, 4.653299689461693e-01
 2.660000000000000e+00, 4.684272338094583e-01
 2.670000000000000e+00, 4.715615188780990e-01
 2.680000000000000e+00, 4.747114846857439e-01
 2.690000000000000e+00, 4.778350764252585e-01
 2.700000000000000e+00, 4.811326645632334e-01
 2.710000000000000e+00, 4.850379533515109e-01
 2.720000000000000e+00, 4.879308350917864e-01
 2.730000000000000e+00, 4.903716895680428e-01
 2.740000000000000e+00, 4.925664567034620e-01
 2.750000000000000e+00, 4.944858686129771e-01
 2.760000000000000e+00, 4.961355905329677e-01
 2.770000000000000e+00, 4.975451256981862e-01
 2.780000000000000e+00, 4.987613981928761e-01
 2.790000000000000e+00, 4.998403845302118e-01
 2.800000000000000e+00, 5.008426852403022e-01
 2.810000000000000e+00, 5.018080189848902e-01
 2.820000000000000e+00, 5.027436787389087e-01
 2.830000000000000e+00, 5.036100943850699e-01
 2.840000000000000e+00, 5.043142018971924e-01
 2.850000000000000e+00, 5.047128303493834e-01
 2.860000000000000e+00, 5.046258888659720e-01
 2.870000000000000e+00, 5.038590665626390e-01
 2.880000000000000e+00, 5.022305551243558e-01
 2.890000000000000e+00, 4.995943112795646e-01
 2.900000000000000e+00, 4.958560622037487e-01
 2.910000000000000e+00, 4.909812799274861e-01
 2.920000000000000e+00, 4.849940616142752e-01
 2.930000000000000e+00, 4.779645030752206e-01
 2.940000000000000e+00, 4.699841380665105e-01
 2.950000000000000e+00, 4.611497995942330e-01
 2.960000000000000e+00, 4.515440513971999e-01
 2.970000000000000e+00, 4.412292089496964e-01
 2.980000000000000e+00, 4.302419321527278e-01
 2.990000000000000e+00, 4.186208350749939e-01
 3.000000000000000e+00, 4.064029748660098e-01
 3.010000000000000e+00, 3.936355456206080e-01
 3.020000000000000e+00, 3.803840117207626e-01
 3.030000000000000e+00, 3.667312595113449e-01
 3.040000000000000e+00, 3.527717486167292e-01
 3.050000000000000e+00, 3.386050050406413e-01
 3.060000000000000e+00, 3.243300644740930e-01
 3.070000000000000e+00, 3.100411284256560e-01
 3.080000000000000e+00, 2.958245815686452e-01
 3.090000000000000e+00, 2.817535646860499e-01
 3.100000000000000e+00, 2.678754384462340e-01
 3.109999999999999e+00, 2.541975384539471e-01
 3.120000000000000e+00, 2.406836568656504e-01
 3.130000000000000e+00, 2.272653626932078e-01
 3.140000000000000e+00, 2.138615588692096e-01
