Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Vel
 1.530000000000000e+00, 3.228723188581567e-02
 1.540000000000000e+00, 2.980998119508636e-02
 1.550000000000000e+00, 3.197058511056404e-02
 1.560000000000000e+00, 3.753849686198849e-02
 1.570000000000000e+00, 4.475715250929695e-02
 1.580000000000000e+00, 5.205131428907891e-02
 1.590000000000000e+00, 5.881290530409457e-02
 1.600000000000000e+00, 6.554066478537331e-02
 1.610000000000000e+00, 7.325325961062198e-02
 1.620000000000000e+00, 8.283038553018841e-02
 1.630000000000000e+00, 9.468923750996050e-02
 1.640000000000000e+00, 1.086856449671179e-01
 1.650000000000000e+00, 1.241176998283091e-01
 1.660000000000000e+00, 1.398684107856026e-01
 1.670000000000000e+00, 1.547026322576562e-01
 1.680000000000000e+00, 1.675985003047753e-01
 1.690000000000000e+00, 1.779808276228775e-01
 1.700000000000000e+00, 1.858396857142958e-01
 1.710000000000000e+00, 1.916993491588184e-01
 1.720000000000000e+00, 1.963668695659239e-01
 1.730000000000000e+00, 2.005432741479100e-01
 1.740000000000000e+00, 2.044850549814471e-01
 1.750000000000000e+00, 2.078401329993274e-01
 1.760000000000000e+00, 2.096747366185619e-01
 1.770000000000000e+00, 2.086222626802999e-01
 1.780000000000000e+00, 2.032032906651353e-01
 1.790000000000000e+00, 1.924909727027703e-01
 1.800000000000000e+00, 1.767902220960861e-01
 1.810000000000000e+00, 1.575854571000567e-01
 1.820000000000000e+00, 1.368142633476829e-01
 1.830000000000000e+00, 1.162381134544601e-01
 1.840000000000000e+00, 9.717867575511037e-02
 1.850000000000000e+00, 8.027657746177415e-02
 1.860000000000000e+00, 6.628488867995019e-02
 1.870000000000000e+00, 5.512711168838891e-02
 1.880000000000000e+00, 4.625349557268171e-02
 1.890000000000000e+00, 4.041727500836097e-02
 1.900000000000000e+00, 3.818364437823542e-02
 1.910000000000000e+00, 3.977408938656415e-02
 1.920000000000000e+00, 4.530769810632685e-02
 1.930000000000000e+00, 5.418981152276040e-02
 1.940000000000000e+00, 6.511129781102126e-02
 1.950000000000000e+00, 7.614869664344513e-02
 1.960000000000000e+00, 8.509139753331693e-02
 1.970000000000000e+00, 9.000643674844512e-02
 1.980000000000000e+00, 8.976773871856435e-02
 1.990000000000000e+00, 8.413126789679336e-02
 2.000000000000000e+00, 7.334895306002781e-02
 2.010000000000000e+00, 5.791071565501983e-02
 2.020000000000000e+00, 3.785984077188994e-02
 2.030000000000000e+00, 1.340666000765735e-02
 2.040000000000000e+00,-1.493008686041518e-02
 2.050000000000000e+00,-4.668837833950858e-02
 2.060000000000000e+00,-8.060918669373539e-02
 2.070000000000000e+00,-1.146545831077832e-01
 2.080000000000000e+00,-1.463541267684622e-01
 2.090000000000000e+00,-1.733231794593751e-01
 2.100000000000000e+00,-1.936459511160585e-01
 2.110000000000000e+00,-2.060353545179359e-01
 2.120000000000000e+00,-2.097585804800737e-01
 2.130000000000000e+00,-2.043537917139139e-01
 2.140000000000000e+00,-1.891688594263403e-01
 2.150000000000000e+00,-1.628528704909140e-01
 2.160000000000000e+00,-1.231399547227826e-01
 2.170000000000000e+00,-6.732102002536249e-02
 2.180000000000000e+00, 8.550503579943230e-03
 2.190000000000000e+00, 1.073692101491569e-01
 2.200000000000000e+00, 2.302660569903232e-01
 2.210000000000000e+00, 3.774974094089776e-01
 2.220000000000000e+00, 5.466709027043763e-01
 2.230000000000000e+00, 7.327164666247507e-01
 2.240000000000000e+00, 9.277445079182536e-01
 2.250000000000000e+00, 1.121572942365208e+00
 2.260000000000000e+00, 1.286473074930442e+00
 2.270000000000000e+00, 1.274296662810324e+00
 2.280000000000000e+00, 1.396515327170526e+00
 2.290000000000000e+00, 1.635429314665523e+00
 2.300000000000000e+00, 1.684957672445697e+00
 2.310000000000000e+00, 1.695833821927475e+00
 2.320000000000000e+00, 1.672155265804876e+00
 2.330000000000000e+00, 1.619293906417361e+00
 2.340000000000000e+00, 1.543281883682944e+00
 2.350000000000000e+00, 1.449673016839910e+00
 2.360000000000000e+00, 1.343791990333353e+00
 2.370000000000000e+00, 1.230850682814001e+00
 2.380000000000000e+00, 1.115178078459860e+00
 2.390000000000000e+00, 1.000154610379060e+00
 2.400000000000000e+00, 8.880732384109128e-01
 2.410000000000000e+00, 7.804318433946016e-01
 2.420000000000000e+00, 6.783943157779564e-01
 2.430000000000000e+00, 5.830643807129883e-01
 2.440000000000000e+00, 4.955764305267585e-01
 2.450000000000000e+00, 4.170332508422993e-01
 2.460000000000000e+00, 3.483993105896251e-01
 2.470000000000000e+00, 2.904517120509400e-01
 2.480000000000000e+00, 2.436710978412219e-01
 2.490000000000000e+00, 2.080944866234223e-01
 2.500000000000000e+00, 1.833585949307892e-01
 2.510000000000000e+00, 1.688785496426092e-01
 2.520000000000000e+00, 1.639492958891207e-01
 2.530000000000000e+00, 1.677273455478772e-01
 2.540000000000000e+00, 1.790818923833007e-01
 2.550000000000000e+00, 1.963327092198761e-01
 2.560000000000000e+00, 2.170863963933814e-01
 2.570000000000000e+00, 2.384606389550346e-01
 2.580000000000000e+00, 2.577653096631548e-01
 2.590000000000000e+00, 2.732816737740149e-01
 2.600000000000000e+00, 2.845625500701051e-01
 2.610000000000000e+00, 2.921205906160320e-01
 2.620000000000000e+00, 2.970308372865768e-01
 2.630000000000000e+00, 3.005137619336515e-01
 2.640000000000000e+00, 3.038065012642513e-01
 2.650000000000000e+00, 3.076626453506950e-01
 2.660000000000000e+00, 3.117627538401945e-01
 2.670000000000000e+00, 3.147513101621810e-01
 2.680000000000000e+00, 3.145072692257025e-01
 2.690000000000000e+00, 3.092868869121522e-01
 2.700000000000000e+00, 3.746991427562460e-01
 2.710000000000000e+00, 3.527796527747342e-01
 2.720000000000000e+00, 2.536334173457470e-01
 2.730000000000000e+00, 2.328075366884755e-01
 2.740000000000000e+00, 2.058229466004617e-01
 2.750000000000000e+00, 1.781543939618029e-01
 2.760000000000000e+00, 1.522996276446308e-01
 2.770000000000000e+00, 1.304242213490763e-01
 2.780000000000000e+00, 1.137457846412504e-01
 2.790000000000000e+00, 1.031702889295243e-01
 2.800000000000000e+00, 9.795917272612241e-02
 2.810000000000000e+00, 9.528335515076240e-02
 2.820000000000000e+00, 9.120545467041759e-02
 2.830000000000000e+00, 8.051744468731681e-02
 2.840000000000000e+00, 5.788171287609425e-02
 2.850000000000000e+00, 1.877649261995962e-02
 2.860000000000000e+00,-3.948159204918415e-02
 2.870000000000000e+00,-1.169792579659792e-01
 2.880000000000000e+00,-2.112014933454364e-01
 2.890000000000000e+00,-3.176413445541230e-01
 2.900000000000000e+00,-4.305809911536864e-01
 2.910000000000000e+00,-5.439440788238572e-01
 2.920000000000000e+00,-6.522428497843317e-01
 2.930000000000000e+00,-7.521175553075458e-01
 2.940000000000000e+00,-8.422639691329893e-01
 2.950000000000000e+00,-9.232375856715733e-01
 2.960000000000000e+00,-9.968116599817628e-01
 2.970000000000000e+00,-1.065692940698777e+00
 2.980000000000000e+00,-1.131052334149076e+00
 2.990000000000000e+00,-1.192609889350517e+00
 3.000000000000000e+00,-1.250195325196012e+00
 3.010000000000000e+00,-1.302195701177951e+00
 3.020000000000000e+00,-1.346710881167938e+00
 3.030000000000000e+00,-1.382246669225275e+00
 3.040000000000000e+00,-1.407981413236919e+00
 3.050000000000000e+00,-1.423704026308365e+00
 3.060000000000000e+00,-1.429707697515521e+00
 3.070000000000000e+00,-1.426628114590566e+00
 3.080000000000000e+00,-1.415424648232990e+00
 3.090000000000000e+00,-1.397942347089086e+00
