Series0,
AXIS0,OUTPUT
Main.Studies.ParameterIdentification.Output.Abscissa.IterationStep,Main.Studies.ParameterIdentification.Output.RightFootLength.Val
 0.000000000000000e+00, 2.748396758184475e-01
 1.000000000000000e+00, 2.748396985544185e-01
 2.000000000000000e+00, 2.611644221260889e-01
 3.000000000000000e+00, 2.748688001192038e-01
 4.000000000000000e+00, 2.748452074705212e-01
 5.000000000000000e+00, 2.748391785889042e-01
 6.000000000000000e+00, 2.748396758184475e-01
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
