Series0,
AXIS0,OUTPUT
Main.Studies.ParameterIdentification.Output.Abscissa.IterationStep,Main.Studies.ParameterIdentification.Output.RightThighLength.Val
 0.000000000000000e+00, 5.017500618353340e-01
 1.000000000000000e+00, 5.017503943111332e-01
 2.000000000000000e+00, 4.762151492775167e-01
 3.000000000000000e+00, 5.012882393815924e-01
 4.000000000000000e+00, 5.017217622851377e-01
 5.000000000000000e+00, 5.017492184215709e-01
 6.000000000000000e+00, 5.017500618353340e-01
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
