Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Right.Leg.Muscles.Envelope
 1.530000000000000e+00, 2.237795352141418e-01
 1.540000000000000e+00, 2.049857057065742e-01
 1.550000000000000e+00, 1.866212377946705e-01
 1.560000000000000e+00, 1.718047896542972e-01
 1.570000000000000e+00, 1.622550419524960e-01
 1.580000000000000e+00, 1.564324538911323e-01
 1.590000000000000e+00, 1.504890626053648e-01
 1.600000000000000e+00, 1.460990393140396e-01
 1.610000000000000e+00, 1.480817959159030e-01
 1.620000000000000e+00, 1.566625602207014e-01
 1.630000000000000e+00, 1.667336954957696e-01
 1.640000000000000e+00, 1.893742676646732e-01
 1.650000000000000e+00, 2.039489443285330e-01
 1.660000000000000e+00, 2.098515217565018e-01
 1.670000000000000e+00, 2.065361179015082e-01
 1.680000000000000e+00, 1.968329507660994e-01
 1.690000000000000e+00, 1.844765415282453e-01
 1.700000000000000e+00, 1.740154760914872e-01
 1.710000000000000e+00, 1.737239457627678e-01
 1.720000000000000e+00, 1.738152351328758e-01
 1.730000000000000e+00, 1.740362805927745e-01
 1.740000000000000e+00, 1.742105820541370e-01
 1.750000000000000e+00, 1.727205215535532e-01
 1.760000000000000e+00, 1.707531081676624e-01
 1.770000000000000e+00, 1.618382194392065e-01
 1.780000000000000e+00, 1.699517937823017e-01
 1.790000000000000e+00, 1.928320464645427e-01
 1.800000000000000e+00, 2.132967407262945e-01
 1.810000000000000e+00, 2.282081235236636e-01
 1.820000000000000e+00, 2.365871607543130e-01
 1.830000000000000e+00, 2.396438679998789e-01
 1.840000000000000e+00, 2.382936047868466e-01
 1.850000000000000e+00, 2.339321323898836e-01
 1.860000000000000e+00, 2.251914836158589e-01
 1.870000000000000e+00, 2.167201361626425e-01
 1.880000000000000e+00, 2.064372779499434e-01
 1.890000000000000e+00, 1.931983333544074e-01
 1.900000000000000e+00, 1.853671747341089e-01
 1.910000000000000e+00, 1.816876083492962e-01
 1.920000000000000e+00, 1.736890531425470e-01
 1.930000000000000e+00, 1.723475214594111e-01
 1.940000000000000e+00, 1.736686684309266e-01
 1.950000000000000e+00, 1.637155213188880e-01
 1.960000000000000e+00, 1.450830650970943e-01
 1.970000000000000e+00, 1.271826740598315e-01
 1.980000000000000e+00, 1.346537047435412e-01
 1.990000000000000e+00, 1.527716300511353e-01
 2.000000000000000e+00, 1.636061778447248e-01
 2.010000000000000e+00, 1.582177697167193e-01
 2.020000000000000e+00, 6.850400288552089e-02
 2.030000000000000e+00, 5.599059492673711e-02
 2.040000000000000e+00, 4.595915434140718e-02
 2.050000000000000e+00, 3.950006507448418e-02
 2.060000000000000e+00, 3.822625002087751e-02
 2.070000000000000e+00, 3.580595646539378e-02
 2.080000000000000e+00, 3.302241502248181e-02
 2.090000000000000e+00, 3.958775779688578e-02
 2.100000000000000e+00, 8.228721235985113e-02
 2.110000000000000e+00, 6.028237426540223e-02
 2.120000000000000e+00, 9.158990149030645e-02
 2.130000000000000e+00, 1.210036083477502e-01
 2.140000000000000e+00, 1.415282908502543e-01
 2.150000000000000e+00, 1.528756377409037e-01
 2.160000000000000e+00, 1.538503109482452e-01
 2.170000000000000e+00, 1.482682809896245e-01
 2.180000000000000e+00, 1.366738961629514e-01
 2.190000000000000e+00, 1.055192066804580e-01
 2.200000000000000e+00, 7.608431700250314e-02
 2.210000000000000e+00, 5.327190028095793e-02
 2.220000000000000e+00, 4.703718610734035e-02
 2.230000000000000e+00, 6.157328987691511e-02
 2.240000000000000e+00, 6.614172798043987e-02
 2.250000000000000e+00, 1.256116051565050e-01
 2.260000000000000e+00, 3.713406879198092e-01
 2.270000000000000e+00, 7.896941791392514e-01
 2.280000000000000e+00, 4.049047746525798e-01
 2.290000000000000e+00, 2.895200333715862e-01
 2.300000000000000e+00, 2.221731279508398e-01
 2.310000000000000e+00, 1.539078067752855e-01
 2.320000000000000e+00, 1.139124147800725e-01
 2.330000000000000e+00, 2.522193777359135e-01
 2.340000000000000e+00, 2.415679723925746e-01
 2.350000000000000e+00, 2.525719203670057e-01
 2.360000000000000e+00, 3.035836099684087e-01
 2.370000000000000e+00, 2.785011624522091e-01
 2.380000000000000e+00, 2.530983064520912e-01
 2.390000000000000e+00, 2.497883928582127e-01
 2.400000000000000e+00, 2.435929772658726e-01
 2.410000000000000e+00, 2.392379147240300e-01
 2.420000000000000e+00, 2.324148972729708e-01
 2.430000000000000e+00, 2.060132806615722e-01
 2.440000000000000e+00, 3.382343868783307e-01
 2.450000000000000e+00, 4.426445682022654e-01
 2.460000000000000e+00, 4.986953391512526e-01
 2.470000000000000e+00, 5.090913511357005e-01
 2.480000000000000e+00, 4.822465345986126e-01
 2.490000000000000e+00, 4.305371205162131e-01
 2.500000000000000e+00, 3.662776515040913e-01
 2.510000000000000e+00, 2.983092187337902e-01
 2.520000000000000e+00, 2.340694988360972e-01
 2.530000000000000e+00, 1.770833713931882e-01
 2.540000000000000e+00, 1.766481664544462e-01
 2.550000000000000e+00, 1.588586022860971e-01
 2.560000000000000e+00, 1.203531476793980e-01
 2.570000000000000e+00, 1.292455524421773e-01
 2.580000000000000e+00, 1.335178746559872e-01
 2.590000000000000e+00, 1.414753242552112e-01
 2.600000000000000e+00, 1.517933077152658e-01
 2.610000000000000e+00, 1.673807272567830e-01
 2.620000000000000e+00, 1.741532061518366e-01
