Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Right.ShoulderArm.InterfaceFolder.HipFlexion.Acc
 1.530000000000000e+00,-5.200894414125418e-02
 1.540000000000000e+00, 3.991389560520596e-01
 1.550000000000000e+00, 7.505873650860684e-01
 1.560000000000000e+00, 9.408550032637117e-01
 1.570000000000000e+00, 9.473315544869563e-01
 1.580000000000000e+00, 8.228147348021365e-01
 1.590000000000000e+00, 6.779181362934787e-01
 1.600000000000000e+00, 6.086109694050524e-01
 1.610000000000000e+00, 6.513029152052731e-01
 1.620000000000000e+00, 7.870475506560423e-01
 1.630000000000000e+00, 9.576583268820926e-01
 1.640000000000000e+00, 1.091738544323866e+00
 1.650000000000000e+00, 1.139203207439916e+00
 1.660000000000000e+00, 1.088672794577672e+00
 1.670000000000000e+00, 9.592063830996729e-01
 1.680000000000000e+00, 7.825013527444044e-01
 1.690000000000000e+00, 5.963488890404615e-01
 1.700000000000000e+00, 4.438281331850529e-01
 1.710000000000000e+00, 3.574938748502795e-01
 1.720000000000000e+00, 3.417461758919462e-01
 1.730000000000000e+00, 3.736977847843826e-01
 1.740000000000000e+00, 4.125367420391829e-01
 1.750000000000000e+00, 4.075740024050103e-01
 1.760000000000000e+00, 3.058927226514332e-01
 1.770000000000000e+00, 6.281576828720399e-02
 1.780000000000000e+00,-3.244960008912757e-01
 1.790000000000000e+00,-7.764169140822366e-01
 1.800000000000000e+00,-1.166718659510455e+00
 1.810000000000000e+00,-1.415178368621052e+00
 1.820000000000000e+00,-1.509803701180634e+00
 1.830000000000000e+00,-1.464702273555850e+00
 1.840000000000000e+00,-1.298228966093744e+00
 1.850000000000000e+00,-1.068700749289304e+00
 1.860000000000000e+00,-6.118871548882019e-01
 1.870000000000000e+00,-2.218420243025875e-01
 1.880000000000000e+00, 3.272803789108876e-01
 1.890000000000000e+00, 1.029781411402913e+00
 1.900000000000000e+00, 1.885954936392262e+00
 1.910000000000000e+00, 2.874383253488646e+00
 1.920000000000000e+00, 3.932398473753242e+00
 1.930000000000000e+00, 4.964972083651476e+00
 1.940000000000000e+00, 5.874796617715768e+00
 1.950000000000000e+00, 6.582469543021036e+00
 1.960000000000000e+00, 7.040773653150320e+00
 1.970000000000000e+00, 7.241807490166917e+00
 1.980000000000000e+00, 7.199902179145633e+00
 1.990000000000000e+00, 6.908042107388112e+00
 2.000000000000000e+00, 6.320303300465526e+00
 2.010000000000000e+00, 5.409511965228650e+00
 2.020000000000000e+00, 4.072962423920816e+00
 2.030000000000000e+00, 2.450975919165271e+00
 2.040000000000000e+00, 5.226987891370281e-01
 2.050000000000000e+00,-1.580420962644884e+00
 2.060000000000000e+00,-3.680956610153820e+00
 2.070000000000000e+00,-5.589983728966186e+00
 2.080000000000000e+00,-7.178776763484842e+00
 2.090000000000000e+00,-8.403341953609450e+00
 2.100000000000000e+00,-9.278729251737895e+00
 2.110000000000000e+00,-9.839186123948565e+00
 2.120000000000000e+00,-1.012212985008816e+01
 2.130000000000000e+00,-1.017523390742933e+01
 2.140000000000000e+00,-1.003725508043600e+01
 2.150000000000000e+00,-9.712068829682568e+00
 2.160000000000000e+00,-9.191956995324947e+00
 2.170000000000000e+00,-8.537092552302610e+00
 2.180000000000000e+00,-7.541580300942083e+00
 2.190000000000000e+00,-6.598400691276759e+00
 2.200000000000000e+00,-5.547881448531317e+00
 2.210000000000000e+00,-4.558519338495574e+00
 2.220000000000000e+00,-3.737208257665336e+00
 2.230000000000000e+00,-3.191673453031914e+00
 2.240000000000000e+00,-2.995486036286354e+00
 2.250000000000000e+00,-3.115706708730203e+00
 2.260000000000000e+00,-3.366871195566099e+00
 2.270000000000000e+00,-9.460648568789718e+00
 2.280000000000000e+00,-2.988644006830761e+00
 2.290000000000000e+00,-2.330902237936198e+00
 2.300000000000000e+00,-1.618358502060088e+00
 2.310000000000000e+00,-6.395458812636274e-01
 2.320000000000000e+00, 4.802703706408507e-01
 2.330000000000000e+00, 1.565554395936417e+00
 2.340000000000000e+00, 2.437512941062450e+00
 2.350000000000000e+00, 2.892668104639900e+00
 2.360000000000000e+00, 2.997939421094640e+00
 2.370000000000000e+00, 2.763240827180297e+00
 2.380000000000000e+00, 2.239414641772278e+00
 2.390000000000000e+00, 1.457781374961581e+00
 2.400000000000000e+00, 4.501803465133096e-01
