Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Left.Leg.JointMomentMeasure.HipFlexion
 1.530000000000000e+00,-1.539355828369844e+01
 1.540000000000000e+00,-1.340545157095046e+01
 1.550000000000000e+00,-1.178639759806842e+01
 1.560000000000000e+00,-1.068451804782278e+01
 1.570000000000000e+00,-1.019710911049497e+01
 1.580000000000000e+00,-1.002941968486861e+01
 1.590000000000000e+00,-9.918520458920570e+00
 1.600000000000000e+00,-9.705458947466553e+00
 1.610000000000000e+00,-9.077204968661299e+00
 1.620000000000000e+00,-8.208979065356704e+00
 1.630000000000000e+00,-7.294567371204336e+00
 1.640000000000000e+00,-6.745231818466463e+00
 1.650000000000000e+00,-6.380694412984100e+00
 1.660000000000000e+00,-6.498594227951153e+00
 1.670000000000000e+00,-7.238374703371280e+00
 1.680000000000000e+00,-8.333715050531247e+00
 1.690000000000000e+00,-9.244844976152084e+00
 1.700000000000000e+00,-1.008171605703268e+01
 1.710000000000000e+00,-1.070423706352726e+01
 1.720000000000000e+00,-1.110869970304170e+01
 1.730000000000000e+00,-1.139673607345686e+01
 1.740000000000000e+00,-1.170679606115712e+01
 1.750000000000000e+00,-1.219559332262413e+01
 1.760000000000000e+00,-1.297560059049833e+01
 1.770000000000000e+00,-1.411278705803812e+01
 1.780000000000000e+00,-1.487544595295043e+01
 1.790000000000000e+00,-1.517280059030062e+01
 1.800000000000000e+00,-1.561097865020641e+01
 1.810000000000000e+00,-1.572622741487703e+01
 1.820000000000000e+00,-1.561316604012986e+01
 1.830000000000000e+00,-1.545206909948064e+01
 1.840000000000000e+00,-1.536609731898927e+01
 1.850000000000000e+00,-1.546087786680153e+01
 1.860000000000000e+00,-1.541001975572921e+01
 1.870000000000000e+00,-1.571342298917656e+01
 1.880000000000000e+00,-1.598615981669773e+01
 1.890000000000000e+00,-1.597157262687387e+01
 1.900000000000000e+00,-1.591968731022311e+01
 1.910000000000000e+00,-1.487859466372610e+01
 1.920000000000000e+00,-1.316255316119494e+01
 1.930000000000000e+00,-1.183352886854860e+01
 1.940000000000000e+00,-1.126010451162763e+01
 1.950000000000000e+00,-1.195734765036933e+01
 1.960000000000000e+00,-1.281237393970435e+01
 1.970000000000000e+00,-1.314984836316815e+01
 1.980000000000000e+00,-1.145519054396815e+01
 1.990000000000000e+00,-8.982283929627570e+00
 2.000000000000000e+00,-7.521548019350986e+00
 2.010000000000000e+00,-9.114721619262385e+00
 2.020000000000000e+00,-2.174782398779596e+01
 2.030000000000000e+00,-4.045287674254579e+01
 2.040000000000000e+00,-3.952557075242891e+01
 2.050000000000000e+00,-3.879340152367967e+01
 2.060000000000000e+00,-3.681227808998781e+01
 2.070000000000000e+00,-3.327237256903123e+01
 2.080000000000000e+00,-2.865403089345551e+01
 2.090000000000000e+00,-1.910472310393349e+01
 2.100000000000000e+00,-4.435473957101050e+00
 2.110000000000000e+00,-1.120861028826717e+00
 2.120000000000000e+00,-3.034627826084936e-01
 2.130000000000000e+00,-9.439194929549838e-01
 2.140000000000000e+00,-2.809669954117870e+00
 2.150000000000000e+00,-6.256246375740858e+00
 2.160000000000000e+00,-1.102088033381176e+01
 2.170000000000000e+00,-1.636173157141488e+01
 2.180000000000000e+00,-2.045713746474391e+01
 2.190000000000000e+00,-2.077057161198695e+01
 2.200000000000000e+00,-2.065649929539413e+01
 2.210000000000000e+00,-1.728724914449840e+01
 2.220000000000000e+00,-1.189257423140323e+01
 2.230000000000000e+00,-6.282533599765446e+00
 2.240000000000000e+00,-7.138598639403549e+00
 2.250000000000000e+00,-5.866902272306540e+00
 2.260000000000000e+00, 3.284858462909096e+01
 2.270000000000000e+00, 8.664089716506012e+01
 2.280000000000000e+00, 2.271368097680358e+01
 2.290000000000000e+00, 2.569300131106557e+01
 2.300000000000000e+00, 2.527598486544887e+01
