Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Right.ShoulderArm.InterfaceFolder.HipFlexion.Pos
 1.530000000000000e+00, 1.067323734346433e-01
 1.540000000000000e+00, 1.071345429240188e-01
 1.550000000000000e+00, 1.075749659267154e-01
 1.560000000000000e+00, 1.080877616361986e-01
 1.570000000000000e+00, 1.086915815298722e-01
 1.580000000000000e+00, 1.093879536417233e-01
 1.590000000000000e+00, 1.101662696940213e-01
 1.600000000000000e+00, 1.110136395153150e-01
 1.610000000000000e+00, 1.119237392726447e-01
 1.620000000000000e+00, 1.129005219095841e-01
 1.630000000000000e+00, 1.139565909179868e-01
 1.640000000000000e+00, 1.151078158022403e-01
 1.650000000000000e+00, 1.163667679863050e-01
 1.660000000000000e+00, 1.177380024317444e-01
 1.670000000000000e+00, 1.192167825694827e-01
 1.680000000000000e+00, 1.207906901473848e-01
 1.690000000000000e+00, 1.224426856514314e-01
 1.700000000000000e+00, 1.241548731925474e-01
 1.710000000000000e+00, 1.259125443863109e-01
 1.720000000000000e+00, 1.277071400645201e-01
 1.730000000000000e+00, 1.295367049921103e-01
 1.740000000000000e+00, 1.314037552300813e-01
 1.750000000000000e+00, 1.333113310107294e-01
 1.760000000000000e+00, 1.352580555626881e-01
 1.770000000000000e+00, 1.372330184299257e-01
 1.780000000000000e+00, 1.392118679570438e-01
 1.790000000000000e+00, 1.411572033221942e-01
 1.800000000000000e+00, 1.430259368501995e-01
 1.810000000000000e+00, 1.447803720772742e-01
 1.820000000000000e+00, 1.463958573123093e-01
 1.830000000000000e+00, 1.478626894446855e-01
 1.840000000000000e+00, 1.491850683222649e-01
 1.850000000000000e+00, 1.503786660336129e-01
 1.860000000000000e+00, 1.514691702451836e-01
 1.870000000000000e+00, 1.524973602135867e-01
 1.880000000000000e+00, 1.535060043790832e-01
 1.890000000000000e+00, 1.545499206663879e-01
 1.900000000000000e+00, 1.556993660939598e-01
 1.910000000000000e+00, 1.570396030706915e-01
 1.920000000000000e+00, 1.586684315493785e-01
 1.930000000000000e+00, 1.606900695988854e-01
 1.940000000000000e+00, 1.632061518622066e-01
 1.950000000000000e+00, 1.663063356434588e-01
 1.960000000000000e+00, 1.700605989476746e-01
 1.970000000000000e+00, 1.745146376047527e-01
 1.980000000000000e+00, 1.796895446938641e-01
 1.990000000000000e+00, 1.855796438808325e-01
 2.000000000000000e+00, 1.921556159748924e-01
 2.010000000000000e+00, 1.993582341942135e-01
 2.020000000000000e+00, 2.070947076360414e-01
 2.030000000000000e+00, 2.152337200213594e-01
 2.040000000000000e+00, 2.236127251272619e-01
 2.050000000000000e+00, 2.320410860347714e-01
 2.060000000000000e+00, 2.403114478869425e-01
 2.070000000000000e+00, 2.482169058755623e-01
 2.080000000000000e+00, 2.555687027352708e-01
 2.090000000000000e+00, 2.622086924075538e-01
 2.100000000000000e+00, 2.680141675471722e-01
 2.110000000000000e+00, 2.728970186282431e-01
 2.120000000000000e+00, 2.768005763308194e-01
 2.130000000000000e+00, 2.796957517121960e-01
 2.140000000000000e+00, 2.815765884116931e-01
 2.150000000000000e+00, 2.824568197182010e-01
 2.160000000000000e+00, 2.823690928941011e-01
 2.170000000000000e+00, 2.813623853381124e-01
 2.180000000000000e+00, 2.795101939789694e-01
 2.190000000000000e+00, 2.769039691200917e-01
 2.200000000000000e+00, 2.736381793682646e-01
 2.210000000000000e+00, 2.698165821911138e-01
 2.220000000000000e+00, 2.655363322350309e-01
 2.230000000000000e+00, 2.608777651874746e-01
 2.240000000000000e+00, 2.558942083422910e-01
 2.250000000000000e+00, 2.506058294267633e-01
 2.260000000000000e+00, 2.450036974403678e-01
 2.270000000000000e+00, 2.389675014490971e-01
 2.280000000000000e+00, 2.321946700822616e-01
 2.290000000000000e+00, 2.250260702361417e-01
 2.300000000000000e+00, 2.176252933571090e-01
 2.310000000000000e+00, 2.100671184685241e-01
 2.320000000000000e+00, 2.024473390618884e-01
 2.330000000000000e+00, 1.948750111733288e-01
 2.340000000000000e+00, 1.874556833184438e-01
 2.350000000000000e+00, 1.802731600465318e-01
 2.360000000000000e+00, 1.733740721898956e-01
 2.370000000000000e+00, 1.667691121057394e-01
 2.380000000000000e+00, 1.604356573035299e-01
 2.390000000000000e+00, 1.543218471742943e-01
 2.400000000000000e+00, 1.483500490489862e-01
 2.410000000000000e+00, 1.424208782411895e-01
 2.420000000000000e+00, 1.364212145587483e-01
 2.430000000000000e+00, 1.302355669462403e-01
 2.440000000000000e+00, 1.237580910066953e-01
 2.450000000000000e+00, 1.169034135091993e-01
 2.460000000000000e+00, 1.096154803421015e-01
 2.470000000000000e+00, 1.018738857316399e-01
 2.480000000000000e+00, 9.369574003134251e-02
 2.490000000000000e+00, 8.513108651377903e-02
 2.500000000000000e+00, 7.625388518639924e-02
 2.510000000000000e+00, 6.715270519060876e-02
 2.520000000000000e+00, 5.792310849990163e-02
 2.530000000000000e+00, 4.866200301300430e-02
 2.540000000000000e+00, 3.946304415038906e-02
 2.550000000000000e+00, 3.041085149292080e-02
 2.560000000000000e+00, 2.157309467026647e-02
 2.570000000000000e+00, 1.299276703339628e-02
 2.580000000000000e+00, 4.684437028517299e-03
 2.590000000000000e+00,-3.363768228374192e-03
 2.600000000000000e+00,-1.118400092716845e-02
 2.610000000000000e+00,-1.882141540931904e-02
 2.620000000000000e+00,-2.632755885543067e-02
 2.630000000000000e+00,-3.375445299677043e-02
 2.640000000000000e+00,-4.115036044348340e-02
 2.650000000000000e+00,-4.855378184485318e-02
 2.660000000000000e+00,-5.599386326279936e-02
 2.670000000000000e+00,-6.349209694360670e-02
 2.680000000000000e+00,-7.106554798644668e-02
 2.690000000000000e+00,-7.872955800901847e-02
 2.700000000000000e+00,-8.705743242967010e-02
