Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Right.ShoulderArm.InterfaceFolder.HipFlexion.Vel
 1.530000000000000e+00, 3.972572313225839e-02
 1.540000000000000e+00, 4.146137319186376e-02
 1.550000000000000e+00, 4.721000479740790e-02
 1.560000000000000e+00, 5.566721663915748e-02
 1.570000000000000e+00, 6.510814942791146e-02
 1.580000000000000e+00, 7.395888087437026e-02
 1.590000000000000e+00, 8.146254523000641e-02
 1.600000000000000e+00, 8.789519075835689e-02
 1.610000000000000e+00, 9.419476018153169e-02
 1.620000000000000e+00, 1.013865125106699e-01
 1.630000000000000e+00, 1.101100418983783e-01
 1.640000000000000e+00, 1.203570262546401e-01
 1.650000000000000e+00, 1.315117350132142e-01
 1.660000000000000e+00, 1.426511150235578e-01
 1.670000000000000e+00, 1.528905109117059e-01
 1.680000000000000e+00, 1.615990495909233e-01
 1.690000000000000e+00, 1.684933007998482e-01
 1.700000000000000e+00, 1.736941859109684e-01
 1.710000000000000e+00, 1.777007959511554e-01
 1.720000000000000e+00, 1.811969962049379e-01
 1.730000000000000e+00, 1.847742160082362e-01
 1.740000000000000e+00, 1.887053886424488e-01
 1.750000000000000e+00, 1.928059423645779e-01
 1.760000000000000e+00, 1.963732759899583e-01
 1.770000000000000e+00, 1.982168184446038e-01
 1.780000000000000e+00, 1.969084172815812e-01
 1.790000000000000e+00, 1.914038527065827e-01
 1.800000000000000e+00, 1.816881748388439e-01
 1.810000000000000e+00, 1.687786896981734e-01
 1.820000000000000e+00, 1.541537793491684e-01
 1.830000000000000e+00, 1.392812494754743e-01
 1.840000000000000e+00, 1.254665932772319e-01
 1.850000000000000e+00, 1.136319447003152e-01
 1.860000000000000e+00, 1.052290051794218e-01
 1.870000000000000e+00, 1.010603592834665e-01
 1.880000000000000e+00, 1.015875510565046e-01
 1.890000000000000e+00, 1.083728600080700e-01
 1.900000000000000e+00, 1.229515417470392e-01
 1.910000000000000e+00, 1.467532326964920e-01
 1.920000000000000e+00, 1.807871413335061e-01
 1.930000000000000e+00, 2.252739941193833e-01
 1.940000000000000e+00, 2.794728376263650e-01
 1.950000000000000e+00, 3.417591684314489e-01
 1.960000000000000e+00, 4.098753844106598e-01
 1.970000000000000e+00, 4.812882901273915e-01
 1.980000000000000e+00, 5.534968384755712e-01
 1.990000000000000e+00, 6.240365599066870e-01
 2.000000000000000e+00, 6.901782869474802e-01
 2.010000000000000e+00, 7.488273632745077e-01
 2.020000000000000e+00, 7.962397352202549e-01
 2.030000000000000e+00, 8.288594269357468e-01
 2.040000000000000e+00, 8.437278004775914e-01
 2.050000000000000e+00, 8.384391896102150e-01
 2.060000000000000e+00, 8.121323017462867e-01
 2.070000000000000e+00, 7.657776000504853e-01
 2.080000000000000e+00, 7.019337975868197e-01
 2.090000000000000e+00, 6.240232040031899e-01
 2.100000000000000e+00, 5.356128479764628e-01
 2.110000000000000e+00, 4.400232710980135e-01
 2.120000000000000e+00, 3.402166912276126e-01
 2.130000000000000e+00, 2.387298724376041e-01
 2.140000000000000e+00, 1.376674275006705e-01
 2.150000000000000e+00, 3.892080794782503e-02
 2.160000000000000e+00,-5.559932117489282e-02
 2.170000000000000e+00,-1.442445689130289e-01
 2.180000000000000e+00,-2.246379331792640e-01
 2.190000000000000e+00,-2.953378381402848e-01
 2.200000000000000e+00,-3.560692488393908e-01
 2.210000000000000e+00,-4.066012527746130e-01
 2.220000000000000e+00,-4.480798907562934e-01
 2.230000000000000e+00,-4.827242993089200e-01
 2.240000000000000e+00,-5.136600967555413e-01
 2.250000000000000e+00,-5.442160604806278e-01
 2.260000000000000e+00,-5.766289500021138e-01
 2.270000000000000e+00,-6.407665488238021e-01
 2.280000000000000e+00,-7.030130117021536e-01
 2.290000000000000e+00,-7.296107429265810e-01
 2.300000000000000e+00,-7.493570466260917e-01
 2.310000000000000e+00,-7.606465685427590e-01
 2.320000000000000e+00,-7.614429460958702e-01
 2.330000000000000e+00,-7.512138222630119e-01
 2.340000000000000e+00,-7.311984855780101e-01
 2.350000000000000e+00,-7.045475803494315e-01
 2.360000000000000e+00,-6.750945427200874e-01
 2.370000000000000e+00,-6.462886414794166e-01
 2.380000000000000e+00,-6.212753641346114e-01
 2.390000000000000e+00,-6.027893840509289e-01
 2.400000000000000e+00,-5.932495754435406e-01
 2.410000000000000e+00,-5.945029916327111e-01
 2.420000000000000e+00,-6.073888018117368e-01
 2.430000000000000e+00,-6.315351863163905e-01
 2.440000000000000e+00,-6.654075159396331e-01
 2.450000000000000e+00,-7.064807796582373e-01
 2.460000000000000e+00,-7.514525647479859e-01
 2.470000000000000e+00,-7.965672953709489e-01
 2.480000000000000e+00,-8.382003478324357e-01
 2.490000000000000e+00,-8.734710788003289e-01
 2.500000000000000e+00,-9.004717895039337e-01
 2.510000000000000e+00,-9.181561583831485e-01
 2.520000000000000e+00,-9.261365809131350e-01
 2.530000000000000e+00,-9.245081696575252e-01
 2.540000000000000e+00,-9.138500446909588e-01
 2.550000000000000e+00,-8.954371082586561e-01
 2.560000000000000e+00,-8.713863681342283e-01
 2.570000000000000e+00,-8.444427598006082e-01
 2.580000000000000e+00,-8.174398882993258e-01
 2.590000000000000e+00,-7.927582683720571e-01
 2.600000000000000e+00,-7.720584271229478e-01
 2.610000000000000e+00,-7.563021786391474e-01
 2.620000000000000e+00,-7.458002368847908e-01
 2.630000000000000e+00,-7.404081491556346e-01
 2.640000000000000e+00,-7.394076413041740e-01
 2.650000000000000e+00,-7.417599380518414e-01
 2.660000000000000e+00,-7.466034501536041e-01
 2.670000000000000e+00,-7.533207891121233e-01
 2.680000000000000e+00,-7.616188092467108e-01
 2.690000000000000e+00,-7.714422930730829e-01
 2.700000000000000e+00,-9.501773554813626e-01
 2.710000000000000e+00,-9.918592155754068e-01
 2.720000000000000e+00,-8.228996198625602e-01
 2.730000000000000e+00,-7.846826974989498e-01
 2.740000000000000e+00,-7.806753423427817e-01
 2.750000000000000e+00,-7.719445552049045e-01
 2.760000000000000e+00,-7.569980670498418e-01
 2.770000000000000e+00,-7.345165669712030e-01
 2.780000000000000e+00,-7.036578153832259e-01
 2.790000000000000e+00,-6.628465783135425e-01
 2.800000000000000e+00,-6.109945026945365e-01
 2.810000000000000e+00,-5.477177842306855e-01
 2.820000000000000e+00,-4.720954475095487e-01
 2.830000000000000e+00,-3.833096478043124e-01
 2.840000000000000e+00,-2.800979705339813e-01
 2.850000000000000e+00,-1.607109673551306e-01
 2.860000000000000e+00,-2.296443427851064e-02
 2.870000000000000e+00, 1.354984757601847e-01
 2.880000000000000e+00, 3.164145725189427e-01
 2.890000000000000e+00, 5.198299233607977e-01
 2.900000000000000e+00, 7.434155803412869e-01
 2.910000000000000e+00, 9.823701048752357e-01
 2.920000000000000e+00, 1.229718305827599e+00
 2.930000000000000e+00, 1.475890424934666e+00
 2.940000000000000e+00, 1.710376423104940e+00
 2.950000000000000e+00, 1.922979212761485e+00
 2.960000000000000e+00, 2.105019904964593e+00
 2.970000000000000e+00, 2.249948205866791e+00
 2.980000000000000e+00, 2.356123182585669e+00
 2.990000000000000e+00, 2.426125169788776e+00
 3.000000000000000e+00, 2.464025023852504e+00
 3.010000000000000e+00, 2.476464305981614e+00
 3.020000000000000e+00, 2.470568550615591e+00
 3.030000000000000e+00, 2.452694261338179e+00
 3.040000000000000e+00, 2.427855654846823e+00
 3.050000000000000e+00, 2.399673496934650e+00
 3.060000000000000e+00, 2.370585979243417e+00
 3.070000000000000e+00, 2.342234249458159e+00
 3.080000000000000e+00, 2.315538083573585e+00
 3.090000000000000e+00, 2.289874721033530e+00
 3.100000000000000e+00, 2.262139802968846e+00
 3.109999999999999e+00, 2.227297981378348e+00
 3.120000000000000e+00, 2.180304854207454e+00
 3.130000000000000e+00, 2.117726484346335e+00
 3.140000000000000e+00, 2.038248633133352e+00
 3.150000000000000e+00, 1.942464290028149e+00
 3.160000000000000e+00, 1.832401168019893e+00
 3.170000000000000e+00, 1.710974304442177e+00
 3.180000000000000e+00, 1.581463135385900e+00
 3.190000000000000e+00, 1.447112375298289e+00
 3.200000000000000e+00, 1.310849380912976e+00
 3.210000000000000e+00, 1.175023153143367e+00
 3.220000000000000e+00, 1.041143612862504e+00
