Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Left.Leg.Muscles.Envelope
 1.030000000000000e+00, 6.088850440473820e-02
 1.040000000000000e+00, 6.127629499569070e-02
 1.050000000000000e+00, 6.155725507483931e-02
 1.060000000000000e+00, 6.150185752596683e-02
 1.070000000000000e+00, 6.097784872915721e-02
 1.080000000000000e+00, 5.992500150398605e-02
 1.090000000000000e+00, 5.841527760890386e-02
 1.100000000000000e+00, 5.671520736216850e-02
 1.110000000000000e+00, 5.516539492570022e-02
 1.120000000000000e+00, 5.395281679049599e-02
 1.130000000000000e+00, 5.307552573886228e-02
 1.140000000000000e+00, 5.242326026602308e-02
 1.150000000000000e+00, 5.187198394619156e-02
 1.160000000000000e+00, 5.127690477593173e-02
 1.170000000000000e+00, 5.050554519100204e-02
 1.180000000000000e+00, 4.964142112192011e-02
 1.190000000000000e+00, 4.905851310637419e-02
 1.200000000000000e+00, 4.913880633222171e-02
 1.210000000000000e+00, 4.991312065990081e-02
 1.220000000000000e+00, 5.103637160033139e-02
 1.230000000000000e+00, 5.207090278442881e-02
 1.240000000000000e+00, 5.267589912625457e-02
 1.250000000000000e+00, 5.253848936339810e-02
 1.260000000000000e+00, 5.129500042828945e-02
 1.270000000000000e+00, 4.858897229104590e-02
 1.280000000000000e+00, 4.420002945101238e-02
 1.290000000000000e+00, 3.706621380812153e-02
 1.300000000000000e+00, 2.924452348697431e-02
 1.310000000000000e+00, 3.251304656678403e-02
 1.320000000000000e+00, 3.634019625037690e-02
 1.330000000000000e+00, 4.050219068945364e-02
 1.340000000000000e+00, 5.518687864378778e-02
 1.350000000000000e+00, 7.565299520314960e-02
 1.360000000000000e+00, 9.423907908307351e-02
 1.370000000000000e+00, 9.928489933073936e-02
 1.380000000000000e+00, 1.076061283767722e-01
 1.390000000000000e+00, 1.090522678267286e-01
 1.400000000000000e+00, 1.065361222978815e-01
 1.410000000000000e+00, 1.003827990249634e-01
 1.420000000000000e+00, 8.989066342796312e-02
 1.430000000000000e+00, 7.235854601674863e-02
 1.440000000000000e+00, 6.094575289862391e-02
 1.450000000000000e+00, 5.643429896493785e-02
 1.460000000000000e+00, 5.147760400923094e-02
 1.470000000000000e+00, 7.209961472085050e-02
 1.480000000000000e+00, 8.129494927648270e-02
 1.490000000000000e+00, 8.269495589311487e-02
 1.500000000000000e+00, 7.889310841109136e-02
 1.510000000000000e+00, 7.109681797280211e-02
 1.520000000000000e+00, 5.983770224630983e-02
 1.530000000000000e+00, 4.195551966564914e-02
 1.540000000000000e+00, 4.522152456010382e-02
 1.550000000000000e+00, 9.188998290865354e-02
 1.560000000000000e+00, 1.659371232016813e-01
 1.570000000000000e+00, 2.340822728439153e-01
 1.580000000000000e+00, 2.534881338992326e-01
 1.590000000000000e+00, 2.586935241153006e-01
 1.600000000000000e+00, 2.525012177647989e-01
 1.610000000000000e+00, 2.048380328123300e-01
 1.620000000000000e+00, 1.508452041998231e-01
 1.630000000000000e+00, 1.090707597903102e-01
 1.640000000000000e+00, 8.473794360793023e-02
 1.650000000000000e+00, 7.722304477744191e-02
 1.660000000000000e+00, 8.094381677565418e-02
 1.670000000000000e+00, 8.871246673918003e-02
 1.680000000000000e+00, 9.155537475902382e-02
 1.690000000000000e+00, 8.085527571862829e-02
 1.700000000000000e+00, 5.259317078969303e-02
 1.710000000000000e+00, 2.462539658409486e-02
 1.720000000000000e+00, 1.975216663889968e-02
 1.730000000000000e+00, 3.871489394007058e-02
 1.740000000000000e+00, 5.949322394316346e-02
 1.750000000000000e+00, 7.969976325807736e-02
 1.760000000000000e+00, 9.487497965268551e-02
 1.770000000000000e+00, 1.038171503529900e-01
 1.780000000000000e+00, 1.121977679150660e-01
 1.790000000000000e+00, 1.245472644784477e-01
 1.800000000000000e+00, 1.414930709854331e-01
 1.810000000000000e+00, 1.334350647562637e-01
 1.820000000000000e+00, 1.168078927424009e-01
 1.830000000000000e+00, 1.863427859135751e-01
 1.840000000000000e+00, 1.216420142599416e-01
 1.850000000000000e+00, 1.221380914397717e-01
 1.860000000000000e+00, 1.196277811198716e-01
 1.870000000000000e+00, 1.141598906319165e-01
 1.880000000000000e+00, 1.060015906708822e-01
 1.890000000000000e+00, 9.524661105766467e-02
 1.900000000000000e+00, 8.163163781986066e-02
 1.910000000000000e+00, 6.641905477009323e-02
 1.920000000000000e+00, 5.751297194174523e-02
 1.930000000000000e+00, 5.234911334827670e-02
 1.940000000000000e+00, 4.917286897695544e-02
 1.950000000000000e+00, 4.895986141003929e-02
 1.960000000000000e+00, 4.974976005209886e-02
 1.970000000000000e+00, 5.220163746175187e-02
 1.980000000000000e+00, 5.498081184249365e-02
 1.990000000000000e+00, 5.787369917622000e-02
 2.000000000000000e+00, 6.075498105060288e-02
 2.010000000000000e+00, 6.355320588441106e-02
 2.020000000000000e+00, 6.566751454029439e-02
 2.030000000000000e+00, 6.682432839908561e-02
 2.040000000000000e+00, 6.744554969835177e-02
 2.050000000000000e+00, 6.753627792067048e-02
 2.060000000000000e+00, 6.705487712083157e-02
 2.070000000000000e+00, 6.594647246690630e-02
 2.080000000000000e+00, 6.412492805939086e-02
 2.090000000000000e+00, 6.197871442511547e-02
 2.100000000000000e+00, 6.114598034809184e-02
 2.110000000000000e+00, 6.196920977482708e-02
 2.120000000000000e+00, 6.235417657216053e-02
 2.130000000000000e+00, 6.239779032720690e-02
 2.140000000000000e+00, 6.193529728346668e-02
 2.150000000000000e+00, 5.750095845902637e-02
 2.160000000000000e+00, 4.164885530285925e-02
 2.170000000000000e+00, 2.499593989547412e-02
 2.180000000000000e+00, 2.242873211077232e-02
 2.190000000000000e+00, 2.088675995766087e-02
 2.200000000000000e+00, 1.945517971089106e-02
 2.210000000000000e+00, 2.726480286780951e-02
 2.220000000000000e+00, 3.848975159983654e-02
 2.230000000000000e+00, 6.059817103211360e-02
 2.240000000000000e+00, 9.712254769332021e-02
 2.250000000000000e+00, 1.294657060543645e-01
 2.260000000000000e+00, 1.666063357070336e-01
 2.270000000000000e+00, 2.133221025603151e-01
 2.280000000000000e+00, 2.517881390960268e-01
