Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Acc
 1.030000000000000e+00,-6.025905989003927e-02
 1.040000000000000e+00,-1.773312105659687e-01
 1.050000000000000e+00,-2.579921498076266e-01
 1.060000000000000e+00,-2.873884453209737e-01
 1.070000000000000e+00,-2.584213847505592e-01
 1.080000000000000e+00,-1.751759441334490e-01
 1.090000000000000e+00,-5.389603455971009e-02
 1.100000000000000e+00, 8.171169947519762e-02
 1.110000000000000e+00, 2.080191021513764e-01
 1.120000000000000e+00, 3.100497916474274e-01
 1.130000000000000e+00, 3.845866134368574e-01
 1.140000000000000e+00, 4.368335375873305e-01
 1.150000000000000e+00, 4.766449649655745e-01
 1.160000000000000e+00, 5.173623146319831e-01
 1.170000000000000e+00, 5.721546795482209e-01
 1.180000000000000e+00, 6.415334883502246e-01
 1.190000000000000e+00, 7.049964881542978e-01
 1.200000000000000e+00, 7.326367549530921e-01
 1.210000000000000e+00, 7.046194837638501e-01
 1.220000000000000e+00, 6.185232489655714e-01
 1.230000000000000e+00, 4.840416168374945e-01
 1.240000000000000e+00, 3.162249964009510e-01
 1.250000000000000e+00, 1.334014985679420e-01
 1.260000000000000e+00,-4.250023605031898e-02
 1.270000000000000e+00,-1.879137658579060e-01
 1.280000000000000e+00,-2.836609393938133e-01
 1.290000000000000e+00,-3.201899117288683e-01
 1.300000000000000e+00,-2.966157276812572e-01
 1.310000000000000e+00,-2.195604628868326e-01
 1.320000000000000e+00,-1.064894941620148e-01
 1.330000000000000e+00, 1.551659213233684e-02
 1.340000000000000e+00, 1.184315900445934e-01
 1.350000000000000e+00, 1.816632211625074e-01
 1.360000000000000e+00, 2.280893286085390e-01
 1.370000000000000e+00, 1.455394776891560e-01
 1.380000000000000e+00, 1.339319186426488e-01
 1.390000000000000e+00, 1.045877523875141e-01
 1.400000000000000e+00, 1.132780081022526e-01
 1.410000000000000e+00, 1.761590223638055e-01
 1.420000000000000e+00, 2.898686706130356e-01
 1.430000000000000e+00, 4.327389981282518e-01
 1.440000000000000e+00, 5.692410849602560e-01
 1.450000000000000e+00, 6.527867522979889e-01
 1.460000000000000e+00, 6.325975801395430e-01
 1.470000000000000e+00, 4.680736712950595e-01
 1.480000000000000e+00, 1.503141040676778e-01
 1.490000000000000e+00,-2.804963011847460e-01
 1.500000000000000e+00,-7.439853424969592e-01
 1.510000000000000e+00,-1.153572904650849e+00
 1.520000000000000e+00,-1.440320572968947e+00
 1.530000000000000e+00,-1.551059278512511e+00
 1.540000000000000e+00,-1.453080716204781e+00
 1.550000000000000e+00,-1.159468891717490e+00
 1.560000000000000e+00,-7.382954958520448e-01
 1.570000000000000e+00,-2.839100797451120e-01
 1.580000000000000e+00, 1.276248199323676e-01
 1.590000000000000e+00, 4.696304498530995e-01
 1.600000000000000e+00, 7.746338011421033e-01
 1.610000000000000e+00, 1.129567376631568e+00
 1.620000000000000e+00, 1.653807610275116e+00
 1.630000000000000e+00, 2.462324923537292e+00
 1.640000000000000e+00, 3.637707407373423e+00
 1.650000000000000e+00, 5.223164368962077e+00
 1.660000000000000e+00, 7.215699068147940e+00
 1.670000000000000e+00, 9.552614205988691e+00
 1.680000000000000e+00, 1.211411834944395e+01
 1.690000000000000e+00, 1.473388380205639e+01
 1.700000000000000e+00, 1.719407740875992e+01
 1.710000000000000e+00, 1.922510004976617e+01
 1.720000000000000e+00, 2.054172754250982e+01
 1.730000000000000e+00, 2.091869047395194e+01
 1.740000000000000e+00, 2.027298505114367e+01
 1.750000000000000e+00, 1.868685880706596e+01
 1.760000000000000e+00, 1.634770903453590e+01
 1.770000000000000e+00, 1.345703223839327e+01
 1.780000000000000e+00, 1.027645960338501e+01
 1.790000000000000e+00, 6.919141226887902e+00
 1.800000000000000e+00, 3.615138037853718e+00
 1.810000000000000e+00, 4.873007170892421e-01
 1.820000000000000e+00,-2.366593064409000e+00
 1.830000000000000e+00,-4.875496312422835e+00
 1.840000000000000e+00,-6.986514948697218e+00
 1.850000000000000e+00,-8.656961201932164e+00
