Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Left.Leg.JointMomentMeasure.HipFlexion
 1.030000000000000e+00, 1.954794969723783e+00
 1.040000000000000e+00, 2.171661997914655e+00
 1.050000000000000e+00, 2.434770268916614e+00
 1.060000000000000e+00, 2.749423158623400e+00
 1.070000000000000e+00, 3.111153863329611e+00
 1.080000000000000e+00, 3.505999836684183e+00
 1.090000000000000e+00, 3.901183287158528e+00
 1.100000000000000e+00, 4.249733803001455e+00
 1.110000000000000e+00, 4.516547236747664e+00
 1.120000000000000e+00, 4.688563469660579e+00
 1.130000000000000e+00, 4.775482192899471e+00
 1.140000000000000e+00, 4.798226446953565e+00
 1.150000000000000e+00, 4.777957229688276e+00
 1.160000000000000e+00, 4.732789394251029e+00
 1.170000000000000e+00, 4.681829714189470e+00
 1.180000000000000e+00, 4.628253959820263e+00
 1.190000000000000e+00, 4.541256812817752e+00
 1.200000000000000e+00, 4.382858350140452e+00
 1.210000000000000e+00, 4.144794264154451e+00
 1.220000000000000e+00, 3.854428925519069e+00
 1.230000000000000e+00, 3.555806974637430e+00
 1.240000000000000e+00, 3.290474160533576e+00
 1.250000000000000e+00, 3.094492049543024e+00
 1.260000000000000e+00, 3.003807286788295e+00
 1.270000000000000e+00, 3.049542230918538e+00
 1.280000000000000e+00, 3.252121539742777e+00
 1.290000000000000e+00, 3.605066239943066e+00
 1.300000000000000e+00, 4.090265396500012e+00
 1.310000000000000e+00, 4.670024522617338e+00
 1.320000000000000e+00, 5.335440586346227e+00
 1.330000000000000e+00, 6.036197231386581e+00
 1.340000000000000e+00, 6.741116093131739e+00
 1.350000000000000e+00, 7.480479479437353e+00
 1.360000000000000e+00, 8.139373319161873e+00
 1.370000000000000e+00, 8.430051278888779e+00
 1.380000000000000e+00, 8.883189372898352e+00
 1.390000000000000e+00, 9.210247452506932e+00
 1.400000000000000e+00, 9.402651127771669e+00
 1.410000000000000e+00, 9.423195298578682e+00
 1.420000000000000e+00, 9.216394886515589e+00
 1.430000000000000e+00, 8.814923108894583e+00
 1.440000000000000e+00, 8.174337678868760e+00
 1.450000000000000e+00, 6.851551067184113e+00
 1.460000000000000e+00, 5.266278143685035e+00
 1.470000000000000e+00, 3.518876406749563e+00
 1.480000000000000e+00, 2.200784525764532e+00
 1.490000000000000e+00, 1.435505083056888e+00
 1.500000000000000e+00, 1.138406136433934e+00
 1.510000000000000e+00, 1.388655027884584e+00
 1.520000000000000e+00, 2.284834073182518e+00
 1.530000000000000e+00, 3.799130708480319e+00
 1.540000000000000e+00, 5.918950978552640e+00
 1.550000000000000e+00, 7.336825269326669e+00
 1.560000000000000e+00, 8.299818215472595e+00
 1.570000000000000e+00, 9.564500886161291e+00
 1.580000000000000e+00, 1.005168094656028e+01
 1.590000000000000e+00, 1.036436302079563e+01
 1.600000000000000e+00, 1.036435954002150e+01
 1.610000000000000e+00, 9.744385983271838e+00
 1.620000000000000e+00, 8.453266096351399e+00
 1.630000000000000e+00, 7.377089504854736e+00
 1.640000000000000e+00, 6.484254783846108e+00
 1.650000000000000e+00, 5.943088034457789e+00
 1.660000000000000e+00, 5.810576910395945e+00
 1.670000000000000e+00, 5.934117026851339e+00
 1.680000000000000e+00, 6.175338729928066e+00
 1.690000000000000e+00, 5.976575851870993e+00
 1.700000000000000e+00, 4.962585107122331e+00
 1.710000000000000e+00, 2.970942890280913e+00
 1.720000000000000e+00, 7.317425176000870e-01
 1.730000000000000e+00,-2.073548310513927e+00
 1.740000000000000e+00,-5.031532584551714e+00
 1.750000000000000e+00,-7.841445846503190e+00
 1.760000000000000e+00,-1.022199535184661e+01
 1.770000000000000e+00,-1.188484598541844e+01
 1.780000000000000e+00,-1.096707734624998e+01
 1.790000000000000e+00,-8.751225822898062e+00
 1.800000000000000e+00,-6.186889473093056e+00
