Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Pos
 1.030000000000000e+00,-5.427853274135699e-02
 1.040000000000000e+00,-5.439154286567095e-02
 1.050000000000000e+00,-5.452167818573378e-02
 1.060000000000000e+00,-5.467675787671032e-02
 1.070000000000000e+00,-5.485960286000782e-02
 1.080000000000000e+00,-5.506738423138804e-02
 1.090000000000000e+00,-5.529204822583238e-02
 1.100000000000000e+00,-5.552186241204268e-02
 1.110000000000000e+00,-5.574366052760903e-02
 1.120000000000000e+00,-5.594506215230607e-02
 1.130000000000000e+00,-5.611591833927251e-02
 1.140000000000000e+00,-5.624868884696429e-02
 1.150000000000000e+00,-5.633798456673345e-02
 1.160000000000000e+00,-5.637960154385785e-02
 1.170000000000000e+00,-5.636924794869329e-02
 1.180000000000000e+00,-5.630143539002384e-02
 1.190000000000000e+00,-5.616956718110326e-02
 1.200000000000000e+00,-5.596779521592424e-02
 1.210000000000000e+00,-5.569368611937675e-02
 1.220000000000000e+00,-5.535008233468393e-02
 1.230000000000000e+00,-5.494543242639845e-02
 1.240000000000000e+00,-5.449293419806205e-02
 1.250000000000000e+00,-5.400906420852252e-02
 1.260000000000000e+00,-5.351173953531155e-02
 1.270000000000000e+00,-5.301815763223238e-02
 1.280000000000000e+00,-5.254254022202238e-02
 1.290000000000000e+00,-5.209430292449514e-02
 1.300000000000000e+00,-5.167708413848461e-02
 1.310000000000000e+00,-5.128863707513536e-02
 1.320000000000000e+00,-5.092154721232394e-02
 1.330000000000000e+00,-5.056495790836001e-02
 1.340000000000000e+00,-5.020713373923890e-02
 1.350000000000000e+00,-4.983812391354470e-02
 1.360000000000000e+00,-4.945122209018796e-02
 1.370000000000000e+00,-4.904365484999511e-02
 1.380000000000000e+00,-4.862034604677096e-02
 1.390000000000000e+00,-4.818393633564286e-02
 1.400000000000000e+00,-4.773643182962940e-02
 1.410000000000000e+00,-4.727669504798124e-02
 1.420000000000000e+00,-4.679849482531641e-02
 1.430000000000000e+00,-4.629082267966204e-02
 1.440000000000000e+00,-4.573998539713864e-02
 1.450000000000000e+00,-4.513311056177487e-02
 1.460000000000000e+00,-4.446269015991790e-02
 1.470000000000000e+00,-4.373141868790096e-02
 1.480000000000000e+00,-4.295589499901611e-02
 1.490000000000000e+00,-4.216722386744999e-02
 1.500000000000000e+00,-4.140714733912970e-02
 1.510000000000000e+00,-4.072057506258407e-02
 1.520000000000000e+00,-4.014732405615189e-02
 1.530000000000000e+00,-3.971519257585587e-02
 1.540000000000000e+00,-3.943471918787617e-02
 1.550000000000000e+00,-3.929633165050725e-02
 1.560000000000000e+00,-3.927180669281902e-02
 1.570000000000000e+00,-3.932059806463302e-02
 1.580000000000000e+00,-3.939852986908247e-02
 1.590000000000000e+00,-3.946488730198780e-02
 1.600000000000000e+00,-3.948492410672586e-02
 1.610000000000000e+00,-3.942669150189034e-02
 1.620000000000000e+00,-3.925270833731168e-02
 1.630000000000000e+00,-3.890862995785194e-02
 1.640000000000000e+00,-3.831220767223807e-02
 1.650000000000000e+00,-3.734513933618556e-02
 1.660000000000000e+00,-3.584886014757662e-02
 1.670000000000000e+00,-3.362507040550080e-02
 1.680000000000000e+00,-3.044197127407779e-02
 1.690000000000000e+00,-2.604416316235193e-02
 1.700000000000000e+00,-2.017825608273282e-02
 1.710000000000000e+00,-1.260009412007844e-02
 1.720000000000000e+00,-3.111328756673836e-03
 1.730000000000000e+00, 8.415948259064514e-03
 1.740000000000000e+00, 2.201804983421115e-02
 1.750000000000000e+00, 3.763177625533631e-02
 1.760000000000000e+00, 5.510163824690233e-02
 1.770000000000000e+00, 7.419707916773582e-02
 1.780000000000000e+00, 9.463339188342608e-02
 1.790000000000000e+00, 1.160944049399878e-01
 1.800000000000000e+00, 1.382482207667814e-01
 1.810000000000000e+00, 1.607664864509834e-01
 1.820000000000000e+00, 1.833380477886731e-01
 1.830000000000000e+00, 2.056786994572172e-01
 1.840000000000000e+00, 2.275384326874777e-01
 1.850000000000000e+00, 2.487068571160787e-01
 1.860000000000000e+00, 2.690173102247799e-01
 1.870000000000000e+00, 2.883490507445740e-01
 1.880000000000000e+00, 3.066265221451711e-01
 1.890000000000000e+00, 3.238143749408641e-01
 1.900000000000000e+00, 3.399105053972148e-01
 1.910000000000000e+00, 3.549385489290943e-01
 1.920000000000000e+00, 3.689397923688876e-01
 1.930000000000000e+00, 3.819645670315398e-01
 1.940000000000000e+00, 3.940644388311790e-01
 1.950000000000000e+00, 4.052868361380245e-01
 1.960000000000000e+00, 4.156721054616424e-01
 1.970000000000000e+00, 4.252511740633865e-01
 1.980000000000000e+00, 4.340428573623655e-01
 1.990000000000000e+00, 4.420522611846806e-01
 2.000000000000000e+00, 4.492719980631022e-01
 2.010000000000000e+00, 4.556860970926738e-01
 2.020000000000000e+00, 4.612749764890342e-01
 2.030000000000000e+00, 4.660207989211470e-01
 2.040000000000000e+00, 4.699119169187722e-01
 2.050000000000000e+00, 4.729454773099451e-01
 2.060000000000000e+00, 4.751277674923214e-01
 2.070000000000000e+00, 4.764716156042029e-01
 2.080000000000000e+00, 4.769890594752784e-01
 2.090000000000000e+00, 4.766911166027868e-01
 2.100000000000000e+00, 4.755807939928993e-01
 2.110000000000000e+00, 4.736495931947243e-01
 2.120000000000000e+00, 4.708763522178769e-01
 2.130000000000000e+00, 4.672288863913344e-01
 2.140000000000000e+00, 4.626686719430630e-01
 2.150000000000000e+00, 4.571569869010679e-01
 2.160000000000000e+00, 4.506610004615577e-01
 2.170000000000000e+00, 4.431598614376532e-01
 2.180000000000000e+00, 4.346513638083012e-01
 2.190000000000000e+00, 4.251589270199068e-01
 2.200000000000000e+00, 4.147385245648849e-01
 2.210000000000000e+00, 4.034856515746401e-01
 2.220000000000000e+00, 3.915414059009326e-01
 2.230000000000000e+00, 3.790949269272158e-01
 2.240000000000000e+00, 3.663790948795319e-01
 2.250000000000000e+00, 3.536558093314246e-01
 2.260000000000000e+00, 3.411905970780577e-01
 2.270000000000000e+00, 3.292250815970451e-01
 2.280000000000000e+00, 3.179142262215527e-01
 2.290000000000000e+00, 3.072982292637353e-01
 2.300000000000000e+00, 2.972870905210828e-01
 2.310000000000000e+00, 2.876765183581063e-01
 2.320000000000000e+00, 2.781944994396958e-01
 2.330000000000000e+00, 2.685627512660026e-01
 2.340000000000000e+00, 2.585540952546547e-01
 2.350000000000000e+00, 2.480314098213949e-01
 2.360000000000000e+00, 2.369625315257968e-01
 2.370000000000000e+00, 2.254127756898829e-01
 2.380000000000000e+00, 2.135181460613029e-01
 2.390000000000000e+00, 2.014420573779738e-01
 2.400000000000000e+00, 1.893506943602890e-01
 2.410000000000000e+00, 1.773762031581480e-01
 2.420000000000000e+00, 1.655989386299463e-01
 2.430000000000000e+00, 1.540546520815350e-01
 2.440000000000000e+00, 1.427470138005742e-01
 2.450000000000000e+00, 1.316649219490537e-01
 2.460000000000000e+00, 1.207976439268909e-01
 2.470000000000000e+00, 1.101440499254369e-01
 2.480000000000000e+00, 9.971615286455078e-02
 2.490000000000000e+00, 8.953754325848073e-02
 2.500000000000000e+00, 7.963688051757924e-02
 2.510000000000000e+00, 7.004188206901109e-02
 2.520000000000000e+00, 6.077209932441154e-02
 2.530000000000000e+00, 5.183555294124804e-02
 2.540000000000000e+00, 4.322805759362457e-02
 2.550000000000000e+00, 3.493386096875798e-02
 2.560000000000000e+00, 2.692711218867305e-02
 2.570000000000000e+00, 1.917380493939574e-02
 2.580000000000000e+00, 1.163365851023366e-02
 2.590000000000000e+00, 4.261510729300126e-03
 2.600000000000000e+00,-2.992462503251928e-03
 2.609999999999999e+00,-1.018427471024411e-02
 2.620000000000000e+00,-1.737857614892421e-02
 2.630000000000000e+00,-2.465023062476013e-02
 2.640000000000000e+00,-3.208361593842331e-02
