Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Vel
 1.030000000000000e+00,-1.080440886570450e-02
 1.040000000000000e+00,-1.199236021798346e-02
 1.050000000000000e+00,-1.416897701985510e-02
 1.060000000000000e+00,-1.689587999556695e-02
 1.070000000000000e+00,-1.962492914585889e-02
 1.080000000000000e+00,-2.179291579028203e-02
 1.090000000000000e+00,-2.293827568377419e-02
 1.100000000000000e+00,-2.279919735919987e-02
 1.110000000000000e+00,-2.135054335103066e-02
 1.120000000000000e+00,-1.876019888209983e-02
 1.130000000000000e+00,-1.528701685667189e-02
 1.140000000000000e+00,-1.117991610145515e-02
 1.150000000000000e+00,-6.612523588795862e-03
 1.160000000000000e+00,-1.642487190694710e-03
 1.170000000000000e+00, 3.805097780081072e-03
 1.180000000000000e+00, 9.873538619714970e-03
 1.190000000000000e+00, 1.660618850207184e-02
 1.200000000000000e+00, 2.379435471762008e-02
 1.210000000000000e+00, 3.098063591137795e-02
 1.220000000000000e+00, 3.759634957487264e-02
 1.230000000000000e+00, 4.310917390401669e-02
 1.240000000000000e+00, 4.711050697011189e-02
 1.250000000000000e+00, 4.935863944495634e-02
 1.260000000000000e+00, 4.981314575754483e-02
 1.270000000000000e+00, 4.866107574800107e-02
 1.280000000000000e+00, 4.630320222167907e-02
 1.290000000000000e+00, 4.328394796613515e-02
 1.300000000000000e+00, 4.019991976900968e-02
 1.310000000000000e+00, 3.761903881623128e-02
 1.320000000000000e+00, 3.598878903098736e-02
 1.330000000000000e+00, 3.553392452083871e-02
 1.340000000000000e+00, 3.620366543174507e-02
 1.350000000000000e+00, 3.770413948774241e-02
 1.360000000000000e+00, 3.975290223660227e-02
 1.370000000000000e+00, 4.162104626812520e-02
 1.380000000000000e+00, 4.301840324975268e-02
 1.390000000000000e+00, 4.421100160492471e-02
 1.400000000000000e+00, 4.530033040734643e-02
 1.410000000000000e+00, 4.674751555967831e-02
 1.420000000000000e+00, 4.907765402461040e-02
 1.430000000000000e+00, 5.269069236823319e-02
 1.440000000000000e+00, 5.770059278379815e-02
 1.450000000000000e+00, 6.381073196995045e-02
 1.460000000000000e+00, 7.023765363230042e-02
 1.470000000000000e+00, 7.574100988935210e-02
 1.480000000000000e+00, 7.883294876625009e-02
 1.490000000000000e+00, 7.818203778067977e-02
 1.500000000000000e+00, 7.305962956214608e-02
 1.510000000000000e+00, 6.357183832662487e-02
 1.520000000000000e+00, 5.060237093821893e-02
 1.530000000000000e+00, 3.564547168116268e-02
 1.540000000000000e+00, 2.062477170754102e-02
 1.550000000000000e+00, 7.562023667620387e-03
 1.560000000000000e+00,-1.926798270008105e-03
 1.570000000000000e+00,-7.037826148106874e-03
 1.580000000000000e+00,-7.819252447150650e-03
 1.590000000000000e+00,-4.832976098221421e-03
 1.600000000000000e+00, 1.388345156750508e-03
 1.610000000000000e+00, 1.090935104561901e-02
 1.620000000000000e+00, 2.482622598018659e-02
 1.630000000000000e+00, 4.540688864964700e-02
 1.640000000000000e+00, 7.590705030348285e-02
 1.650000000000000e+00, 1.202114091851599e-01
 1.660000000000000e+00, 1.824057263707114e-01
 1.670000000000000e+00, 2.662472927413949e-01
 1.680000000000000e+00, 3.745809555187781e-01
 1.690000000000000e+00, 5.088209662793228e-01
 1.700000000000000e+00, 6.684607723294584e-01
 1.710000000000000e+00, 8.505566596223695e-01
 1.720000000000000e+00, 1.049390797588550e+00
 1.730000000000000e+00, 1.256692887665531e+00
 1.740000000000000e+00, 1.462651265291024e+00
 1.750000000000000e+00, 1.657450484582188e+00
 1.760000000000000e+00, 1.832623323790448e+00
 1.770000000000000e+00, 1.981647030158395e+00
 1.780000000000000e+00, 2.100314489364449e+00
 1.790000000000000e+00, 2.186292493515842e+00
 1.800000000000000e+00, 2.238963889839693e+00
 1.810000000000000e+00, 2.259476083614801e+00
 1.820000000000000e+00, 2.250079621878403e+00
 1.830000000000000e+00, 2.213869174994247e+00
 1.840000000000000e+00, 2.154559118688650e+00
 1.850000000000000e+00, 2.076341737935546e+00
 1.860000000000000e+00, 1.983737367728801e+00
 1.870000000000000e+00, 1.881367098921266e+00
 1.880000000000000e+00, 1.773558032825030e+00
 1.890000000000000e+00, 1.663998221271405e+00
 1.900000000000000e+00, 1.555644209604824e+00
 1.910000000000000e+00, 1.450677248374820e+00
 1.920000000000000e+00, 1.350432967255005e+00
 1.930000000000000e+00, 1.255396369198005e+00
 1.940000000000000e+00, 1.165375535575286e+00
 1.950000000000000e+00, 1.079782251620622e+00
 1.960000000000000e+00, 9.977954713864167e-01
 1.970000000000000e+00, 9.183372589135339e-01
 1.980000000000000e+00, 8.400810760679798e-01
 1.990000000000000e+00, 7.616645809700362e-01
 2.000000000000000e+00, 6.820028135985493e-01
 2.010000000000000e+00, 6.004749368495036e-01
 2.020000000000000e+00, 5.169909645010541e-01
 2.030000000000000e+00, 4.319717508040495e-01
 2.040000000000000e+00, 3.462041590742402e-01
 2.050000000000000e+00, 2.606151290265502e-01
 2.060000000000000e+00, 1.760904981017785e-01
 2.070000000000000e+00, 9.286436917068019e-02
 2.080000000000000e+00, 1.083962251658713e-02
 2.090000000000000e+00,-7.037255822804495e-02
 2.100000000000000e+00,-1.518290347267719e-01
 2.110000000000000e+00,-2.347683280775311e-01
 2.120000000000000e+00,-3.204301909925319e-01
 2.130000000000000e+00,-4.097229574823414e-01
 2.140000000000000e+00,-5.029820733251474e-01
 2.150000000000000e+00,-5.999186118959688e-01
 2.160000000000000e+00,-6.996449438801919e-01
 2.170000000000000e+00,-8.006392781948769e-01
 2.180000000000000e+00,-9.006889739653605e-01
 2.190000000000000e+00,-9.968851955189586e-01
 2.200000000000000e+00,-1.085622070282209e+00
 2.210000000000000e+00,-1.162609215049301e+00
 2.220000000000000e+00,-1.223076721822582e+00
 2.230000000000000e+00,-1.262301323935632e+00
 2.240000000000000e+00,-1.276411280880759e+00
 2.250000000000000e+00,-1.263788768938525e+00
 2.260000000000000e+00,-1.224982868699544e+00
 2.270000000000000e+00,-1.165497933385719e+00
 2.280000000000000e+00,-1.095936524682533e+00
 2.290000000000000e+00,-1.028811589533007e+00
 2.300000000000000e+00,-9.769578163726963e-01
 2.310000000000000e+00,-9.498704602401149e-01
 2.320000000000000e+00,-9.513377369581211e-01
 2.330000000000000e+00,-9.789087891593651e-01
 2.340000000000000e+00,-1.025148413413653e+00
 2.350000000000000e+00,-1.079900014436268e+00
 2.360000000000000e+00,-1.132720642002554e+00
 2.370000000000000e+00,-1.174807629636929e+00
 2.380000000000000e+00,-1.201364444992346e+00
 2.390000000000000e+00,-1.210950060293024e+00
 2.400000000000000e+00,-1.205070819157826e+00
 2.410000000000000e+00,-1.188522940210309e+00
 2.420000000000000e+00,-1.166364157488698e+00
 2.430000000000000e+00,-1.142485769267545e+00
 2.440000000000000e+00,-1.119270223851008e+00
 2.450000000000000e+00,-1.097352376949744e+00
 2.460000000000000e+00,-1.076131225798808e+00
 2.470000000000000e+00,-1.054384317723816e+00
 2.480000000000000e+00,-1.030778810041533e+00
 2.490000000000000e+00,-1.004452429101475e+00
 2.500000000000000e+00,-9.751931648335487e-01
 2.510000000000000e+00,-9.434732570974654e-01
 2.520000000000000e+00,-9.103481558801279e-01
 2.530000000000000e+00,-8.770328518682854e-01
 2.540000000000000e+00,-8.447329531305771e-01
 2.550000000000000e+00,-8.145429273676521e-01
 2.560000000000000e+00,-7.873789610014544e-01
 2.570000000000000e+00,-7.639580408246872e-01
 2.580000000000000e+00,-7.448249830693664e-01
 2.590000000000000e+00,-7.304302935367731e-01
