Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Right.Leg.Muscles.Envelope
 1.030000000000000e+00, 5.863541536435010e-02
 1.040000000000000e+00, 5.495734111797367e-02
 1.050000000000000e+00, 5.079853537879096e-02
 1.060000000000000e+00, 4.633273074269139e-02
 1.070000000000000e+00, 4.184798448961236e-02
 1.080000000000000e+00, 3.763741378489560e-02
 1.090000000000000e+00, 3.403048555559164e-02
 1.100000000000000e+00, 3.136771504957508e-02
 1.110000000000000e+00, 3.096191901234043e-02
 1.120000000000000e+00, 3.160413167243907e-02
 1.130000000000000e+00, 3.181296902652366e-02
 1.140000000000000e+00, 3.172651332756243e-02
 1.150000000000000e+00, 3.213040638998566e-02
 1.160000000000000e+00, 3.370868383284739e-02
 1.170000000000000e+00, 3.525715004956532e-02
 1.180000000000000e+00, 3.658546900296617e-02
 1.190000000000000e+00, 3.773535879790151e-02
 1.200000000000000e+00, 3.890953218905757e-02
 1.210000000000000e+00, 4.022726892511445e-02
 1.220000000000000e+00, 4.162714685003727e-02
 1.230000000000000e+00, 4.291559288098504e-02
 1.240000000000000e+00, 4.381014178838415e-02
 1.250000000000000e+00, 4.402203881642400e-02
 1.260000000000000e+00, 4.330179945983888e-02
 1.270000000000000e+00, 4.148061328806511e-02
 1.280000000000000e+00, 3.845870083688274e-02
 1.290000000000000e+00, 3.391598685247618e-02
 1.300000000000000e+00, 3.139922877839149e-02
 1.310000000000000e+00, 3.522881702009167e-02
 1.320000000000000e+00, 3.899572665915382e-02
 1.330000000000000e+00, 4.230201720860458e-02
 1.340000000000000e+00, 4.484591721443875e-02
 1.350000000000000e+00, 6.025218973099911e-02
 1.360000000000000e+00, 7.205928102982054e-02
 1.370000000000000e+00, 7.241875641658777e-02
 1.380000000000000e+00, 7.384780451092481e-02
 1.390000000000000e+00, 6.977253595905764e-02
 1.400000000000000e+00, 6.377896440554780e-02
 1.410000000000000e+00, 5.685580187378784e-02
 1.420000000000000e+00, 4.941743170555053e-02
 1.430000000000000e+00, 4.170772197892839e-02
 1.440000000000000e+00, 3.225473674303903e-02
 1.450000000000000e+00, 2.692506159467519e-02
 1.460000000000000e+00, 2.047554619745070e-02
 1.470000000000000e+00, 1.492673011151516e-02
 1.480000000000000e+00, 1.420020944379196e-02
 1.490000000000000e+00, 1.985489925965964e-02
 1.500000000000000e+00, 2.810804856229028e-02
 1.510000000000000e+00, 3.030890137373259e-02
 1.520000000000000e+00, 2.480445645867466e-02
 1.530000000000000e+00, 3.227247214171252e-02
 1.540000000000000e+00, 4.130782875643894e-02
 1.550000000000000e+00, 6.575029796950771e-02
 1.560000000000000e+00, 9.984881749365963e-02
 1.570000000000000e+00, 1.056881608559003e-01
 1.580000000000000e+00, 9.931937564694186e-02
 1.590000000000000e+00, 9.244453410049421e-02
 1.600000000000000e+00, 8.649267569122014e-02
 1.610000000000000e+00, 8.185438467952098e-02
 1.620000000000000e+00, 7.377903121416075e-02
 1.630000000000000e+00, 6.459991523547404e-02
 1.640000000000000e+00, 5.623285793650081e-02
 1.650000000000000e+00, 5.371449361514719e-02
 1.660000000000000e+00, 5.936970104924860e-02
 1.670000000000000e+00, 6.905694628786481e-02
 1.680000000000000e+00, 7.552250496532975e-02
 1.690000000000000e+00, 7.109620301353878e-02
 1.700000000000000e+00, 4.833051667673901e-02
 1.710000000000000e+00, 3.016479188999015e-02
 1.720000000000000e+00, 5.270824603310550e-02
 1.730000000000000e+00, 1.009821465895816e-01
 1.740000000000000e+00, 1.473180809894626e-01
 1.750000000000000e+00, 1.804224286592833e-01
 1.760000000000000e+00, 1.921274253116312e-01
 1.770000000000000e+00, 1.793927636838013e-01
 1.780000000000000e+00, 1.447904803112554e-01
 1.790000000000000e+00, 9.211724416307662e-02
 1.800000000000000e+00, 2.989707660923082e-02
 1.810000000000000e+00, 4.964142302208169e-02
 1.820000000000000e+00, 1.311467534306454e-01
 1.830000000000000e+00, 2.242863661044410e-01
 1.840000000000000e+00, 3.590633841142324e-01
 1.850000000000000e+00, 3.565252982820190e-01
 1.860000000000000e+00, 3.491341451939455e-01
 1.870000000000000e+00, 3.257346229245436e-01
 1.880000000000000e+00, 2.824720983651636e-01
 1.890000000000000e+00, 1.175450184962339e-01
 1.900000000000000e+00, 9.785385177238792e-02
 1.910000000000000e+00, 1.463977756824635e-01
 1.920000000000000e+00, 1.449317091435487e-01
 1.930000000000000e+00, 1.441809657326636e-01
 1.940000000000000e+00, 1.439809441573451e-01
 1.950000000000000e+00, 1.442029472811554e-01
 1.960000000000000e+00, 1.482310304277552e-01
 1.970000000000000e+00, 1.639814059259658e-01
 1.980000000000000e+00, 1.857132818010023e-01
 1.990000000000000e+00, 2.132770724589342e-01
 2.000000000000000e+00, 2.410953268565317e-01
 2.010000000000000e+00, 2.636929549756053e-01
 2.020000000000000e+00, 2.645498212353140e-01
 2.030000000000000e+00, 2.457198081117411e-01
 2.040000000000000e+00, 2.482408559470971e-01
 2.050000000000000e+00, 2.148926864775741e-01
 2.060000000000000e+00, 2.575068400294569e-01
 2.070000000000000e+00, 2.735116118970750e-01
 2.080000000000000e+00, 2.496381767049677e-01
 2.090000000000000e+00, 2.134644723821067e-01
 2.100000000000000e+00, 2.606718581048048e-01
 2.110000000000000e+00, 2.956623895754234e-01
 2.120000000000000e+00, 3.083961349782458e-01
