Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Right.ShoulderArm.InterfaceFolder.HipFlexion.Acc
 1.030000000000000e+00,-4.413139943879050e-01
 1.040000000000000e+00,-3.816473306147239e-01
 1.050000000000000e+00,-2.702618186547129e-01
 1.060000000000000e+00,-1.153993585906952e-01
 1.070000000000000e+00, 6.915674711137342e-02
 1.080000000000000e+00, 2.637692561242218e-01
 1.090000000000000e+00, 4.429321062499939e-01
 1.100000000000000e+00, 5.788913386077079e-01
 1.110000000000000e+00, 6.499266695505117e-01
 1.120000000000000e+00, 6.506001773258804e-01
 1.130000000000000e+00, 5.935995218316341e-01
 1.140000000000000e+00, 5.027462748668304e-01
 1.150000000000000e+00, 4.054130625416344e-01
 1.160000000000000e+00, 3.276742059820050e-01
 1.170000000000000e+00, 2.890554387340156e-01
 1.180000000000000e+00, 2.928868086618389e-01
 1.190000000000000e+00, 3.219990574357013e-01
 1.200000000000000e+00, 3.509782823820747e-01
 1.210000000000000e+00, 3.637938109811656e-01
 1.220000000000000e+00, 3.597905257171907e-01
 1.230000000000000e+00, 3.479898582376066e-01
 1.240000000000000e+00, 3.391687118567404e-01
 1.250000000000000e+00, 3.416363210000100e-01
 1.260000000000000e+00, 3.624133292779574e-01
 1.270000000000000e+00, 4.106278521886012e-01
 1.280000000000000e+00, 4.968503260018567e-01
 1.290000000000000e+00, 6.298651003697943e-01
 1.300000000000000e+00, 8.160352899391035e-01
 1.310000000000000e+00, 1.055933733616641e+00
 1.320000000000000e+00, 1.335435828235967e+00
 1.330000000000000e+00, 1.622393219504546e+00
 1.340000000000000e+00, 1.873631747969886e+00
 1.350000000000000e+00, 2.046045409453384e+00
 1.360000000000000e+00, 2.147144266291990e+00
 1.370000000000000e+00, 2.008136913531489e+00
 1.380000000000000e+00, 1.863117358163302e+00
 1.390000000000000e+00, 1.582525788611807e+00
 1.400000000000000e+00, 1.232145892111643e+00
 1.410000000000000e+00, 8.443881325005578e-01
 1.420000000000000e+00, 4.459614775949917e-01
 1.430000000000000e+00, 5.443196491708321e-02
 1.440000000000000e+00,-3.229909333505476e-01
 1.450000000000000e+00,-6.892582334599211e-01
 1.460000000000000e+00,-1.053942553806862e+00
 1.470000000000000e+00,-1.428928182937296e+00
 1.480000000000000e+00,-1.816330514124164e+00
 1.490000000000000e+00,-2.186682707930640e+00
 1.500000000000000e+00,-2.472957999380744e+00
 1.510000000000000e+00,-2.595304196970971e+00
 1.520000000000000e+00,-2.488411962226878e+00
 1.530000000000000e+00,-2.108831088206069e+00
 1.540000000000000e+00,-1.445911919940590e+00
 1.550000000000000e+00,-5.521688614016566e-01
 1.560000000000000e+00, 4.411458765114136e-01
 1.570000000000000e+00, 1.351865261448427e+00
 1.580000000000000e+00, 2.001099054441859e+00
 1.590000000000000e+00, 2.261063447184307e+00
 1.600000000000000e+00, 2.081210161319459e+00
 1.610000000000000e+00, 1.493119027039326e+00
 1.620000000000000e+00, 5.929050537319610e-01
 1.630000000000000e+00,-4.922955331570678e-01
 1.640000000000000e+00,-1.631106076907312e+00
 1.650000000000000e+00,-2.699699558399971e+00
 1.660000000000000e+00,-3.598851693127792e+00
 1.670000000000000e+00,-4.276214096648971e+00
 1.680000000000000e+00,-4.720537333862889e+00
 1.690000000000000e+00,-4.935530842825831e+00
 1.700000000000000e+00,-4.937504296364263e+00
 1.710000000000000e+00,-4.773049108391152e+00
 1.720000000000000e+00,-4.514781015308520e+00
 1.730000000000000e+00,-4.217907960267711e+00
 1.740000000000000e+00,-3.869073423868652e+00
 1.750000000000000e+00,-3.390403874135687e+00
 1.760000000000000e+00,-2.709837205939758e+00
 1.770000000000000e+00,-1.847786375882499e+00
 1.780000000000000e+00,-7.635044284068605e-01
 1.790000000000000e+00, 2.946084821787991e-01
 1.800000000000000e+00, 1.305941724697922e+00
 1.810000000000000e+00, 2.129280349473631e+00
 1.820000000000000e+00, 2.672376661082272e+00
 1.830000000000000e+00, 2.892676618568806e+00
 1.840000000000000e+00, 2.800532429004342e+00
 1.850000000000000e+00, 2.450828214609380e+00
 1.860000000000000e+00, 1.951300943517116e+00
 1.870000000000000e+00, 1.380186389984800e+00
 1.880000000000000e+00, 8.242691698915752e-01
 1.890000000000000e+00, 3.308366911609232e-01
 1.900000000000000e+00,-7.224692665424602e-02
