Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Right.Leg.JointMomentMeasure.HipFlexion
 1.030000000000000e+00, 2.213738464727752e+00
 1.040000000000000e+00, 2.480939285090178e+00
 1.050000000000000e+00, 2.790752409607823e+00
 1.060000000000000e+00, 3.137358656010954e+00
 1.070000000000000e+00, 3.505439615285933e+00
 1.080000000000000e+00, 3.872847450687777e+00
 1.090000000000000e+00, 4.211165628338389e+00
 1.100000000000000e+00, 4.489579432385268e+00
 1.110000000000000e+00, 4.679237256447007e+00
 1.120000000000000e+00, 4.773173803822056e+00
 1.130000000000000e+00, 4.786982330368774e+00
 1.140000000000000e+00, 4.747075866775822e+00
 1.150000000000000e+00, 4.677830418357105e+00
 1.160000000000000e+00, 4.601458573544336e+00
 1.170000000000000e+00, 4.537060882268271e+00
 1.180000000000000e+00, 4.485254208670730e+00
 1.190000000000000e+00, 4.417119661263010e+00
 1.200000000000000e+00, 4.293809584692756e+00
 1.210000000000000e+00, 4.104933697215402e+00
 1.220000000000000e+00, 3.876442083893732e+00
 1.230000000000000e+00, 3.648162923997115e+00
 1.240000000000000e+00, 3.457875711039512e+00
 1.250000000000000e+00, 3.339563698756167e+00
 1.260000000000000e+00, 3.323694726712000e+00
 1.270000000000000e+00, 3.437281586979435e+00
 1.280000000000000e+00, 3.695441833856051e+00
 1.290000000000000e+00, 4.108110207037885e+00
 1.300000000000000e+00, 4.666696327455091e+00
 1.310000000000000e+00, 5.348508349105044e+00
 1.320000000000000e+00, 6.058837288169170e+00
 1.330000000000000e+00, 6.706008733423228e+00
 1.340000000000000e+00, 7.170497287909169e+00
 1.350000000000000e+00, 7.306627298521586e+00
 1.360000000000000e+00, 7.344658081765627e+00
 1.370000000000000e+00, 6.853883532226966e+00
 1.380000000000000e+00, 6.384975222018125e+00
 1.390000000000000e+00, 5.628342214986335e+00
 1.400000000000000e+00, 4.853183833238020e+00
 1.410000000000000e+00, 4.172620567174468e+00
 1.420000000000000e+00, 3.656410414480420e+00
 1.430000000000000e+00, 3.205698648623745e+00
 1.440000000000000e+00, 2.751057260698216e+00
 1.450000000000000e+00, 2.640327008888286e+00
 1.460000000000000e+00, 2.474968602259085e+00
 1.470000000000000e+00, 2.327232281972367e+00
 1.480000000000000e+00, 1.909442199205325e+00
 1.490000000000000e+00, 1.463909786112835e+00
 1.500000000000000e+00, 1.410091221448339e+00
 1.510000000000000e+00, 1.906140047582179e+00
 1.520000000000000e+00, 2.952718139741090e+00
 1.530000000000000e+00, 4.504253413830351e+00
 1.540000000000000e+00, 6.283718958482116e+00
 1.550000000000000e+00, 9.044909977898179e+00
 1.560000000000000e+00, 1.182265469680324e+01
 1.570000000000000e+00, 1.308287366932744e+01
 1.580000000000000e+00, 1.312323107974110e+01
 1.590000000000000e+00, 1.245813412990434e+01
 1.600000000000000e+00, 1.137471293744037e+01
 1.610000000000000e+00, 9.553538848961150e+00
 1.620000000000000e+00, 7.989502307865279e+00
 1.630000000000000e+00, 6.407430112189538e+00
 1.640000000000000e+00, 5.267405826517547e+00
 1.650000000000000e+00, 4.588125217381481e+00
 1.660000000000000e+00, 4.268476264219276e+00
 1.670000000000000e+00, 4.148204526682536e+00
 1.680000000000000e+00, 3.880799196922696e+00
 1.690000000000000e+00, 3.524835155732764e+00
 1.700000000000000e+00, 3.049550975381079e+00
 1.710000000000000e+00, 2.345979999195784e+00
 1.720000000000000e+00, 6.445203715989524e-01
 1.730000000000000e+00,-1.388652485002316e+00
 1.740000000000000e+00,-3.405232828103452e+00
 1.750000000000000e+00,-4.650480686693550e+00
 1.760000000000000e+00,-4.437342709333050e+00
