Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Right.ShoulderArm.InterfaceFolder.HipFlexion.Pos
 1.030000000000000e+00,-4.108699907788376e-02
 1.040000000000000e+00,-4.135963160630522e-02
 1.050000000000000e+00,-4.166956404059378e-02
 1.060000000000000e+00,-4.200579770831493e-02
 1.070000000000000e+00,-4.235307581243648e-02
 1.080000000000000e+00,-4.269326979133158e-02
 1.090000000000000e+00,-4.300734350681755e-02
 1.100000000000000e+00,-4.327784358842518e-02
 1.110000000000000e+00,-4.349153668531240e-02
 1.120000000000000e+00,-4.364141047453570e-02
 1.130000000000000e+00,-4.372718656027787e-02
 1.140000000000000e+00,-4.375416813624801e-02
 1.150000000000000e+00,-4.373098419349814e-02
 1.160000000000000e+00,-4.366693314795039e-02
 1.170000000000000e+00,-4.356946301055429e-02
 1.180000000000000e+00,-4.344237968072828e-02
 1.190000000000000e+00,-4.328558576119081e-02
 1.200000000000000e+00,-4.309659334074972e-02
 1.210000000000000e+00,-4.287277164381434e-02
 1.220000000000000e+00,-4.261285020690212e-02
 1.230000000000000e+00,-4.231707928359283e-02
 1.240000000000000e+00,-4.198645962122263e-02
 1.250000000000000e+00,-4.162173510299299e-02
 1.260000000000000e+00,-4.122254214634486e-02
 1.270000000000000e+00,-4.078665105641100e-02
 1.280000000000000e+00,-4.030906441589487e-02
 1.290000000000000e+00,-3.978101403921983e-02
 1.300000000000000e+00,-3.918909330980253e-02
 1.310000000000000e+00,-3.851467708238720e-02
 1.320000000000000e+00,-3.773401264240311e-02
 1.330000000000000e+00,-3.681968705917294e-02
 1.340000000000000e+00,-3.574372471015681e-02
 1.350000000000000e+00,-3.448171950342160e-02
 1.360000000000000e+00,-3.301630369171102e-02
 1.370000000000000e+00,-3.134017956136071e-02
 1.380000000000000e+00,-2.946334316956008e-02
 1.390000000000000e+00,-2.740245585383794e-02
 1.400000000000000e+00,-2.518447760241442e-02
 1.410000000000000e+00,-2.284390241082657e-02
 1.420000000000000e+00,-2.041905709034727e-02
 1.430000000000000e+00,-1.794948822192889e-02
 1.440000000000000e+00,-1.547422625954532e-02
 1.450000000000000e+00,-1.303106153478217e-02
 1.460000000000000e+00,-1.065678050371577e-02
 1.470000000000000e+00,-8.388051182342572e-03
 1.480000000000000e+00,-6.262410103024674e-03
 1.490000000000000e+00,-4.318110301051046e-03
 1.500000000000000e+00,-2.591075054231259e-03
 1.510000000000000e+00,-1.108607299104619e-03
 1.520000000000000e+00, 1.181398013920418e-04
 1.530000000000000e+00, 1.100572262403596e-03
 1.540000000000000e+00, 1.876818000425399e-03
 1.550000000000000e+00, 2.512285149080772e-03
 1.560000000000000e+00, 3.094150347757622e-03
 1.570000000000000e+00, 3.718697264458974e-03
 1.580000000000000e+00, 4.474004443200990e-03
 1.590000000000000e+00, 5.422856236042767e-03
 1.600000000000000e+00, 6.590403546598262e-03
 1.610000000000000e+00, 7.959194237147879e-03
 1.620000000000000e+00, 9.472041752403078e-03
 1.630000000000000e+00, 1.104108216012614e-02
 1.640000000000000e+00, 1.256004372416647e-02
 1.650000000000000e+00, 1.391718457447759e-02
 1.660000000000000e+00, 1.500737897578165e-02
 1.670000000000000e+00, 1.574164897793096e-02
 1.680000000000000e+00, 1.605247339729551e-02
 1.690000000000000e+00, 1.589745021717780e-02
 1.700000000000000e+00, 1.524961714777644e-02
 1.710000000000000e+00, 1.411080745836177e-02
 1.720000000000000e+00, 1.249625640512153e-02
 1.730000000000000e+00, 1.043087066561858e-02
 1.740000000000000e+00, 7.944560155137047e-03
 1.750000000000000e+00, 5.073506221061591e-03
 1.760000000000000e+00, 1.866776854504799e-03
 1.770000000000000e+00,-1.607911492674588e-03
 1.780000000000000e+00,-5.263674621536490e-03
 1.790000000000000e+00,-8.996224341122523e-03
 1.800000000000000e+00,-1.270009287268447e-02
 1.810000000000000e+00,-1.627650047707145e-02
 1.820000000000000e+00,-1.964465075543180e-02
 1.830000000000000e+00,-2.275094331218172e-02
 1.840000000000000e+00,-2.557317561451994e-02
 1.850000000000000e+00,-2.811964734471963e-02
 1.860000000000000e+00,-3.042353330640730e-02
 1.870000000000000e+00,-3.253348229599479e-02
 1.880000000000000e+00,-3.450515935809820e-02
 1.890000000000000e+00,-3.639336809171907e-02
 1.900000000000000e+00,-3.824698734319925e-02
 1.910000000000000e+00,-4.010646558484070e-02
 1.920000000000000e+00,-4.200453552532808e-02
 1.930000000000000e+00,-4.396934804735679e-02
 1.940000000000000e+00,-4.602718092951678e-02
 1.950000000000000e+00,-4.820269850408077e-02
 1.960000000000000e+00,-5.051758136594361e-02
 1.970000000000000e+00,-5.298980917276049e-02
 1.980000000000000e+00,-5.563457284328263e-02
 1.990000000000000e+00,-5.846565686752474e-02
 2.000000000000000e+00,-6.149584450496535e-02
 2.010000000000000e+00,-6.473628162189650e-02
 2.020000000000000e+00,-6.819448317461796e-02
 2.030000000000000e+00,-7.187243952165784e-02
 2.040000000000000e+00,-7.576490482385889e-02
 2.050000000000000e+00,-7.985915457158275e-02
 2.060000000000000e+00,-8.413605251874479e-02
 2.070000000000000e+00,-8.857287082474058e-02
 2.080000000000000e+00,-9.315137415115314e-02
 2.090000000000000e+00,-9.785649021879343e-02
 2.100000000000000e+00,-1.026849748244256e-01
 2.110000000000000e+00,-1.076492679426760e-01
 2.120000000000000e+00,-1.127778871357103e-01
 2.130000000000000e+00,-1.181116589455006e-01
 2.140000000000000e+00,-1.236952496619948e-01
 2.150000000000000e+00,-1.295662249477649e-01
 2.160000000000000e+00,-1.357447167956021e-01
 2.170000000000000e+00,-1.422253573009730e-01
 2.180000000000000e+00,-1.489717778995077e-01
 2.190000000000000e+00,-1.559136541497381e-01
 2.200000000000000e+00,-1.629456823277540e-01
