Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Right.ShoulderArm.InterfaceFolder.HipFlexion.Vel
 1.030000000000000e+00,-2.515581691559726e-02
 1.040000000000000e+00,-2.927062354060939e-02
 1.050000000000000e+00,-3.253016928696190e-02
 1.060000000000000e+00,-3.445847517323547e-02
 1.070000000000000e+00,-3.468968823062654e-02
 1.080000000000000e+00,-3.302505821444548e-02
 1.090000000000000e+00,-2.949155140248987e-02
 1.100000000000000e+00,-2.438243417831226e-02
 1.110000000000000e+00,-1.823834413737095e-02
 1.120000000000000e+00,-1.173570990314910e-02
 1.130000000000000e+00,-5.514711407351642e-03
 1.140000000000000e+00,-3.298242373210608e-05
 1.150000000000000e+00, 4.507814263204897e-03
 1.160000000000000e+00, 8.173250605903338e-03
 1.170000000000000e+00, 1.125689882941182e-02
 1.180000000000000e+00, 1.416661006645482e-02
 1.190000000000000e+00, 1.724103939686679e-02
 1.200000000000000e+00, 2.060592609596163e-02
 1.210000000000000e+00, 2.417978656286261e-02
 1.220000000000000e+00, 2.779770824627054e-02
 1.230000000000000e+00, 3.133661016612406e-02
 1.240000000000000e+00, 3.477240301651174e-02
 1.250000000000000e+00, 3.817642818079513e-02
 1.260000000000000e+00, 4.169667643218499e-02
 1.270000000000000e+00, 4.556188233952279e-02
 1.280000000000000e+00, 5.009927323057363e-02
 1.290000000000000e+00, 5.573285036230143e-02
 1.300000000000000e+00, 6.296235231400266e-02
 1.310000000000000e+00, 7.232219743155439e-02
 1.320000000000000e+00, 8.427904524081790e-02
 1.330000000000000e+00, 9.906819047954664e-02
 1.340000000000000e+00, 1.165483153173453e-01
 1.350000000000000e+00, 1.361467011039681e-01
 1.360000000000000e+00, 1.571126494827281e-01
 1.370000000000000e+00, 1.778890553823169e-01
 1.380000000000000e+00, 1.972453267403570e-01
 1.390000000000000e+00, 2.144735424746269e-01
 1.400000000000000e+00, 2.285469008779003e-01
 1.410000000000000e+00, 2.389295710009796e-01
 1.420000000000000e+00, 2.453813190515961e-01
 1.430000000000000e+00, 2.478832862640990e-01
 1.440000000000000e+00, 2.465404914219006e-01
 1.450000000000000e+00, 2.414792455879724e-01
 1.460000000000000e+00, 2.327632416514442e-01
 1.470000000000000e+00, 2.203488879680069e-01
 1.480000000000000e+00, 2.041225944823340e-01
 1.490000000000000e+00, 1.841075283725104e-01
 1.500000000000000e+00, 1.608093248353946e-01
 1.510000000000000e+00, 1.354680138542193e-01
 1.520000000000000e+00, 1.100494330576378e-01
 1.530000000000000e+00, 8.706321780601381e-02
 1.540000000000000e+00, 6.928950276523753e-02
 1.550000000000000e+00, 5.929909885828891e-02
 1.560000000000000e+00, 5.874398393385157e-02
 1.570000000000000e+00, 6.770903962388991e-02
 1.580000000000000e+00, 8.447386120292005e-02
 1.590000000000000e+00, 1.057846737110613e-01
 1.600000000000000e+00, 1.274960417535692e-01
 1.610000000000000e+00, 1.453676876953633e-01
 1.620000000000000e+00, 1.557978080992524e-01
 1.630000000000000e+00, 1.563008557021449e-01
 1.640000000000000e+00, 1.456838476520740e-01
 1.650000000000000e+00, 1.240298194755394e-01
 1.660000000000000e+00, 9.253706321789928e-02
 1.670000000000000e+00, 5.316173426901682e-02
 1.680000000000000e+00, 8.177977116361815e-03
 1.690000000000000e+00,-4.010236376819689e-02
 1.700000000000000e+00,-8.946753946292939e-02
 1.710000000000000e+00,-1.380203064867817e-01
 1.720000000000000e+00,-1.844594571063800e-01
 1.730000000000000e+00,-2.281229019831389e-01
 1.740000000000000e+00,-2.685578089038227e-01
 1.750000000000000e+00,-3.048551953938655e-01
 1.760000000000000e+00,-3.353564007942863e-01
 1.770000000000000e+00,-3.581445187039227e-01
 1.780000000000000e+00,-3.712009727250595e-01
 1.790000000000000e+00,-3.735454524562046e-01
 1.800000000000000e+00,-3.655427014218080e-01
 1.810000000000000e+00,-3.483665910505110e-01
 1.820000000000000e+00,-3.243583059983191e-01
 1.830000000000000e+00,-2.965330396000629e-01
 1.840000000000000e+00,-2.680669943621972e-01
 1.850000000000000e+00,-2.418101911441422e-01
 1.860000000000000e+00,-2.197995453534598e-01
 1.870000000000000e+00,-2.031421086855700e-01
 1.880000000000000e+00,-1.921198308864605e-01
 1.890000000000000e+00,-1.863443015811996e-01
 1.900000000000000e+00,-1.850513527586609e-01
 1.910000000000000e+00,-1.873795288903750e-01
 1.920000000000000e+00,-1.926949790437582e-01
 1.930000000000000e+00,-2.007052860324614e-01
 1.940000000000000e+00,-2.112774907821399e-01
 1.950000000000000e+00,-2.241898817446399e-01
 1.960000000000000e+00,-2.390831090499931e-01
 1.970000000000000e+00,-2.556108810613441e-01
 1.980000000000000e+00,-2.735708109447130e-01
 1.990000000000000e+00,-2.928601869766478e-01
 2.000000000000000e+00,-3.133699446174973e-01
 2.010000000000000e+00,-3.348474663375688e-01
 2.020000000000000e+00,-3.568317959112288e-01
 2.030000000000000e+00,-3.786727237101498e-01
 2.040000000000000e+00,-3.996038062931561e-01
 2.050000000000000e+00,-4.189265670114671e-01
 2.060000000000000e+00,-4.360342340567058e-01
 2.070000000000000e+00,-4.510513720500667e-01
 2.080000000000000e+00,-4.643567666404561e-01
 2.090000000000000e+00,-4.766073788875452e-01
 2.100000000000000e+00,-4.892939193356695e-01
 2.110000000000000e+00,-5.040502609047740e-01
 2.120000000000000e+00,-5.223787308624487e-01
 2.130000000000000e+00,-5.451521173155618e-01
 2.140000000000000e+00,-5.722215587983749e-01
 2.150000000000000e+00,-6.023314491556703e-01
 2.160000000000000e+00,-6.332927852559368e-01
 2.170000000000000e+00,-6.622371156105685e-01
 2.180000000000000e+00,-6.858770821721741e-01
 2.190000000000000e+00,-7.007436078738277e-01
 2.200000000000000e+00,-7.033198113509146e-01
 2.210000000000000e+00,-6.901064852549164e-01
 2.220000000000000e+00,-6.577913427282389e-01
 2.230000000000000e+00,-6.035409726975731e-01
 2.240000000000000e+00,-5.252664509159450e-01
 2.250000000000000e+00,-4.223948571242273e-01
 2.260000000000000e+00,-2.942171054034005e-01
 2.270000000000000e+00,-1.429337489068815e-01
 2.280000000000000e+00, 2.624230932680022e-02
 2.290000000000000e+00, 2.085212206839880e-01
 2.300000000000000e+00, 3.991142949723221e-01
 2.310000000000000e+00, 5.952481314342666e-01
 2.320000000000000e+00, 7.967781101108995e-01
 2.330000000000000e+00, 1.005542993869409e+00
 2.340000000000000e+00, 1.223727240732588e+00
 2.350000000000000e+00, 1.452006470202574e+00
 2.360000000000000e+00, 1.688221829094530e+00
 2.370000000000000e+00, 1.927222938271534e+00
 2.380000000000000e+00, 2.159765552527114e+00
 2.390000000000000e+00, 2.375704742248873e+00
 2.400000000000000e+00, 2.565569664986684e+00
 2.410000000000000e+00, 2.720052986041919e+00
 2.420000000000000e+00, 2.833374101308883e+00
 2.430000000000000e+00, 2.903995397216323e+00
 2.440000000000000e+00, 2.934096596663557e+00
 2.450000000000000e+00, 2.928586583664685e+00
 2.460000000000000e+00, 2.893872131285653e+00
 2.470000000000000e+00, 2.836711918434498e+00
 2.480000000000000e+00, 2.763423554537007e+00
 2.490000000000000e+00, 2.679104662561549e+00
 2.500000000000000e+00, 2.587686490302614e+00
 2.510000000000000e+00, 2.491915609437985e+00
 2.520000000000000e+00, 2.393172248193973e+00
 2.530000000000000e+00, 2.291915310238838e+00
 2.540000000000000e+00, 2.187880500408678e+00
 2.550000000000000e+00, 2.080347112210103e+00
 2.560000000000000e+00, 1.968385773417521e+00
 2.570000000000000e+00, 1.851086997478164e+00
 2.580000000000000e+00, 1.727727552345964e+00
 2.590000000000000e+00, 1.597805234277101e+00
 2.600000000000000e+00, 1.460950549800407e+00
 2.609999999999999e+00, 1.316828789759837e+00
 2.620000000000000e+00, 1.165137470851557e+00
 2.630000000000000e+00, 1.005700924546070e+00
 2.640000000000000e+00, 8.386128738693565e-01
 2.650000000000000e+00, 6.643494493316073e-01
 2.660000000000000e+00, 4.841489320439261e-01
 2.670000000000000e+00, 2.998432719107269e-01
 2.680000000000000e+00, 1.138541819230120e-01
 2.690000000000000e+00,-7.063652274921216e-02
 2.700000000000000e+00,-2.500301313960394e-01
 2.710000000000000e+00,-4.203749997058494e-01
 2.720000000000000e+00,-5.775093426273408e-01
