Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Left.Leg.Muscles.Envelope
 1.030000000000000e+00, 1.206896880129289e-01
 1.040000000000000e+00, 1.200386003423442e-01
 1.050000000000000e+00, 1.163625615080640e-01
 1.060000000000000e+00, 1.096307731549141e-01
 1.070000000000000e+00, 1.002824912917053e-01
 1.080000000000000e+00, 8.898194229647477e-02
 1.090000000000000e+00, 7.773364185212558e-02
 1.100000000000000e+00, 6.826285604312836e-02
 1.110000000000000e+00, 6.388085470263800e-02
 1.120000000000000e+00, 6.833576739657078e-02
 1.130000000000000e+00, 8.431231072186325e-02
 1.140000000000000e+00, 1.121273089931615e-01
 1.150000000000000e+00, 1.500496319321284e-01
 1.160000000000000e+00, 1.912160991210119e-01
 1.170000000000000e+00, 2.291526295046307e-01
 1.180000000000000e+00, 2.580970395359551e-01
 1.190000000000000e+00, 2.760970003845798e-01
 1.200000000000000e+00, 2.812719107855763e-01
 1.210000000000000e+00, 2.738206925355066e-01
 1.220000000000000e+00, 2.563101216616264e-01
 1.230000000000000e+00, 2.352428995901066e-01
 1.240000000000000e+00, 2.061809411584803e-01
 1.250000000000000e+00, 1.845372528133031e-01
 1.260000000000000e+00, 1.652988098495718e-01
 1.270000000000000e+00, 1.517166819336432e-01
 1.280000000000000e+00, 1.438250088693118e-01
 1.290000000000000e+00, 1.390840025192291e-01
 1.300000000000000e+00, 1.428483043199768e-01
 1.310000000000000e+00, 1.436970406529441e-01
 1.320000000000000e+00, 1.475552972656823e-01
 1.330000000000000e+00, 1.515513618308570e-01
 1.340000000000000e+00, 1.548980256679318e-01
 1.350000000000000e+00, 1.573004660201894e-01
 1.360000000000000e+00, 1.574005003543151e-01
 1.370000000000000e+00, 1.637068759662675e-01
 1.380000000000000e+00, 1.638387166790523e-01
 1.390000000000000e+00, 1.666972924425427e-01
 1.400000000000000e+00, 1.689050308335615e-01
 1.410000000000000e+00, 1.719206301396653e-01
 1.420000000000000e+00, 1.733859023871393e-01
 1.430000000000000e+00, 1.742173768592409e-01
 1.440000000000000e+00, 1.762436255809766e-01
 1.450000000000000e+00, 1.813742894768530e-01
 1.460000000000000e+00, 1.895424345559409e-01
 1.470000000000000e+00, 1.982066093532440e-01
 1.480000000000000e+00, 2.085396457614310e-01
 1.490000000000000e+00, 2.079197349076932e-01
 1.500000000000000e+00, 2.050791613270446e-01
 1.510000000000000e+00, 1.950771119340286e-01
 1.520000000000000e+00, 1.823456232070953e-01
 1.530000000000000e+00, 1.714856414485174e-01
 1.540000000000000e+00, 1.652324992583467e-01
 1.550000000000000e+00, 1.633207927201403e-01
 1.560000000000000e+00, 1.640219231553977e-01
 1.570000000000000e+00, 1.656879365769407e-01
 1.580000000000000e+00, 1.655254283068260e-01
 1.590000000000000e+00, 1.704170901949768e-01
 1.600000000000000e+00, 1.680838388674263e-01
 1.610000000000000e+00, 1.677185020574022e-01
 1.620000000000000e+00, 1.662604246901487e-01
 1.630000000000000e+00, 1.720030220718559e-01
 1.640000000000000e+00, 1.761077854586493e-01
 1.650000000000000e+00, 1.835787994144608e-01
 1.660000000000000e+00, 1.935553057459981e-01
 1.670000000000000e+00, 2.062356638383964e-01
 1.680000000000000e+00, 2.206539468571716e-01
 1.690000000000000e+00, 2.353447498127116e-01
 1.700000000000000e+00, 2.492664299861355e-01
 1.710000000000000e+00, 2.609641414683180e-01
 1.720000000000000e+00, 2.679523191866354e-01
 1.730000000000000e+00, 2.664786649774989e-01
 1.740000000000000e+00, 2.531682312450003e-01
 1.750000000000000e+00, 2.271081060998089e-01
 1.760000000000000e+00, 1.890639916211806e-01
 1.770000000000000e+00, 1.480401614701833e-01
 1.780000000000000e+00, 1.150134628098978e-01
 1.790000000000000e+00, 9.619298248204057e-02
 1.800000000000000e+00, 8.971036753750115e-02
 1.810000000000000e+00, 8.803909117597199e-02
 1.820000000000000e+00, 9.462492189694624e-02
 1.830000000000000e+00, 9.733768925890682e-02
 1.840000000000000e+00, 1.026272694209956e-01
 1.850000000000000e+00, 1.082677724033826e-01
 1.860000000000000e+00, 1.141309806920531e-01
 1.870000000000000e+00, 1.212287720686737e-01
 1.880000000000000e+00, 1.317837660530225e-01
 1.890000000000000e+00, 1.474807524378039e-01
 1.900000000000000e+00, 1.665672901313771e-01
 1.910000000000000e+00, 1.825784905754890e-01
 1.920000000000000e+00, 1.887792848845045e-01
 1.930000000000000e+00, 1.851657263189782e-01
 1.940000000000000e+00, 1.748126468275685e-01
 1.950000000000000e+00, 1.571580986997823e-01
 1.960000000000000e+00, 1.332562781240585e-01
 1.970000000000000e+00, 1.113719717235832e-01
 1.980000000000000e+00, 1.011354173615466e-01
 1.990000000000000e+00, 1.046127898982778e-01
 2.000000000000000e+00, 1.175073120736464e-01
 2.010000000000000e+00, 1.350947607344449e-01
 2.020000000000000e+00, 1.545038647614992e-01
 2.030000000000000e+00, 1.714826923210860e-01
 2.040000000000000e+00, 1.835470730252877e-01
 2.050000000000000e+00, 1.861256205858483e-01
 2.060000000000000e+00, 1.776081514880042e-01
 2.070000000000000e+00, 1.628879083361806e-01
 2.080000000000000e+00, 1.384541210099721e-01
 2.090000000000000e+00, 1.189933881903280e-01
 2.100000000000000e+00, 1.038832142583566e-01
 2.110000000000000e+00, 9.921046956277170e-02
 2.120000000000000e+00, 9.270776193690100e-02
 2.130000000000000e+00, 8.360167712007588e-02
 2.140000000000000e+00, 7.152793413267854e-02
 2.150000000000000e+00, 7.065788050154788e-02
 2.160000000000000e+00, 7.881456613956395e-02
 2.170000000000000e+00, 8.425703853648935e-02
 2.180000000000000e+00, 7.198701543028627e-02
 2.190000000000000e+00, 5.042449220458579e-01
 2.200000000000000e+00, 1.034816102128668e+00
 2.210000000000000e+00, 3.687742178250147e-01
 2.220000000000000e+00, 6.645260082901908e-02
 2.230000000000000e+00, 7.843647568932087e-02
 2.240000000000000e+00, 5.482057952818142e-02
 2.250000000000000e+00, 4.006867409968810e-02
 2.260000000000000e+00, 5.919602346332178e-02
 2.270000000000000e+00, 4.793326016158087e-02
 2.280000000000000e+00, 2.825908755344529e-02
