Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Acc
 1.030000000000000e+00, 1.494284026306539e-01
 1.040000000000000e+00, 2.385805801530725e-01
 1.050000000000000e+00, 3.872552352736828e-01
 1.060000000000000e+00, 5.979785886294922e-01
 1.070000000000000e+00, 8.619371661797142e-01
 1.080000000000000e+00, 1.149303862552892e+00
 1.090000000000000e+00, 1.417057594628456e+00
 1.100000000000000e+00, 1.612855656553041e+00
 1.110000000000000e+00, 1.668083213326375e+00
 1.120000000000000e+00, 1.507545643654414e+00
 1.130000000000000e+00, 1.086847051075662e+00
 1.140000000000000e+00, 4.280914414960235e-01
 1.150000000000000e+00,-3.786672049826267e-01
 1.160000000000000e+00,-1.204962555343489e+00
 1.170000000000000e+00,-1.922806324524440e+00
 1.180000000000000e+00,-2.437592743539874e+00
 1.190000000000000e+00,-2.702361188962177e+00
 1.200000000000000e+00,-2.709550852795809e+00
 1.210000000000000e+00,-2.475019831274112e+00
 1.220000000000000e+00,-2.035831037512487e+00
 1.230000000000000e+00,-1.523594585496415e+00
 1.240000000000000e+00,-7.907642760460175e-01
 1.250000000000000e+00,-2.862535962533382e-01
 1.260000000000000e+00, 1.563129416884410e-01
 1.270000000000000e+00, 4.578843125220302e-01
 1.280000000000000e+00, 6.186850449591826e-01
 1.290000000000000e+00, 7.106356244662143e-01
 1.300000000000000e+00, 5.580292101883696e-01
 1.310000000000000e+00, 5.194960786441493e-01
 1.320000000000000e+00, 4.114105577332983e-01
 1.330000000000000e+00, 3.231585410896735e-01
 1.340000000000000e+00, 2.764126907481413e-01
 1.350000000000000e+00, 2.679383500126031e-01
 1.360000000000000e+00, 3.182137505700027e-01
 1.370000000000000e+00, 2.105033501833214e-01
 1.380000000000000e+00, 2.686133077938652e-01
 1.390000000000000e+00, 2.719929157374321e-01
 1.400000000000000e+00, 2.471313296059654e-01
 1.410000000000000e+00, 2.250130408188015e-01
 1.420000000000000e+00, 2.077193891984651e-01
 1.430000000000000e+00, 1.782680903470525e-01
 1.440000000000000e+00, 1.008397125923058e-01
 1.450000000000000e+00,-5.423125838134064e-02
 1.460000000000000e+00,-2.886771334878561e-01
 1.470000000000000e+00,-4.654316197644909e-01
 1.480000000000000e+00,-7.382296199979016e-01
 1.490000000000000e+00,-7.407485957277605e-01
 1.500000000000000e+00,-6.766144865734809e-01
 1.510000000000000e+00,-4.576332254800085e-01
 1.520000000000000e+00,-1.733310640641746e-01
 1.530000000000000e+00, 7.612841157288801e-02
 1.540000000000000e+00, 2.310505774251650e-01
 1.550000000000000e+00, 2.996322614117711e-01
 1.560000000000000e+00, 3.217197663231832e-01
 1.570000000000000e+00, 3.312545411695134e-01
 1.580000000000000e+00, 4.012438380529642e-01
 1.590000000000000e+00, 2.863332121402560e-01
 1.600000000000000e+00, 3.903947325328963e-01
 1.610000000000000e+00, 4.191092612432080e-01
 1.620000000000000e+00, 4.890941462794359e-01
 1.630000000000000e+00, 3.845186631021149e-01
 1.640000000000000e+00, 3.566740246255007e-01
 1.650000000000000e+00, 2.635091781394423e-01
 1.660000000000000e+00, 1.237424928141050e-01
 1.670000000000000e+00,-7.124918404294442e-02
 1.680000000000000e+00,-3.133474165841285e-01
 1.690000000000000e+00,-5.778870567514002e-01
 1.700000000000000e+00,-8.343936229629404e-01
 1.710000000000000e+00,-1.047847728074738e+00
 1.720000000000000e+00,-1.174156478344558e+00
 1.730000000000000e+00,-1.160368287441637e+00
 1.740000000000000e+00,-9.424331762175595e-01
 1.750000000000000e+00,-4.439526503399729e-01
 1.760000000000000e+00, 3.538579836862110e-01
 1.770000000000000e+00, 1.293489467604513e+00
 1.780000000000000e+00, 2.097155612758073e+00
 1.790000000000000e+00, 2.594468898977627e+00
 1.800000000000000e+00, 2.811101742442391e+00
 1.810000000000000e+00, 2.917467527001881e+00
 1.820000000000000e+00, 2.740445487539595e+00
 1.830000000000000e+00, 2.635915469064993e+00
 1.840000000000000e+00, 2.397726912771732e+00
 1.850000000000000e+00, 2.108338994841594e+00
