Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Pos
 1.030000000000000e+00, 2.009373049660790e-01
 1.040000000000000e+00, 2.011427301516531e-01
 1.050000000000000e+00, 2.013729939250431e-01
 1.060000000000000e+00, 2.016430155139965e-01
 1.070000000000000e+00, 2.019737180071804e-01
 1.080000000000000e+00, 2.023909973321065e-01
 1.090000000000000e+00, 2.029228695695084e-01
 1.100000000000000e+00, 2.035952338571847e-01
 1.110000000000000e+00, 2.044265239148347e-01
 1.120000000000000e+00, 2.054210110636847e-01
 1.130000000000000e+00, 2.065619111569977e-01
 1.140000000000000e+00, 2.078075407535789e-01
 1.150000000000000e+00, 2.090935464925282e-01
 1.160000000000000e+00, 2.103414083098128e-01
 1.170000000000000e+00, 2.114706295370418e-01
 1.180000000000000e+00, 2.124109863150982e-01
 1.190000000000000e+00, 2.131117573462915e-01
 1.200000000000000e+00, 2.135465678576537e-01
 1.210000000000000e+00, 2.137144205981407e-01
 1.220000000000000e+00, 2.136381498572642e-01
 1.230000000000000e+00, 2.133594898444687e-01
 1.240000000000000e+00, 2.129321361326192e-01
 1.250000000000000e+00, 2.124219015582230e-01
 1.260000000000000e+00, 2.118820163171618e-01
 1.270000000000000e+00, 2.113554205227080e-01
 1.280000000000000e+00, 2.108722724257409e-01
 1.290000000000000e+00, 2.104498469690669e-01
 1.300000000000000e+00, 2.100944076941582e-01
 1.310000000000000e+00, 2.097966695642760e-01
 1.320000000000000e+00, 2.095497191374992e-01
 1.330000000000000e+00, 2.093442386145161e-01
 1.340000000000000e+00, 2.091717652530376e-01
 1.350000000000000e+00, 2.090275714696830e-01
 1.360000000000000e+00, 2.089111513847772e-01
 1.370000000000000e+00, 2.088239199148444e-01
 1.380000000000000e+00, 2.087605021942048e-01
 1.390000000000000e+00, 2.087230325902484e-01
 1.400000000000000e+00, 2.087122901034499e-01
 1.410000000000000e+00, 2.087263049937738e-01
 1.420000000000000e+00, 2.087629002035029e-01
 1.430000000000000e+00, 2.088200634280226e-01
 1.440000000000000e+00, 2.088942525677099e-01
 1.450000000000000e+00, 2.089772308443668e-01
 1.460000000000000e+00, 2.090534643806002e-01
 1.470000000000000e+00, 2.091017969969876e-01
 1.480000000000000e+00, 2.091019948776714e-01
 1.490000000000000e+00, 2.090328881501457e-01
 1.500000000000000e+00, 2.088908301577456e-01
 1.510000000000000e+00, 2.086836969185709e-01
 1.520000000000000e+00, 2.084318840756229e-01
 1.530000000000000e+00, 2.081621440658331e-01
 1.540000000000000e+00, 2.078984267473543e-01
 1.550000000000000e+00, 2.076563658148688e-01
 1.560000000000000e+00, 2.074434894678121e-01
 1.570000000000000e+00, 2.072625760034366e-01
 1.580000000000000e+00, 2.071157969762767e-01
 1.590000000000000e+00, 2.070060619116571e-01
 1.600000000000000e+00, 2.069286126034704e-01
 1.610000000000000e+00, 2.068889465496540e-01
 1.620000000000000e+00, 2.068918783430303e-01
 1.630000000000000e+00, 2.069408091291981e-01
 1.640000000000000e+00, 2.070294669742984e-01
 1.650000000000000e+00, 2.071527015462738e-01
 1.660000000000000e+00, 2.073015070936406e-01
 1.670000000000000e+00, 2.074617618535366e-01
 1.680000000000000e+00, 2.076141004438760e-01
 1.690000000000000e+00, 2.077347214393407e-01
 1.700000000000000e+00, 2.077976745270789e-01
 1.710000000000000e+00, 2.077778872490371e-01
 1.720000000000000e+00, 2.076547436478384e-01
 1.730000000000000e+00, 2.074164924854589e-01
 1.740000000000000e+00, 2.070655839128699e-01
 1.750000000000000e+00, 2.066251006900400e-01
 1.760000000000000e+00, 2.061452346160547e-01
 1.770000000000000e+00, 2.057031778519177e-01
 1.780000000000000e+00, 2.053882835021150e-01
 1.790000000000000e+00, 2.052780675865972e-01
 1.800000000000000e+00, 2.054226588775789e-01
 1.810000000000000e+00, 2.058465310832442e-01
 1.820000000000000e+00, 2.065574165866335e-01
 1.830000000000000e+00, 2.075435364900725e-01
 1.840000000000000e+00, 2.087909999247491e-01
 1.850000000000000e+00, 2.102773637062474e-01
 1.860000000000000e+00, 2.119743335701585e-01
 1.870000000000000e+00, 2.138518171535230e-01
 1.880000000000000e+00, 2.158783822501567e-01
 1.890000000000000e+00, 2.180182343589557e-01
 1.900000000000000e+00, 2.202283721426599e-01
 1.910000000000000e+00, 2.224610710113050e-01
 1.920000000000000e+00, 2.246721090995300e-01
 1.930000000000000e+00, 2.268279897593516e-01
 1.940000000000000e+00, 2.289071841392437e-01
 1.950000000000000e+00, 2.309004586778924e-01
 1.960000000000000e+00, 2.328143359394252e-01
 1.970000000000000e+00, 2.346708217189445e-01
 1.980000000000000e+00, 2.364996014633247e-01
 1.990000000000000e+00, 2.383312028354212e-01
 2.000000000000000e+00, 2.401973187000654e-01
 2.010000000000000e+00, 2.421315676988046e-01
 2.020000000000000e+00, 2.441624503351564e-01
 2.030000000000000e+00, 2.463044658424440e-01
 2.040000000000000e+00, 2.485595519371314e-01
 2.050000000000000e+00, 2.509276391173911e-01
 2.060000000000000e+00, 2.534160972042320e-01
 2.070000000000000e+00, 2.560415831736197e-01
 2.080000000000000e+00, 2.588267393534998e-01
 2.090000000000000e+00, 2.618033667023325e-01
 2.100000000000000e+00, 2.649947683922832e-01
 2.110000000000000e+00, 2.684290756080648e-01
 2.120000000000000e+00, 2.721459571497344e-01
 2.130000000000000e+00, 2.762047703759845e-01
 2.140000000000000e+00, 2.806885128257715e-01
 2.150000000000000e+00, 2.856981355234793e-01
 2.160000000000000e+00, 2.913386241508156e-01
 2.170000000000000e+00, 2.977236800418816e-01
 2.180000000000000e+00, 3.049729749929294e-01
 2.190000000000000e+00, 3.130403395740826e-01
 2.200000000000000e+00, 3.231223104320629e-01
 2.210000000000000e+00, 3.396751449620176e-01
 2.220000000000000e+00, 3.554095281263176e-01
 2.230000000000000e+00, 3.716585029309675e-01
 2.240000000000000e+00, 3.892904192371403e-01
 2.250000000000000e+00, 4.081372284833415e-01
 2.260000000000000e+00, 4.279788883101142e-01
 2.270000000000000e+00, 4.485540118261555e-01
 2.280000000000000e+00, 4.695679391211876e-01
 2.290000000000000e+00, 4.907059730063062e-01
 2.300000000000000e+00, 5.099976131287596e-01
 2.310000000000000e+00, 5.231855302670325e-01
 2.320000000000000e+00, 5.388192676850071e-01
 2.330000000000000e+00, 5.578727163861782e-01
 2.340000000000000e+00, 5.765601927478262e-01
 2.350000000000000e+00, 5.939153174218548e-01
 2.360000000000000e+00, 6.098824667963484e-01
 2.370000000000000e+00, 6.244217428873939e-01
 2.380000000000000e+00, 6.374959979780228e-01
 2.390000000000000e+00, 6.490696708263497e-01
 2.400000000000000e+00, 6.591177123107433e-01
 2.410000000000000e+00, 6.676412678263806e-01
 2.420000000000000e+00, 6.746825913644888e-01
 2.430000000000000e+00, 6.803306816478528e-01
 2.440000000000000e+00, 6.847137538237804e-01
 2.450000000000000e+00, 6.879826839488500e-01
 2.460000000000000e+00, 6.902938846622513e-01
 2.470000000000000e+00, 6.917980227890207e-01
 2.480000000000000e+00, 6.927440237374913e-01
 2.490000000000000e+00, 6.933705612015025e-01
 2.500000000000000e+00, 6.928528607961985e-01
 2.510000000000000e+00, 6.916862177980870e-01
 2.520000000000000e+00, 6.901365091888114e-01
 2.530000000000000e+00, 6.882324656998069e-01
 2.540000000000000e+00, 6.859875425141266e-01
 2.550000000000000e+00, 6.834251712057040e-01
 2.560000000000000e+00, 6.805835451464443e-01
 2.570000000000000e+00, 6.775152925528760e-01
 2.580000000000000e+00, 6.742853148976634e-01
 2.590000000000000e+00, 6.709688889138674e-01
 2.600000000000000e+00, 6.676502613902701e-01
 2.609999999999999e+00, 6.644193098046326e-01
 2.620000000000000e+00, 6.613636921486763e-01
 2.630000000000000e+00, 6.585582056458170e-01
 2.640000000000000e+00, 6.560555698364785e-01
