Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Vel
 1.030000000000000e+00, 1.964606792360379e-02
 1.040000000000000e+00, 2.158611283752385e-02
 1.050000000000000e+00, 2.471529191466481e-02
 1.060000000000000e+00, 2.964146103428786e-02
 1.070000000000000e+00, 3.694103980815679e-02
 1.080000000000000e+00, 4.699724495183571e-02
 1.090000000000000e+00, 5.982905223802927e-02
 1.100000000000000e+00, 7.497861849360404e-02
 1.110000000000000e+00, 9.138331284340571e-02
 1.120000000000000e+00, 1.072614571279173e-01
 1.130000000000000e+00, 1.202334206015883e-01
 1.140000000000000e+00, 1.278081130646423e-01
 1.150000000000000e+00, 1.280552342472109e-01
 1.160000000000000e+00, 1.201370854453888e-01
 1.170000000000000e+00, 1.044982410464076e-01
 1.180000000000000e+00, 8.269624570554907e-02
 1.190000000000000e+00, 5.699647604367748e-02
 1.200000000000000e+00, 2.993691583484527e-02
 1.210000000000000e+00, 4.014062413873475e-03
 1.220000000000000e+00,-1.854019192954053e-02
 1.230000000000000e+00,-3.633732004501423e-02
 1.240000000000000e+00,-4.790911435244707e-02
 1.250000000000000e+00,-5.329420371394523e-02
 1.260000000000000e+00,-5.394390698677110e-02
 1.270000000000000e+00,-5.087292071571377e-02
 1.280000000000000e+00,-4.549007392817496e-02
 1.290000000000000e+00,-3.884347058120084e-02
 1.300000000000000e+00,-3.250014640779755e-02
 1.310000000000000e+00,-2.711251996376227e-02
 1.320000000000000e+00,-2.245798678187636e-02
 1.330000000000000e+00,-1.878514128775382e-02
 1.340000000000000e+00,-1.578728512850196e-02
 1.350000000000000e+00,-1.306552992476493e-02
 1.360000000000000e+00,-1.013476942184620e-02
 1.370000000000000e+00,-7.491183918040351e-03
 1.380000000000000e+00,-5.095600628207737e-03
 1.390000000000000e+00,-2.392569510485663e-03
 1.400000000000000e+00, 2.030517161688579e-04
 1.410000000000000e+00, 2.563773568299569e-03
 1.420000000000000e+00, 4.727435718435085e-03
 1.430000000000000e+00, 6.657373116118729e-03
 1.440000000000000e+00, 8.052912130854226e-03
 1.450000000000000e+00, 8.285954401904367e-03
 1.460000000000000e+00, 6.571412442510340e-03
 1.470000000000000e+00, 2.800868676335049e-03
 1.480000000000000e+00,-3.217437522647076e-03
 1.490000000000000e+00,-1.061232860110894e-02
 1.500000000000000e+00,-1.769914401279908e-02
 1.510000000000000e+00,-2.337038257293474e-02
 1.520000000000000e+00,-2.652520402072057e-02
 1.530000000000000e+00,-2.701121728316575e-02
 1.540000000000000e+00,-2.547532233817094e-02
 1.550000000000000e+00,-2.282190814392156e-02
 1.560000000000000e+00,-1.971514800531980e-02
 1.570000000000000e+00,-1.645027646779011e-02
 1.580000000000000e+00,-1.278778457176901e-02
 1.590000000000000e+00,-9.349899320799935e-03
 1.600000000000000e+00,-5.966259597438298e-03
 1.610000000000000e+00,-1.918739628559126e-03
 1.620000000000000e+00, 2.622277409067305e-03
 1.630000000000000e+00, 6.990341456060503e-03
 1.640000000000000e+00, 1.069630489460986e-02
 1.650000000000000e+00, 1.379722090843330e-02
 1.660000000000000e+00, 1.573347926320104e-02
 1.670000000000000e+00, 1.599594580705565e-02
 1.680000000000000e+00, 1.407296280391406e-02
 1.690000000000000e+00, 9.616790437134967e-03
 1.700000000000000e+00, 2.555387038735703e-03
 1.710000000000000e+00,-6.855819716468359e-03
 1.720000000000000e+00,-1.796584074884706e-02
 1.730000000000000e+00,-2.963846457748052e-02
 1.740000000000000e+00,-4.015247189577684e-02
 1.750000000000000e+00,-4.708440102856866e-02
 1.760000000000000e+00,-4.753487436184031e-02
 1.770000000000000e+00,-3.929813710518839e-02
 1.780000000000000e+00,-2.234491170378380e-02
 1.790000000000000e+00, 1.113210854898635e-03
 1.800000000000000e+00, 2.814106406205415e-02
 1.810000000000000e+00, 5.678391040997154e-02
 1.820000000000000e+00, 8.507347548198090e-02
 1.830000000000000e+00, 1.119552802650011e-01
 1.840000000000000e+00, 1.371234921741820e-01
 1.850000000000000e+00, 1.596538217122386e-01
 1.860000000000000e+00, 1.792269981312417e-01
 1.870000000000000e+00, 1.957491276529810e-01
 1.880000000000000e+00, 2.089730527609906e-01
 1.890000000000000e+00, 2.182703134296706e-01
 1.900000000000000e+00, 2.229313774973178e-01
 1.910000000000000e+00, 2.228439169961877e-01
 1.920000000000000e+00, 2.188000264124867e-01
 1.930000000000000e+00, 2.120112973459763e-01
 1.940000000000000e+00, 2.036474485068401e-01
 1.950000000000000e+00, 1.950985446179219e-01
 1.960000000000000e+00, 1.880520410758601e-01
 1.970000000000000e+00, 1.837412246614916e-01
 1.980000000000000e+00, 1.824947010259924e-01
 1.990000000000000e+00, 1.843211024553216e-01
 2.000000000000000e+00, 1.894609046808207e-01
 2.010000000000000e+00, 1.978771705236330e-01
 2.020000000000000e+00, 2.085300265743812e-01
 2.030000000000000e+00, 2.198853725032352e-01
 2.040000000000000e+00, 2.311406659021548e-01
 2.050000000000000e+00, 2.426492271137808e-01
 2.060000000000000e+00, 2.554145674585256e-01
 2.070000000000000e+00, 2.700839002944408e-01
 2.080000000000000e+00, 2.876503817475402e-01
 2.090000000000000e+00, 3.080415255825709e-01
 2.100000000000000e+00, 3.307580540192365e-01
 2.110000000000000e+00, 3.567726787065463e-01
 2.120000000000000e+00, 3.876009308914294e-01
 2.130000000000000e+00, 4.255684206818567e-01
 2.140000000000000e+00, 4.728494745478841e-01
 2.150000000000000e+00, 5.306123303049743e-01
 2.160000000000000e+00, 5.993477406363239e-01
 2.170000000000000e+00, 6.796600703539251e-01
 2.180000000000000e+00, 7.723172430940004e-01
 2.190000000000000e+00, 8.260688028408268e-01
 2.200000000000000e+00, 1.368208691706994e+00
 2.210000000000000e+00, 1.691542487029105e+00
 2.220000000000000e+00, 1.551785628819031e+00
 2.230000000000000e+00, 1.696317880497559e+00
 2.240000000000000e+00, 1.827210667191643e+00
 2.250000000000000e+00, 1.938457259482227e+00
 2.260000000000000e+00, 2.025501259327826e+00
 2.270000000000000e+00, 2.084573056107268e+00
 2.280000000000000e+00, 2.112922203220738e+00
 2.290000000000000e+00, 2.109326973830092e+00
 2.300000000000000e+00, 1.578672930656295e+00
 2.310000000000000e+00, 1.319852043853003e+00
 2.320000000000000e+00, 1.788416703038857e+00
 2.330000000000000e+00, 1.932633822660672e+00
 2.340000000000000e+00, 1.803322979082010e+00
 2.350000000000000e+00, 1.666853493403069e+00
 2.360000000000000e+00, 1.525944979444698e+00
 2.370000000000000e+00, 1.381294016250288e+00
 2.380000000000000e+00, 1.232938204741822e+00
 2.390000000000000e+00, 1.081331527509604e+00
 2.400000000000000e+00, 9.282500095843964e-01
 2.410000000000000e+00, 7.771475645315157e-01
 2.420000000000000e+00, 6.326234640489639e-01
 2.430000000000000e+00, 4.991827227731891e-01
 2.440000000000000e+00, 3.799943673424367e-01
 2.450000000000000e+00, 2.764404790801759e-01
 2.460000000000000e+00, 1.882829512487013e-01
 2.470000000000000e+00, 1.150293565606086e-01
 2.480000000000000e+00, 8.664133771320011e-02
 2.490000000000000e+00, 1.016681653179798e-02
 2.500000000000000e+00,-9.465748853492359e-02
 2.510000000000000e+00,-1.368398859051266e-01
 2.520000000000000e+00,-1.728884468748026e-01
 2.530000000000000e+00,-2.077319563397016e-01
 2.540000000000000e+00,-2.408737308824179e-01
 2.550000000000000e+00,-2.709614689805343e-01
 2.560000000000000e+00,-2.964796037192683e-01
 2.570000000000000e+00,-3.160837116010725e-01
 2.580000000000000e+00,-3.286546235053919e-01
 2.590000000000000e+00,-3.332188846902558e-01
