Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Right.Leg.Muscles.Envelope
 1.030000000000000e+00, 8.620056910651283e-02
 1.040000000000000e+00, 8.816126236450057e-02
 1.050000000000000e+00, 8.753008116297319e-02
 1.060000000000000e+00, 8.440805837354802e-02
 1.070000000000000e+00, 7.938551531858903e-02
 1.080000000000000e+00, 7.324392558269037e-02
 1.090000000000000e+00, 6.710721335272726e-02
 1.100000000000000e+00, 6.383671599107030e-02
 1.110000000000000e+00, 6.279256956079052e-02
 1.120000000000000e+00, 6.375971522334209e-02
 1.130000000000000e+00, 6.777269648622931e-02
 1.140000000000000e+00, 8.199172600969475e-02
 1.150000000000000e+00, 9.957390773544679e-02
 1.160000000000000e+00, 1.175144304001561e-01
 1.170000000000000e+00, 1.336938595740510e-01
 1.180000000000000e+00, 1.459184675261529e-01
 1.190000000000000e+00, 1.515851025601154e-01
 1.200000000000000e+00, 1.510034578751387e-01
 1.210000000000000e+00, 1.458659601845678e-01
 1.220000000000000e+00, 1.378912392548919e-01
 1.230000000000000e+00, 1.299429634881487e-01
 1.240000000000000e+00, 1.174289227553324e-01
 1.250000000000000e+00, 1.100824831601696e-01
 1.260000000000000e+00, 1.027594691808564e-01
 1.270000000000000e+00, 9.689710803035938e-02
 1.280000000000000e+00, 9.312475808027848e-02
 1.290000000000000e+00, 8.991597865730019e-02
 1.300000000000000e+00, 9.232476560090103e-02
 1.310000000000000e+00, 9.194637754081679e-02
 1.320000000000000e+00, 9.437902697161407e-02
 1.330000000000000e+00, 9.805439120667203e-02
 1.340000000000000e+00, 1.027839933821725e-01
 1.350000000000000e+00, 1.078952610205171e-01
 1.360000000000000e+00, 1.108973833954519e-01
 1.370000000000000e+00, 1.178399200946980e-01
 1.380000000000000e+00, 1.182629357551579e-01
 1.390000000000000e+00, 1.201257512279758e-01
 1.400000000000000e+00, 1.206296116181067e-01
 1.410000000000000e+00, 1.223035769084138e-01
 1.420000000000000e+00, 1.229521461484704e-01
 1.430000000000000e+00, 1.228140881029386e-01
 1.440000000000000e+00, 1.218051489001668e-01
 1.450000000000000e+00, 1.203115631888654e-01
 1.460000000000000e+00, 1.187424256960132e-01
 1.470000000000000e+00, 1.162658364759561e-01
 1.480000000000000e+00, 1.164493892378670e-01
 1.490000000000000e+00, 1.130873976005008e-01
 1.500000000000000e+00, 1.128745098665499e-01
 1.510000000000000e+00, 1.124417188297124e-01
 1.520000000000000e+00, 1.115884110079253e-01
 1.530000000000000e+00, 1.107871833621113e-01
 1.540000000000000e+00, 1.106349100983381e-01
 1.550000000000000e+00, 1.112265463144600e-01
 1.560000000000000e+00, 1.122744097430121e-01
 1.570000000000000e+00, 1.133382186855452e-01
 1.580000000000000e+00, 1.130284415429126e-01
 1.590000000000000e+00, 1.154621552940296e-01
 1.600000000000000e+00, 1.133816807609805e-01
 1.610000000000000e+00, 1.126021460312722e-01
 1.620000000000000e+00, 1.103072192730823e-01
 1.630000000000000e+00, 1.140807660075864e-01
 1.640000000000000e+00, 1.145986518932241e-01
 1.650000000000000e+00, 1.173686150959227e-01
 1.660000000000000e+00, 1.205793113428946e-01
 1.670000000000000e+00, 1.231033801899677e-01
 1.680000000000000e+00, 1.247041065165751e-01
 1.690000000000000e+00, 1.249982950092072e-01
 1.700000000000000e+00, 1.234646872033274e-01
 1.710000000000000e+00, 1.201947069562371e-01
 1.720000000000000e+00, 1.155069969667366e-01
 1.730000000000000e+00, 1.097854692238260e-01
 1.740000000000000e+00, 1.025764914573477e-01
 1.750000000000000e+00, 9.127737944299742e-02
 1.760000000000000e+00, 7.809672439228875e-02
 1.770000000000000e+00, 6.825093843795743e-02
 1.780000000000000e+00, 6.031589248998032e-02
 1.790000000000000e+00, 5.571994034104626e-02
 1.800000000000000e+00, 5.435207089989737e-02
 1.810000000000000e+00, 5.431746307524215e-02
 1.820000000000000e+00, 5.770518530046857e-02
 1.830000000000000e+00, 5.897447979274706e-02
 1.840000000000000e+00, 6.018231065435795e-02
 1.850000000000000e+00, 6.055442450083703e-02
 1.860000000000000e+00, 6.049758085276075e-02
 1.870000000000000e+00, 6.081256485325362e-02
 1.880000000000000e+00, 6.227897129667473e-02
 1.890000000000000e+00, 6.532343920179924e-02
 1.900000000000000e+00, 6.985260353443043e-02
 1.910000000000000e+00, 7.436173299083346e-02
 1.920000000000000e+00, 7.683005166246899e-02
 1.930000000000000e+00, 7.671828107653131e-02
 1.940000000000000e+00, 7.460738411553509e-02
 1.950000000000000e+00, 6.970383250826312e-02
 1.960000000000000e+00, 6.279182529012486e-02
 1.970000000000000e+00, 5.707227676771279e-02
 1.980000000000000e+00, 5.577632367348131e-02
 1.990000000000000e+00, 6.151106653443840e-02
 2.000000000000000e+00, 7.511086939437565e-02
 2.010000000000000e+00, 9.197658693927366e-02
 2.020000000000000e+00, 1.077393052398620e-01
 2.030000000000000e+00, 1.198744509298445e-01
 2.040000000000000e+00, 1.269570521241407e-01
 2.050000000000000e+00, 1.300962719678938e-01
 2.060000000000000e+00, 1.307533893364461e-01
 2.070000000000000e+00, 1.307236429186301e-01
 2.080000000000000e+00, 1.266664683494508e-01
 2.090000000000000e+00, 1.237202770619243e-01
 2.100000000000000e+00, 1.175849216879830e-01
 2.110000000000000e+00, 1.087558336604222e-01
 2.120000000000000e+00, 9.720010465476338e-02
