Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Right.ShoulderArm.InterfaceFolder.HipFlexion.Acc
 1.030000000000000e+00,-4.388180347445749e-02
 1.040000000000000e+00, 8.546750294783486e-03
 1.050000000000000e+00, 1.313376975692066e-01
 1.060000000000000e+00, 3.175262912424153e-01
 1.070000000000000e+00, 5.544002270974053e-01
 1.080000000000000e+00, 8.121337576338933e-01
 1.090000000000000e+00, 1.049139581918121e+00
 1.100000000000000e+00, 1.218331637408612e+00
 1.110000000000000e+00, 1.264922752979375e+00
 1.120000000000000e+00, 1.130997602480237e+00
 1.130000000000000e+00, 7.790669493999707e-01
 1.140000000000000e+00, 2.229174161330325e-01
 1.150000000000000e+00,-4.638013824291984e-01
 1.160000000000000e+00,-1.171216725598919e+00
 1.170000000000000e+00,-1.788850713819373e+00
 1.180000000000000e+00,-2.231309880079334e+00
 1.190000000000000e+00,-2.446518800214927e+00
 1.200000000000000e+00,-2.416991538226657e+00
 1.210000000000000e+00,-2.163489351098812e+00
 1.220000000000000e+00,-1.739203830451478e+00
 1.230000000000000e+00,-1.274791023611845e+00
 1.240000000000000e+00,-6.024891782593902e-01
 1.250000000000000e+00,-1.408037442596208e-01
 1.260000000000000e+00, 2.858868763019881e-01
 1.270000000000000e+00, 5.992359224506950e-01
 1.280000000000000e+00, 7.954264858232143e-01
 1.290000000000000e+00, 9.382677733589296e-01
 1.300000000000000e+00, 8.431880684309252e-01
 1.310000000000000e+00, 8.509787265353458e-01
 1.320000000000000e+00, 7.661648843945941e-01
 1.330000000000000e+00, 6.638719113452833e-01
 1.340000000000000e+00, 5.612265921429285e-01
 1.350000000000000e+00, 4.711805060031535e-01
 1.360000000000000e+00, 4.433258543535164e-01
 1.370000000000000e+00, 2.969762707063447e-01
 1.380000000000000e+00, 3.376874857368011e-01
 1.390000000000000e+00, 3.488901001692134e-01
 1.400000000000000e+00, 3.060440934166694e-01
 1.410000000000000e+00, 2.520409076809293e-01
 1.420000000000000e+00, 1.554581897103924e-01
 1.430000000000000e+00, 5.186223007480959e-02
 1.440000000000000e+00, 2.450532840012885e-03
 1.450000000000000e+00, 4.128796644990686e-02
 1.460000000000000e+00, 1.100661506488992e-01
 1.470000000000000e+00, 3.245578744400263e-01
 1.480000000000000e+00, 3.247901089445819e-01
 1.490000000000000e+00, 3.373482541385663e-01
 1.500000000000000e+00, 2.458258444044233e-01
 1.510000000000000e+00, 3.461535316252001e-02
 1.520000000000000e+00,-2.322449882613965e-01
 1.530000000000000e+00,-4.514725594013591e-01
 1.540000000000000e+00,-5.586518132011188e-01
 1.550000000000000e+00,-5.695631667446565e-01
 1.560000000000000e+00,-5.241518484443841e-01
 1.570000000000000e+00,-4.387046937138493e-01
 1.580000000000000e+00,-2.912591527920509e-01
 1.590000000000000e+00,-2.209138782149582e-01
 1.600000000000000e+00,-1.592377669615394e-02
 1.610000000000000e+00, 1.452631704321461e-01
 1.620000000000000e+00, 3.679629091005120e-01
 1.630000000000000e+00, 3.446783878417293e-01
 1.640000000000000e+00, 4.515692495876154e-01
 1.650000000000000e+00, 4.520257172591072e-01
 1.660000000000000e+00, 3.993607343061304e-01
 1.670000000000000e+00, 2.988679036272708e-01
 1.680000000000000e+00, 1.585396774326498e-01
 1.690000000000000e+00,-7.231256359329098e-03
 1.700000000000000e+00,-1.792456404286196e-01
 1.710000000000000e+00,-3.370207869809032e-01
 1.720000000000000e+00,-4.563806151694358e-01
 1.730000000000000e+00,-5.019493186914668e-01
 1.740000000000000e+00,-4.189035633966881e-01
 1.750000000000000e+00,-1.336021568798527e-01
 1.760000000000000e+00, 3.865700880287378e-01
 1.770000000000000e+00, 1.034659455393758e+00
 1.780000000000000e+00, 1.604526301109316e+00
 1.790000000000000e+00, 1.964439146406868e+00
 1.800000000000000e+00, 2.115050019194640e+00
 1.810000000000000e+00, 2.168415593373723e+00
 1.820000000000000e+00, 1.936243289934466e+00
 1.830000000000000e+00, 1.803862489543891e+00
 1.840000000000000e+00, 1.615012766473242e+00
 1.850000000000000e+00, 1.458225443922569e+00
 1.860000000000000e+00, 1.345450411131732e+00
 1.870000000000000e+00, 1.260325100276295e+00
 1.880000000000000e+00, 1.158140283779139e+00
 1.890000000000000e+00, 9.899783338601011e-01
 1.900000000000000e+00, 7.668940363164241e-01
