Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Right.Leg.JointMomentMeasure.HipFlexion
 1.030000000000000e+00,-1.583443186272754e+01
 1.040000000000000e+00,-1.585650484426019e+01
 1.050000000000000e+00,-1.567669311033885e+01
 1.060000000000000e+00,-1.531184753893280e+01
 1.070000000000000e+00,-1.480031373453627e+01
 1.080000000000000e+00,-1.420378141484026e+01
 1.090000000000000e+00,-1.363049022195795e+01
 1.100000000000000e+00,-1.320615858522618e+01
 1.110000000000000e+00,-1.306621874184592e+01
 1.120000000000000e+00,-1.337503926764615e+01
 1.130000000000000e+00,-1.425984086583817e+01
 1.140000000000000e+00,-1.575944979864307e+01
 1.150000000000000e+00,-1.769753586363007e+01
 1.160000000000000e+00,-1.970184830788054e+01
 1.170000000000000e+00,-2.158376236457404e+01
 1.180000000000000e+00,-2.305737832069526e+01
 1.190000000000000e+00,-2.395873183273774e+01
 1.200000000000000e+00,-2.410180736720399e+01
 1.210000000000000e+00,-2.351027897763244e+01
 1.220000000000000e+00,-2.238793228156874e+01
 1.230000000000000e+00,-2.120566197591631e+01
 1.240000000000000e+00,-1.963618213075902e+01
 1.250000000000000e+00,-1.853910078397761e+01
 1.260000000000000e+00,-1.755748816364890e+01
 1.270000000000000e+00,-1.682263623324452e+01
 1.280000000000000e+00,-1.637011297431833e+01
 1.290000000000000e+00,-1.607136496132470e+01
 1.300000000000000e+00,-1.627637983707045e+01
 1.310000000000000e+00,-1.630916258705686e+01
 1.320000000000000e+00,-1.655334224795859e+01
 1.330000000000000e+00,-1.686345241060129e+01
 1.340000000000000e+00,-1.718851403747978e+01
 1.350000000000000e+00,-1.748143365023309e+01
 1.360000000000000e+00,-1.761620735437364e+01
 1.370000000000000e+00,-1.805258024681700e+01
 1.380000000000000e+00,-1.804715476212686e+01
 1.390000000000000e+00,-1.814284252102489e+01
 1.400000000000000e+00,-1.821143963566189e+01
 1.410000000000000e+00,-1.832987023858941e+01
 1.420000000000000e+00,-1.842400322119412e+01
 1.430000000000000e+00,-1.850436451095860e+01
 1.440000000000000e+00,-1.856479562003103e+01
 1.450000000000000e+00,-1.860263137188453e+01
 1.460000000000000e+00,-1.869578288171500e+01
 1.470000000000000e+00,-1.861300441650256e+01
 1.480000000000000e+00,-1.882006565096226e+01
 1.490000000000000e+00,-1.877998491027975e+01
 1.500000000000000e+00,-1.883865778747228e+01
 1.510000000000000e+00,-1.889317993335513e+01
 1.520000000000000e+00,-1.892186596517340e+01
 1.530000000000000e+00,-1.896281125824307e+01
 1.540000000000000e+00,-1.902192786700092e+01
 1.550000000000000e+00,-1.908906650070141e+01
 1.560000000000000e+00,-1.915412375474098e+01
 1.570000000000000e+00,-1.919533924170414e+01
 1.580000000000000e+00,-1.915435492997020e+01
 1.590000000000000e+00,-1.922478031380040e+01
 1.600000000000000e+00,-1.905635904977666e+01
 1.610000000000000e+00,-1.896786671400114e+01
 1.620000000000000e+00,-1.873018763443860e+01
 1.630000000000000e+00,-1.912423235660070e+01
 1.640000000000000e+00,-1.917483252101857e+01
 1.650000000000000e+00,-1.950476948804894e+01
 1.660000000000000e+00,-1.996519939112955e+01
 1.670000000000000e+00,-2.050291172498634e+01
 1.680000000000000e+00,-2.108155253766779e+01
 1.690000000000000e+00,-2.167712962725092e+01
 1.700000000000000e+00,-2.226763251368097e+01
 1.710000000000000e+00,-2.275664727645748e+01
 1.720000000000000e+00,-2.303578739377827e+01
 1.730000000000000e+00,-2.298477697734941e+01
 1.740000000000000e+00,-2.244188251268982e+01
 1.750000000000000e+00,-2.125016635056702e+01
 1.760000000000000e+00,-1.945351331986804e+01
