Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Right.ShoulderArm.InterfaceFolder.HipFlexion.Vel
 1.030000000000000e+00, 3.174865959276461e-02
 1.040000000000000e+00, 3.157198432686553e-02
 1.050000000000000e+00, 3.227140656618661e-02
 1.060000000000000e+00, 3.451572651029061e-02
 1.070000000000000e+00, 3.887535910188780e-02
 1.080000000000000e+00, 4.570802902555590e-02
 1.090000000000000e+00, 5.501439572352659e-02
 1.100000000000000e+00, 6.635175181990968e-02
 1.110000000000000e+00, 7.876802377216323e-02
 1.120000000000000e+00, 9.074762554916833e-02
 1.130000000000000e+00, 1.002979483085835e-01
 1.140000000000000e+00, 1.053078701363840e-01
 1.150000000000000e+00, 1.041034503049347e-01
 1.160000000000000e+00, 9.592835976459477e-02
 1.170000000000000e+00, 8.112802256784404e-02
 1.180000000000000e+00, 6.102721959785612e-02
 1.190000000000000e+00, 3.763807619696215e-02
 1.200000000000000e+00, 1.332052450471465e-02
 1.210000000000000e+00,-9.581879942463499e-03
 1.220000000000000e+00,-2.909534584976251e-02
 1.230000000000000e+00,-4.416532012044140e-02
 1.240000000000000e+00,-5.355172112957298e-02
 1.250000000000000e+00,-5.726818574216386e-02
 1.260000000000000e+00,-5.654277008195206e-02
 1.270000000000000e+00,-5.211715608818136e-02
 1.280000000000000e+00,-4.514384404664481e-02
 1.290000000000000e+00,-3.647537275093355e-02
 1.300000000000000e+00,-2.756809354179378e-02
 1.310000000000000e+00,-1.909725956716761e-02
 1.320000000000000e+00,-1.101154151251642e-02
 1.330000000000000e+00,-3.861357533806128e-03
 1.340000000000000e+00, 2.264134983774614e-03
 1.350000000000000e+00, 7.426170474374237e-03
 1.360000000000000e+00, 1.199870227616417e-02
 1.370000000000000e+00, 1.570021290152617e-02
 1.380000000000000e+00, 1.887353168366932e-02
 1.390000000000000e+00, 2.230641961328131e-02
 1.400000000000000e+00, 2.558109058113515e-02
 1.410000000000000e+00, 2.837151558662957e-02
 1.420000000000000e+00, 3.040901107363260e-02
 1.430000000000000e+00, 3.144561317253433e-02
 1.440000000000000e+00, 3.171717698710466e-02
 1.450000000000000e+00, 3.193586948355036e-02
 1.460000000000000e+00, 3.269264006904578e-02
 1.470000000000000e+00, 3.486576019444407e-02
 1.480000000000000e+00, 3.811250011143822e-02
 1.490000000000000e+00, 4.142319192677875e-02
 1.500000000000000e+00, 4.433906241957521e-02
 1.510000000000000e+00, 4.574126840737599e-02
 1.520000000000000e+00, 4.475312023185515e-02
 1.530000000000000e+00, 4.133453249362164e-02
 1.540000000000000e+00, 3.628391063059494e-02
 1.550000000000000e+00, 3.064283573073165e-02
 1.560000000000000e+00, 2.517426065490878e-02
 1.570000000000000e+00, 2.035997794399834e-02
 1.580000000000000e+00, 1.671015871156246e-02
 1.590000000000000e+00, 1.414929355652571e-02
 1.600000000000000e+00, 1.296510528197014e-02
 1.610000000000000e+00, 1.361180225064995e-02
 1.620000000000000e+00, 1.617793264832179e-02
 1.630000000000000e+00, 1.974113913309504e-02
 1.640000000000000e+00, 2.372237732014836e-02
 1.650000000000000e+00, 2.824035215438360e-02
 1.660000000000000e+00, 3.249728441220981e-02
 1.670000000000000e+00, 3.598842760187580e-02
 1.680000000000000e+00, 3.827546550717732e-02
 1.690000000000000e+00, 3.903200761256328e-02
 1.700000000000000e+00, 3.809962312864424e-02
 1.710000000000000e+00, 3.551829099159156e-02
 1.720000000000000e+00, 3.155128398073210e-02
 1.730000000000000e+00, 2.675963431155030e-02
 1.740000000000000e+00, 2.215536990110565e-02
 1.750000000000000e+00, 1.939284129972018e-02
 1.760000000000000e+00, 2.065768095546314e-02
 1.770000000000000e+00, 2.776382867274161e-02
 1.780000000000000e+00, 4.095975745493360e-02
 1.790000000000000e+00, 5.880458469252053e-02
 1.800000000000000e+00, 7.920203052056508e-02
 1.810000000000000e+00, 1.006193585839337e-01
 1.820000000000000e+00, 1.211426529999614e-01
 1.830000000000000e+00, 1.398431818973532e-01
 1.840000000000000e+00, 1.569375581774417e-01
 1.850000000000000e+00, 1.723037492294122e-01
 1.860000000000000e+00, 1.863221285047038e-01
 1.870000000000000e+00, 1.993510060620533e-01
 1.880000000000000e+00, 2.114433329820386e-01
 1.890000000000000e+00, 2.221839260702296e-01
 1.900000000000000e+00, 2.309682879211154e-01
 1.910000000000000e+00, 2.377894221689158e-01
 1.920000000000000e+00, 2.437581677642767e-01
 1.930000000000000e+00, 2.506059460718049e-01
 1.940000000000000e+00, 2.598814470753354e-01
 1.950000000000000e+00, 2.727885614943995e-01
 1.960000000000000e+00, 2.900624035461343e-01
 1.970000000000000e+00, 3.113187953619808e-01
 1.980000000000000e+00, 3.347046393507411e-01
 1.990000000000000e+00, 3.573462722411875e-01
 2.000000000000000e+00, 3.761577253596837e-01
 2.010000000000000e+00, 3.888187090503172e-01
 2.020000000000000e+00, 3.946410064123214e-01
 2.030000000000000e+00, 3.945283934130402e-01
 2.040000000000000e+00, 3.899785249443282e-01
 2.050000000000000e+00, 3.821464503415079e-01
 2.060000000000000e+00, 3.715653051708092e-01
 2.070000000000000e+00, 3.579693709468972e-01
 2.080000000000000e+00, 3.415329961611246e-01
 2.090000000000000e+00, 3.217362981637675e-01
 2.100000000000000e+00, 2.977549194946414e-01
 2.110000000000000e+00, 2.700402060566175e-01
 2.120000000000000e+00, 2.395062430069842e-01
 2.130000000000000e+00, 2.078713572670807e-01
 2.140000000000000e+00, 1.769274686247906e-01
 2.150000000000000e+00, 1.479314667216234e-01
 2.160000000000000e+00, 1.217672252364020e-01
 2.170000000000000e+00, 9.924539424671412e-02
 2.180000000000000e+00, 8.090183187091819e-02
 2.190000000000000e+00, 7.354919438902041e-02
 2.200000000000000e+00, 3.076688410083291e-02
 2.210000000000000e+00, 1.978434194435727e-03
 2.220000000000000e+00, 1.123385437589716e-02
 2.230000000000000e+00,-2.510010206302446e-03
 2.240000000000000e+00,-2.546686627123983e-02
 2.250000000000000e+00,-6.573750964436048e-02
 2.260000000000000e+00,-1.313392612660750e-01
 2.270000000000000e+00,-2.264363635712305e-01
 2.280000000000000e+00,-3.481469136925426e-01
 2.290000000000000e+00,-4.854993593190410e-01
 2.300000000000000e+00,-5.511962520337207e-01
 2.310000000000000e+00,-7.729061833893512e-01
 2.320000000000000e+00,-9.498416505730483e-01
 2.330000000000000e+00,-9.012365647279134e-01
 2.340000000000000e+00,-8.843048815018093e-01
 2.350000000000000e+00,-8.365817853516136e-01
 2.360000000000000e+00,-7.734197969529586e-01
 2.370000000000000e+00,-7.085989193665507e-01
 2.380000000000000e+00,-6.528380827778008e-01
 2.390000000000000e+00,-6.129999803539589e-01
 2.400000000000000e+00,-5.918323330067917e-01
 2.410000000000000e+00,-5.883689050751586e-01
 2.420000000000000e+00,-5.990226599165311e-01
 2.430000000000000e+00,-6.191182634972475e-01
 2.440000000000000e+00,-6.443507880939061e-01
 2.450000000000000e+00,-6.714399862989957e-01
 2.460000000000000e+00,-6.981288169836616e-01
 2.470000000000000e+00,-7.218101040550325e-01
 2.480000000000000e+00,-8.178892421212854e-01
 2.490000000000000e+00,-8.761523200280374e-01
 2.500000000000000e+00,-8.453929996112441e-01
 2.510000000000000e+00,-8.469081816698152e-01
 2.520000000000000e+00,-8.569591027577365e-01
 2.530000000000000e+00,-8.670421719275436e-01
 2.540000000000000e+00,-8.773031618343915e-01
 2.550000000000000e+00,-8.867180062927513e-01
 2.560000000000000e+00,-8.935700290796482e-01
 2.570000000000000e+00,-8.963498935616042e-01
 2.580000000000000e+00,-8.944342324603592e-01
 2.590000000000000e+00,-8.880022260801222e-01
 2.600000000000000e+00,-8.777227034997122e-01
 2.609999999999999e+00,-8.649529721938846e-01
 2.620000000000000e+00,-8.521338131382150e-01
 2.630000000000000e+00,-8.425909832469251e-01
 2.640000000000000e+00,-8.398301056040717e-01
 2.650000000000000e+00,-8.472513058228405e-01
 2.660000000000000e+00,-8.662206645519945e-01
 2.670000000000000e+00,-8.971516923893683e-01
 2.680000000000000e+00,-9.388935383701117e-01
 2.690000000000000e+00,-9.863991944160756e-01
 2.700000000000000e+00,-1.031417615126387e+00
 2.710000000000000e+00,-1.062232469357221e+00
 2.720000000000000e+00,-1.066290808865796e+00
