Series0,
AXIS0,OUTPUT
Main.Studies.ParameterIdentification.Output.Abscissa.IterationStep,Main.Studies.ParameterIdentification.Output.LeftShankLength.Val
 0.000000000000000e+00, 4.000000000000000e-01
 1.000000000000000e+00, 4.224067925083053e-01
 2.000000000000000e+00, 4.229643071513249e-01
 3.000000000000000e+00, 4.230305788662273e-01
 4.000000000000000e+00, 4.230327262536271e-01
 5.000000000000000e+00, 4.230332559194397e-01
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
 0.000000000000000e+00, 0.000000000000000e+00
