Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Left.Leg.Muscles.Envelope
 1.030000000000000e+00, 1.227800147675805e-02
 1.040000000000000e+00, 1.227325600628503e-02
 1.050000000000000e+00, 1.226747555199995e-02
 1.060000000000000e+00, 1.226139447433048e-02
 1.070000000000000e+00, 1.225613071540230e-02
 1.080000000000000e+00, 1.225244856319677e-02
 1.090000000000000e+00, 1.225047352691349e-02
 1.100000000000000e+00, 1.225033578678037e-02
 1.110000000000000e+00, 1.225276533992218e-02
 1.120000000000000e+00, 1.225841880496632e-02
 1.130000000000000e+00, 1.226691071343980e-02
 1.140000000000000e+00, 1.227677932034015e-02
 1.150000000000000e+00, 1.229003422050161e-02
 1.160000000000000e+00, 1.229205499166162e-02
 1.170000000000000e+00, 1.230237040144596e-02
 1.180000000000000e+00, 1.230998585768908e-02
 1.190000000000000e+00, 1.231785043228990e-02
 1.200000000000000e+00, 1.232591110822657e-02
 1.210000000000000e+00, 1.233336888848250e-02
 1.220000000000000e+00, 1.234234535186925e-02
 1.230000000000000e+00, 1.233866166196105e-02
 1.240000000000000e+00, 1.234046913677503e-02
 1.250000000000000e+00, 1.233515327925360e-02
 1.260000000000000e+00, 1.232519000383103e-02
 1.270000000000000e+00, 1.230948054135903e-02
 1.280000000000000e+00, 1.228647721916692e-02
 1.290000000000000e+00, 1.225521409965734e-02
 1.300000000000000e+00, 1.221594641079968e-02
 1.310000000000000e+00, 1.216986376373449e-02
 1.320000000000000e+00, 1.245910446248963e-02
 1.330000000000000e+00, 1.280516081890747e-02
 1.340000000000000e+00, 1.294781620236550e-02
 1.350000000000000e+00, 1.279503833440380e-02
 1.360000000000000e+00, 1.231245684158346e-02
 1.370000000000000e+00, 1.194286970939415e-02
 1.380000000000000e+00, 1.193428264554561e-02
 1.390000000000000e+00, 1.193667449094525e-02
 1.400000000000000e+00, 1.194659259168510e-02
 1.410000000000000e+00, 1.196170770079516e-02
 1.420000000000000e+00, 1.197749924792875e-02
 1.430000000000000e+00, 1.199031268039917e-02
 1.440000000000000e+00, 1.200022588265885e-02
 1.450000000000000e+00, 1.200948961646771e-02
 1.460000000000000e+00, 1.201939838798566e-02
 1.470000000000000e+00, 1.202903234132706e-02
 1.480000000000000e+00, 1.203630084150730e-02
 1.490000000000000e+00, 1.204053569722478e-02
 1.500000000000000e+00, 1.204356918139040e-02
 1.510000000000000e+00, 1.204785224990927e-02
 1.520000000000000e+00, 1.205462543715195e-02
 1.530000000000000e+00, 1.300333389789055e-02
 1.540000000000000e+00, 1.663930139356755e-02
 1.550000000000000e+00, 2.077515388672463e-02
 1.560000000000000e+00, 2.529438840665763e-02
 1.570000000000000e+00, 3.023096002191731e-02
 1.580000000000000e+00, 3.550610903826896e-02
 1.590000000000000e+00, 4.098804249186652e-02
 1.600000000000000e+00, 4.665897305931833e-02
 1.610000000000000e+00, 5.230893082987542e-02
 1.620000000000000e+00, 5.774146609251195e-02
 1.630000000000000e+00, 6.304856551667536e-02
 1.640000000000000e+00, 6.810610967595357e-02
 1.650000000000000e+00, 7.277039494139301e-02
 1.660000000000000e+00, 7.707757919899119e-02
 1.670000000000000e+00, 8.103518360666234e-02
 1.680000000000000e+00, 8.461150066587231e-02
 1.690000000000000e+00, 8.763594635221615e-02
 1.700000000000000e+00, 8.995263452913541e-02
 1.710000000000000e+00, 9.140280626463261e-02
 1.720000000000000e+00, 9.195301090972581e-02
 1.730000000000000e+00, 9.169985050053761e-02
 1.740000000000000e+00, 9.067908054400370e-02
 1.750000000000000e+00, 8.877459826771565e-02
 1.760000000000000e+00, 8.627632327263093e-02
 1.770000000000000e+00, 8.518824369722292e-02
 1.780000000000000e+00, 8.373076446077597e-02
 1.790000000000000e+00, 8.221629128077688e-02
 1.800000000000000e+00, 8.528965395559925e-02
 1.810000000000000e+00, 9.247170162535524e-02
 1.820000000000000e+00, 9.873093892818402e-02
 1.830000000000000e+00, 1.031592704976675e-01
 1.840000000000000e+00, 1.056065108432275e-01
 1.850000000000000e+00, 1.062637817098882e-01
 1.860000000000000e+00, 1.048389385246597e-01
 1.870000000000000e+00, 1.012302599783447e-01
 1.880000000000000e+00, 9.573562097774593e-02
 1.890000000000000e+00, 8.888312378012561e-02
 1.900000000000000e+00, 8.127418999884851e-02
 1.910000000000000e+00, 8.340372931283060e-02
 1.920000000000000e+00, 9.190214821091088e-02
 1.930000000000000e+00, 9.792600578481822e-02
 1.940000000000000e+00, 1.007041752728991e-01
 1.950000000000000e+00, 1.004121300644740e-01
 1.960000000000000e+00, 9.723314303840108e-02
 1.970000000000000e+00, 9.167949161768010e-02
 1.980000000000000e+00, 8.423773472040934e-02
 1.990000000000000e+00, 7.979746167728297e-02
 2.000000000000000e+00, 7.879976277690727e-02
 2.010000000000000e+00, 7.795343171030739e-02
 2.020000000000000e+00, 7.805153635026135e-02
 2.030000000000000e+00, 7.799650965918549e-02
 2.040000000000000e+00, 7.782966601091555e-02
 2.050000000000000e+00, 7.778265887528031e-02
 2.060000000000000e+00, 7.791244714999844e-02
 2.070000000000000e+00, 7.822912603500543e-02
 2.080000000000000e+00, 7.889240419086638e-02
 2.090000000000000e+00, 7.963773640682721e-02
 2.100000000000000e+00, 8.044015608156402e-02
 2.110000000000000e+00, 8.115977749525523e-02
 2.120000000000000e+00, 8.161517658232642e-02
 2.130000000000000e+00, 8.177618790947554e-02
 2.140000000000000e+00, 8.134234970969885e-02
 2.150000000000000e+00, 8.015558827448958e-02
 2.160000000000000e+00, 7.819263595288692e-02
 2.170000000000000e+00, 7.572810333253689e-02
 2.180000000000000e+00, 9.132975262685850e-02
 2.190000000000000e+00, 1.210931145177519e-01
 2.200000000000000e+00, 1.499588364711143e-01
 2.210000000000000e+00, 1.741800533332322e-01
 2.220000000000000e+00, 1.945394364017440e-01
 2.230000000000000e+00, 2.135430497034307e-01
 2.240000000000000e+00, 2.328876821273556e-01
 2.250000000000000e+00, 2.533556100090493e-01
 2.260000000000000e+00, 2.738318261970228e-01
 2.270000000000000e+00, 2.917355160243835e-01
 2.280000000000000e+00, 3.072863504754020e-01
