Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Acc
 1.030000000000000e+00,-4.373004246635363e-01
 1.040000000000000e+00,-4.745155164765979e-01
 1.050000000000000e+00,-4.767176707307675e-01
 1.060000000000000e+00,-4.465514769640479e-01
 1.070000000000000e+00,-3.936580102194616e-01
 1.080000000000000e+00,-3.276103543383638e-01
 1.090000000000000e+00,-2.564299631866617e-01
 1.100000000000000e+00,-1.861993104566713e-01
 1.110000000000000e+00,-1.186143329147722e-01
 1.120000000000000e+00,-5.161509054954386e-02
 1.130000000000000e+00, 1.784466241297049e-02
 1.140000000000000e+00, 9.563631861700346e-02
 1.150000000000000e+00, 2.297951783998137e-01
 1.160000000000000e+00, 3.037848485295631e-01
 1.170000000000000e+00, 4.712241704586591e-01
 1.180000000000000e+00, 6.422634077111498e-01
 1.190000000000000e+00, 8.189989963478509e-01
 1.200000000000000e+00, 9.902056867222605e-01
 1.210000000000000e+00, 1.160052639730925e+00
 1.220000000000000e+00, 1.400315686762039e+00
 1.230000000000000e+00, 1.497651799600328e+00
 1.240000000000000e+00, 1.741380786895449e+00
 1.250000000000000e+00, 1.889727726975123e+00
 1.260000000000000e+00, 1.950014486849397e+00
 1.270000000000000e+00, 1.893516297319024e+00
 1.280000000000000e+00, 1.711259176279834e+00
 1.290000000000000e+00, 1.410925922782587e+00
 1.300000000000000e+00, 1.011167291549261e+00
 1.310000000000000e+00, 5.431046850426673e-01
 1.320000000000000e+00, 4.919886816380804e-02
 1.330000000000000e+00,-4.246909907061988e-01
 1.340000000000000e+00,-8.368485873515809e-01
 1.350000000000000e+00,-1.153592556439760e+00
 1.360000000000000e+00,-1.393977720100221e+00
 1.370000000000000e+00,-1.365666274279017e+00
 1.380000000000000e+00,-1.356809930983811e+00
 1.390000000000000e+00,-1.187095934089799e+00
 1.400000000000000e+00,-9.310163909033954e-01
 1.410000000000000e+00,-6.104882398615025e-01
 1.420000000000000e+00,-2.565701983307589e-01
 1.430000000000000e+00, 8.666413223183909e-02
 1.440000000000000e+00, 3.788676991288778e-01
 1.450000000000000e+00, 5.994427045121975e-01
 1.460000000000000e+00, 7.488648529943113e-01
 1.470000000000000e+00, 8.409958164360677e-01
 1.480000000000000e+00, 8.942094106364461e-01
 1.490000000000000e+00, 9.289463307894945e-01
 1.500000000000000e+00, 9.690930389563479e-01
 1.510000000000000e+00, 1.043677548672733e+00
 1.520000000000000e+00, 1.191958204800453e+00
 1.530000000000000e+00, 1.456626652803176e+00
 1.540000000000000e+00, 1.861970471997046e+00
 1.550000000000000e+00, 2.409014002447722e+00
 1.560000000000000e+00, 3.095938630868078e+00
 1.570000000000000e+00, 3.931920113097759e+00
 1.580000000000000e+00, 4.919953468665751e+00
 1.590000000000000e+00, 6.027174006873381e+00
 1.600000000000000e+00, 7.181079302634232e+00
 1.610000000000000e+00, 8.294915447497091e+00
 1.620000000000000e+00, 9.296324496998210e+00
 1.630000000000000e+00, 1.013549366846425e+01
 1.640000000000000e+00, 1.076986255571948e+01
 1.650000000000000e+00, 1.115558695416336e+01
 1.660000000000000e+00, 1.126284363307193e+01
 1.670000000000000e+00, 1.108920546606102e+01
 1.680000000000000e+00, 1.065013503092179e+01
 1.690000000000000e+00, 9.952820627370400e+00
 1.700000000000000e+00, 8.977219144351080e+00
 1.710000000000000e+00, 7.689612221041244e+00
 1.720000000000000e+00, 6.074945806842011e+00
 1.730000000000000e+00, 4.160455671483056e+00
 1.740000000000000e+00, 2.029625766689910e+00
 1.750000000000000e+00,-1.828300577855213e-01
 1.760000000000000e+00,-2.318943479414713e+00
 1.770000000000000e+00,-4.225490082752563e+00
 1.780000000000000e+00,-5.800142709188176e+00
 1.790000000000000e+00,-6.973050629101572e+00
 1.800000000000000e+00,-7.765960706199984e+00
 1.810000000000000e+00,-8.240033338728864e+00
 1.820000000000000e+00,-8.473784969129637e+00
 1.830000000000000e+00,-8.529553181955125e+00
 1.840000000000000e+00,-8.445028820904795e+00
 1.850000000000000e+00,-8.244717184146694e+00
