Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Left.Leg.JointMomentMeasure.HipFlexion
 1.030000000000000e+00,-3.072684683530516e+00
 1.040000000000000e+00,-3.068884514880839e+00
 1.050000000000000e+00,-3.066772067391529e+00
 1.060000000000000e+00,-3.068628868468479e+00
 1.070000000000000e+00,-3.075931585598603e+00
 1.080000000000000e+00,-3.088167424347299e+00
 1.090000000000000e+00,-3.104281827196510e+00
 1.100000000000000e+00,-3.124675289382498e+00
 1.110000000000000e+00,-3.150808239158013e+00
 1.120000000000000e+00,-3.181328413474590e+00
 1.130000000000000e+00,-3.209410036044211e+00
 1.140000000000000e+00,-3.226260382850973e+00
 1.150000000000000e+00,-3.233704963647063e+00
 1.160000000000000e+00,-3.198761231106912e+00
 1.170000000000000e+00,-3.153005822309462e+00
 1.180000000000000e+00,-3.069088159410351e+00
 1.190000000000000e+00,-2.949252794917776e+00
 1.200000000000000e+00,-2.796332145021275e+00
 1.210000000000000e+00,-2.620654485578640e+00
 1.220000000000000e+00,-2.450892820404833e+00
 1.230000000000000e+00,-2.282040728729362e+00
 1.240000000000000e+00,-2.187354714956069e+00
 1.250000000000000e+00,-2.157285716740557e+00
 1.260000000000000e+00,-2.213123200120409e+00
 1.270000000000000e+00,-2.363614595901760e+00
 1.280000000000000e+00,-2.609374949458824e+00
 1.290000000000000e+00,-2.937966318037434e+00
 1.300000000000000e+00,-3.321524014687442e+00
 1.310000000000000e+00,-3.718688585834252e+00
 1.320000000000000e+00,-4.080617096422968e+00
 1.330000000000000e+00,-4.359806718676153e+00
 1.340000000000000e+00,-4.519585221656215e+00
 1.350000000000000e+00,-4.540711597289947e+00
 1.360000000000000e+00,-4.415450203583866e+00
 1.370000000000000e+00,-4.182831484431074e+00
 1.380000000000000e+00,-3.826118975939565e+00
 1.390000000000000e+00,-3.409166965890793e+00
 1.400000000000000e+00,-2.962581815590422e+00
 1.410000000000000e+00,-2.523608142810714e+00
 1.420000000000000e+00,-2.120037634393082e+00
 1.430000000000000e+00,-1.758836427761232e+00
 1.440000000000000e+00,-1.428327852033399e+00
 1.450000000000000e+00,-1.112698277152352e+00
 1.460000000000000e+00,-7.991564506830898e-01
 1.470000000000000e+00,-4.764909719682238e-01
 1.480000000000000e+00,-1.342443246683830e-01
 1.490000000000000e+00, 2.383374395743805e-01
 1.500000000000000e+00, 6.542073259817349e-01
 1.510000000000000e+00, 1.127993697927750e+00
 1.520000000000000e+00, 1.672861555226372e+00
 1.530000000000000e+00, 2.298758096511994e+00
 1.540000000000000e+00, 3.012807679657859e+00
 1.550000000000000e+00, 3.817866618149092e+00
 1.560000000000000e+00, 4.712281335105120e+00
 1.570000000000000e+00, 5.691996149089323e+00
 1.580000000000000e+00, 6.748178171884199e+00
 1.590000000000000e+00, 7.863997644076722e+00
 1.600000000000000e+00, 9.015990030132871e+00
 1.610000000000000e+00, 1.017607451308263e+01
 1.620000000000000e+00, 1.131657415509411e+01
 1.630000000000000e+00, 1.240973436830223e+01
 1.640000000000000e+00, 1.342898640897873e+01
 1.650000000000000e+00, 1.435293438634721e+01
 1.660000000000000e+00, 1.517109311466090e+01
 1.670000000000000e+00, 1.588295009916341e+01
 1.680000000000000e+00, 1.649373256498076e+01
 1.690000000000000e+00, 1.701004927973990e+01
 1.700000000000000e+00, 1.743632820424589e+01
 1.710000000000000e+00, 1.777672048462006e+01
 1.720000000000000e+00, 1.804295837391789e+01
 1.730000000000000e+00, 1.825701237799499e+01
 1.740000000000000e+00, 1.844610602425845e+01
 1.750000000000000e+00, 1.865012056692285e+01
 1.760000000000000e+00, 1.893263011835166e+01
 1.770000000000000e+00, 1.936491432992847e+01
 1.780000000000000e+00, 1.997878071640763e+01
 1.790000000000000e+00, 2.078772729151615e+01
 1.800000000000000e+00, 2.172723167336245e+01
