Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Pos
 1.030000000000000e+00, 2.604213035791604e-02
 1.040000000000000e+00, 2.584906327926115e-02
 1.050000000000000e+00, 2.560911487442464e-02
 1.060000000000000e+00, 2.532203393457282e-02
 1.070000000000000e+00, 2.499067639964748e-02
 1.080000000000000e+00, 2.462017204017171e-02
 1.090000000000000e+00, 2.421699191547532e-02
 1.100000000000000e+00, 2.378815271496560e-02
 1.110000000000000e+00, 2.334064931098616e-02
 1.120000000000000e+00, 2.288127463837576e-02
 1.130000000000000e+00, 2.241677950076714e-02
 1.140000000000000e+00, 2.195420781342241e-02
 1.150000000000000e+00, 2.150213936368107e-02
 1.160000000000000e+00, 2.107204782571391e-02
 1.170000000000000e+00, 2.067389285107973e-02
 1.180000000000000e+00, 2.032292116460757e-02
 1.190000000000000e+00, 2.003627217168994e-02
 1.200000000000000e+00, 1.983143290134049e-02
 1.210000000000000e+00, 1.972559386465613e-02
 1.220000000000000e+00, 1.973693586029353e-02
 1.230000000000000e+00, 1.988592847138803e-02
 1.240000000000000e+00, 2.018712567147750e-02
 1.250000000000000e+00, 2.066086825377577e-02
 1.260000000000000e+00, 2.132211121036154e-02
 1.270000000000000e+00, 2.217640447484894e-02
 1.280000000000000e+00, 2.321795101158101e-02
 1.290000000000000e+00, 2.442865761300318e-02
 1.300000000000000e+00, 2.577880711133759e-02
 1.310000000000000e+00, 2.722894653535785e-02
 1.320000000000000e+00, 2.873297856586606e-02
 1.330000000000000e+00, 3.024227444915728e-02
 1.340000000000000e+00, 3.171013448399612e-02
 1.350000000000000e+00, 3.309589575828081e-02
 1.360000000000000e+00, 3.436755701354456e-02
 1.370000000000000e+00, 3.550427803923973e-02
 1.380000000000000e+00, 3.650408577122879e-02
 1.390000000000000e+00, 3.737087275387983e-02
 1.400000000000000e+00, 3.812037583449024e-02
 1.410000000000000e+00, 3.877784716197274e-02
 1.420000000000000e+00, 3.937483119237545e-02
 1.430000000000000e+00, 3.994599184382872e-02
 1.440000000000000e+00, 4.052498264189872e-02
 1.450000000000000e+00, 4.114067948139423e-02
 1.460000000000000e+00, 4.181514446971626e-02
 1.470000000000000e+00, 4.256354671904600e-02
 1.480000000000000e+00, 4.339540142833530e-02
 1.490000000000000e+00, 4.431636730518270e-02
 1.500000000000000e+00, 4.533031455932848e-02
 1.510000000000000e+00, 4.644174245874317e-02
 1.520000000000000e+00, 4.765876710819038e-02
 1.530000000000000e+00, 4.899693383571593e-02
 1.540000000000000e+00, 5.048312199354445e-02
 1.550000000000000e+00, 5.215789213900808e-02
 1.560000000000000e+00, 5.407592785218825e-02
 1.570000000000000e+00, 5.630608272436466e-02
 1.580000000000000e+00, 5.893200909122351e-02
 1.590000000000000e+00, 6.205195982003656e-02
 1.600000000000000e+00, 6.577543562933900e-02
 1.610000000000000e+00, 7.021536688523437e-02
 1.620000000000000e+00, 7.548366865616225e-02
 1.630000000000000e+00, 8.167889887869806e-02
 1.640000000000000e+00, 8.888426513055081e-02
 1.650000000000000e+00, 9.716247356685588e-02
 1.660000000000000e+00, 1.065515995785230e-01
 1.670000000000000e+00, 1.170623283887735e-01
 1.680000000000000e+00, 1.286775538987129e-01
 1.690000000000000e+00, 1.413534888751205e-01
 1.700000000000000e+00, 1.550200678216681e-01
 1.710000000000000e+00, 1.695791686031268e-01
 1.720000000000000e+00, 1.849017796003827e-01
 1.730000000000000e+00, 2.008268880715641e-01
 1.740000000000000e+00, 2.171644363835831e-01
 1.750000000000000e+00, 2.337035867745521e-01
 1.760000000000000e+00, 2.502257264843259e-01
 1.770000000000000e+00, 2.665197979390948e-01
 1.780000000000000e+00, 2.823968519574329e-01
 1.790000000000000e+00, 2.977005874748296e-01
 1.800000000000000e+00, 3.123133512576926e-01
 1.810000000000000e+00, 3.261548329573201e-01
 1.820000000000000e+00, 3.391763166980341e-01
 1.830000000000000e+00, 3.513533883540543e-01
 1.840000000000000e+00, 3.626798429195384e-01
 1.850000000000000e+00, 3.731637244049087e-01
 1.860000000000000e+00, 3.828245991252863e-01
 1.870000000000000e+00, 3.916907062202619e-01
 1.880000000000000e+00, 3.997957299837683e-01
 1.890000000000000e+00, 4.071764365320018e-01
 1.900000000000000e+00, 4.138723385089546e-01
 1.910000000000000e+00, 4.199269505544544e-01
 1.920000000000000e+00, 4.253893998136810e-01
 1.930000000000000e+00, 4.303152967643831e-01
 1.940000000000000e+00, 4.347653970977892e-01
 1.950000000000000e+00, 4.388017167714621e-01
 1.960000000000000e+00, 4.424842434237883e-01
 1.970000000000000e+00, 4.458680839597573e-01
 1.980000000000000e+00, 4.490000948498948e-01
 1.990000000000000e+00, 4.519147121690807e-01
 2.000000000000000e+00, 4.546313560671134e-01
 2.010000000000000e+00, 4.571554627126223e-01
 2.020000000000000e+00, 4.594825048834051e-01
 2.030000000000000e+00, 4.616048850434614e-01
 2.040000000000000e+00, 4.635187404494636e-01
 2.050000000000000e+00, 4.652290941273163e-01
 2.060000000000000e+00, 4.667522981946329e-01
 2.070000000000000e+00, 4.681163450091205e-01
 2.080000000000000e+00, 4.693599498026791e-01
 2.090000000000000e+00, 4.705294996130434e-01
 2.100000000000000e+00, 4.716743781887121e-01
 2.110000000000000e+00, 4.728453155368919e-01
 2.120000000000000e+00, 4.740824378020762e-01
 2.130000000000000e+00, 4.754128998289782e-01
 2.140000000000000e+00, 4.768455572508215e-01
 2.150000000000000e+00, 4.783676129660506e-01
 2.160000000000000e+00, 4.799450548009685e-01
 2.170000000000000e+00, 4.815263014292975e-01
 2.180000000000000e+00, 4.830483210103123e-01
 2.190000000000000e+00, 4.844447311560339e-01
 2.200000000000000e+00, 4.856559142994427e-01
 2.210000000000000e+00, 4.866397148636474e-01
 2.220000000000000e+00, 4.873784829275767e-01
 2.230000000000000e+00, 4.878784742288380e-01
 2.240000000000000e+00, 4.881623417111371e-01
 2.250000000000000e+00, 4.882568162894744e-01
 2.260000000000000e+00, 4.881743666105113e-01
 2.270000000000000e+00, 4.879157620347201e-01
 2.280000000000000e+00, 4.874601367802019e-01
 2.290000000000000e+00, 4.867641015280624e-01
 2.300000000000000e+00, 4.857627664679821e-01
 2.310000000000000e+00, 4.843723380692835e-01
 2.320000000000000e+00, 4.825007728025328e-01
 2.330000000000000e+00, 4.800398457181755e-01
 2.340000000000000e+00, 4.768779634333688e-01
 2.350000000000000e+00, 4.728997989410279e-01
 2.360000000000000e+00, 4.680052416030242e-01
 2.370000000000000e+00, 4.621100741688122e-01
 2.380000000000000e+00, 4.551533788143124e-01
 2.390000000000000e+00, 4.471043325451266e-01
 2.400000000000000e+00, 4.379661160635801e-01
 2.410000000000000e+00, 4.277762416777411e-01
 2.420000000000000e+00, 4.166023780718586e-01
 2.430000000000000e+00, 4.045337643228933e-01
 2.440000000000000e+00, 3.916691287590973e-01
 2.450000000000000e+00, 3.781223462507890e-01
 2.460000000000000e+00, 3.640118901772921e-01
 2.470000000000000e+00, 3.494611511560884e-01
 2.480000000000000e+00, 3.345987553965594e-01
 2.490000000000000e+00, 3.195524185873475e-01
 2.500000000000000e+00, 3.044540972467804e-01
 2.510000000000000e+00, 2.894285268688416e-01
 2.520000000000000e+00, 2.745848221864585e-01
 2.530000000000000e+00, 2.600097565413073e-01
 2.540000000000000e+00, 2.457637598387022e-01
 2.550000000000000e+00, 2.318803871673409e-01
 2.560000000000000e+00, 2.183681774445767e-01
 2.570000000000000e+00, 2.052133475732772e-01
 2.580000000000000e+00, 1.923820281479419e-01
 2.590000000000000e+00, 1.798221360005922e-01
 2.600000000000000e+00, 1.674668070283006e-01
 2.609999999999999e+00, 1.552411175940078e-01
 2.620000000000000e+00, 1.430711181981174e-01
 2.630000000000000e+00, 1.308926078652037e-01
 2.640000000000000e+00, 1.186583822741864e-01
