Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Vel
 1.030000000000000e+00,-1.705945499203154e-02
 1.040000000000000e+00,-2.161853469773172e-02
 1.050000000000000e+00,-2.637470063377651e-02
 1.060000000000000e+00,-3.099104637235733e-02
 1.070000000000000e+00,-3.519209380817372e-02
 1.080000000000000e+00,-3.879843563096864e-02
 1.090000000000000e+00,-4.171863721865661e-02
 1.100000000000000e+00,-4.393178358682490e-02
 1.110000000000000e+00,-4.545585180371847e-02
 1.120000000000000e+00,-4.630699892101875e-02
 1.130000000000000e+00,-4.647585106170076e-02
 1.140000000000000e+00,-4.590844615654578e-02
 1.150000000000000e+00,-4.428128867150005e-02
 1.160000000000000e+00,-4.161338853680393e-02
 1.170000000000000e+00,-3.773834344195199e-02
 1.180000000000000e+00,-3.217090555097422e-02
 1.190000000000000e+00,-2.486459353085984e-02
 1.200000000000000e+00,-1.581857011549554e-02
 1.210000000000000e+00,-5.067278482989811e-03
 1.220000000000000e+00, 7.734563149179891e-03
 1.230000000000000e+00, 2.222440058130107e-02
 1.240000000000000e+00, 3.841956351338973e-02
 1.250000000000000e+00, 5.657510608274283e-02
 1.260000000000000e+00, 7.577381715186518e-02
 1.270000000000000e+00, 9.499147107273750e-02
 1.280000000000000e+00, 1.130153484411604e-01
 1.290000000000000e+00, 1.286262739361133e-01
 1.300000000000000e+00, 1.407367400080565e-01
 1.310000000000000e+00, 1.485080998908272e-01
 1.320000000000000e+00, 1.514696176568597e-01
 1.330000000000000e+00, 1.495921570441468e-01
 1.340000000000000e+00, 1.432844591537018e-01
 1.350000000000000e+00, 1.333322534349947e-01
 1.360000000000000e+00, 1.205944020522728e-01
 1.370000000000000e+00, 1.067961820800695e-01
 1.380000000000000e+00, 9.318380105406171e-02
 1.390000000000000e+00, 8.046427172839619e-02
 1.400000000000000e+00, 6.987371010368358e-02
 1.410000000000000e+00, 6.216618694984195e-02
 1.420000000000000e+00, 5.783089475878268e-02
 1.430000000000000e+00, 5.698136442830767e-02
 1.440000000000000e+00, 5.930902358517379e-02
 1.450000000000000e+00, 6.420057560326850e-02
 1.460000000000000e+00, 7.094211339096028e-02
 1.470000000000000e+00, 7.889141673793479e-02
 1.480000000000000e+00, 8.756744287349598e-02
 1.490000000000000e+00, 9.668322158041937e-02
 1.500000000000000e+00, 1.061734184293636e-01
 1.510000000000000e+00, 1.162372713672750e-01
 1.520000000000000e+00, 1.274154501348725e-01
 1.530000000000000e+00, 1.406583744225771e-01
 1.540000000000000e+00, 1.572513600466065e-01
 1.550000000000000e+00, 1.786062824192950e-01
 1.560000000000000e+00, 2.061310455852399e-01
 1.570000000000000e+00, 2.412703393058631e-01
 1.580000000000000e+00, 2.855297072135702e-01
 1.590000000000000e+00, 3.402653445912864e-01
 1.600000000000000e+00, 4.063066111387879e-01
 1.610000000000000e+00, 4.836865848894392e-01
 1.620000000000000e+00, 5.716427846121588e-01
 1.630000000000000e+00, 6.688018754415818e-01
 1.640000000000000e+00, 7.733286565600476e-01
 1.650000000000000e+00, 8.829559041094694e-01
 1.660000000000000e+00, 9.950480570456487e-01
 1.670000000000000e+00, 1.106808302541323e+00
 1.680000000000000e+00, 1.215505005026450e+00
 1.690000000000000e+00, 1.318519783320253e+00
 1.700000000000000e+00, 1.413169982176498e+00
 1.710000000000000e+00, 1.496504139003581e+00
 1.720000000000000e+00, 1.565326929144625e+00
 1.730000000000000e+00, 1.616503936534940e+00
 1.740000000000000e+00, 1.647454343725821e+00
 1.750000000000000e+00, 1.656688322270349e+00
 1.760000000000000e+00, 1.644179454584309e+00
 1.770000000000000e+00, 1.611457286772701e+00
 1.780000000000000e+00, 1.561329122814227e+00
 1.790000000000000e+00, 1.497463156122790e+00
 1.800000000000000e+00, 1.423768099446147e+00
 1.810000000000000e+00, 1.343738129219597e+00
 1.820000000000000e+00, 1.260169037682347e+00
 1.830000000000000e+00, 1.175152346926927e+00
 1.840000000000000e+00, 1.090279436912633e+00
 1.850000000000000e+00, 1.006830706887414e+00
 1.860000000000000e+00, 9.258245766366686e-01
 1.870000000000000e+00, 8.479655071847452e-01
 1.880000000000000e+00, 7.736526287888865e-01
 1.890000000000000e+00, 7.031430518584202e-01
 1.900000000000000e+00, 6.367577083304787e-01
 1.910000000000000e+00, 5.749803158870346e-01
 1.920000000000000e+00, 5.184394206804412e-01
 1.930000000000000e+00, 4.677658707681328e-01
 1.940000000000000e+00, 4.232962908861609e-01
 1.950000000000000e+00, 3.849749778166792e-01
 1.960000000000000e+00, 3.524577043261973e-01
 1.970000000000000e+00, 3.251043673262395e-01
 1.980000000000000e+00, 3.018802566160048e-01
 1.990000000000000e+00, 2.813630676829713e-01
 2.000000000000000e+00, 2.620458330884088e-01
 2.010000000000000e+00, 2.426787558039153e-01
 2.020000000000000e+00, 2.225837803743161e-01
 2.030000000000000e+00, 2.018128144087942e-01
 2.040000000000000e+00, 1.810356262434767e-01
 2.050000000000000e+00, 1.613074027460128e-01
 2.060000000000000e+00, 1.438020855993430e-01
 2.070000000000000e+00, 1.296595202543937e-01
 2.080000000000000e+00, 1.198553174792253e-01
 2.090000000000000e+00, 1.148655929797734e-01
 2.100000000000000e+00, 1.150108284214495e-01
 2.110000000000000e+00, 1.198358724792820e-01
 2.120000000000000e+00, 1.280635676067481e-01
 2.130000000000000e+00, 1.381851465347750e-01
 2.140000000000000e+00, 1.481316825191785e-01
 2.150000000000000e+00, 1.557020660339025e-01
 2.160000000000000e+00, 1.589093199891533e-01
 2.170000000000000e+00, 1.562671948611752e-01
 2.180000000000000e+00, 1.470017654611998e-01
 2.190000000000000e+00, 1.312546631440534e-01
 2.200000000000000e+00, 1.102575694653384e-01
 2.210000000000000e+00, 8.621017033105709e-02
 2.220000000000000e+00, 6.167233497622873e-02
 2.230000000000000e+00, 3.872829563391071e-02
 2.240000000000000e+00, 1.857211412196466e-02
 2.250000000000000e+00, 4.858642282334391e-04
 2.260000000000000e+00,-1.690810051476760e-02
 2.270000000000000e+00,-3.516973507216292e-02
 2.280000000000000e+00,-5.668190237693722e-02
 2.290000000000000e+00,-8.360079988894706e-02
 2.300000000000000e+00,-1.181259831907474e-01
 2.310000000000000e+00,-1.614242953733578e-01
 2.320000000000000e+00,-2.147749236659250e-01
 2.330000000000000e+00,-2.792237017407603e-01
 2.340000000000000e+00,-3.551730646664749e-01
 2.350000000000000e+00,-4.420980573527126e-01
 2.360000000000000e+00,-5.382512429901646e-01
 2.370000000000000e+00,-6.418143968963138e-01
 2.380000000000000e+00,-7.500500086276307e-01
 2.390000000000000e+00,-8.597080653545468e-01
 2.400000000000000e+00,-9.672965690771160e-01
 2.410000000000000e+00,-1.069532933547822e+00
 2.420000000000000e+00,-1.163693108090249e+00
 2.430000000000000e+00,-1.248437851893960e+00
 2.440000000000000e+00,-1.322530286073282e+00
 2.450000000000000e+00,-1.384866428999085e+00
 2.460000000000000e+00,-1.435175571566466e+00
 2.470000000000000e+00,-1.472789809388702e+00
 2.480000000000000e+00,-1.497605621268743e+00
 2.490000000000000e+00,-1.509407474928385e+00
 2.500000000000000e+00,-1.508161926307634e+00
 2.510000000000000e+00,-1.495112340408220e+00
 2.520000000000000e+00,-1.472171236130264e+00
 2.530000000000000e+00,-1.441833818801732e+00
 2.540000000000000e+00,-1.406812197241664e+00
 2.550000000000000e+00,-1.369728207449885e+00
 2.560000000000000e+00,-1.332949693365751e+00
 2.570000000000000e+00,-1.298584899028715e+00
 2.580000000000000e+00,-1.268555501040002e+00
 2.590000000000000e+00,-1.244556569993390e+00
