Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Right.Leg.Muscles.Envelope
 1.030000000000000e+00, 1.225943520713616e-02
 1.040000000000000e+00, 1.226625510350687e-02
 1.050000000000000e+00, 1.228876854992062e-02
 1.060000000000000e+00, 1.238848760120696e-02
 1.070000000000000e+00, 1.242997538657301e-02
 1.080000000000000e+00, 1.244306503254601e-02
 1.090000000000000e+00, 1.247043331527116e-02
 1.100000000000000e+00, 1.254874986209926e-02
 1.110000000000000e+00, 1.269864891696325e-02
 1.120000000000000e+00, 1.294510434735102e-02
 1.130000000000000e+00, 1.330615799236153e-02
 1.140000000000000e+00, 1.375707180627734e-02
 1.150000000000000e+00, 1.426985774256750e-02
 1.160000000000000e+00, 1.465978964212619e-02
 1.170000000000000e+00, 1.504170882647594e-02
 1.180000000000000e+00, 1.527441156583507e-02
 1.190000000000000e+00, 1.539628899884568e-02
 1.200000000000000e+00, 1.540611209803270e-02
 1.210000000000000e+00, 1.585361421435940e-02
 1.220000000000000e+00, 1.585562059670849e-02
 1.230000000000000e+00, 1.507672255488083e-02
 1.240000000000000e+00, 1.339727945290624e-02
 1.250000000000000e+00, 1.195539567685239e-02
 1.260000000000000e+00, 1.190117953957322e-02
 1.270000000000000e+00, 1.185037008030645e-02
 1.280000000000000e+00, 1.180334359544322e-02
 1.290000000000000e+00, 1.175983768001447e-02
 1.300000000000000e+00, 1.171926618940876e-02
 1.310000000000000e+00, 1.168201929179084e-02
 1.320000000000000e+00, 1.192030930284670e-02
 1.330000000000000e+00, 1.290952098686006e-02
 1.340000000000000e+00, 1.362520870864694e-02
 1.350000000000000e+00, 1.396400521312529e-02
 1.360000000000000e+00, 1.387507765158785e-02
 1.370000000000000e+00, 1.339435597138953e-02
 1.380000000000000e+00, 1.299808771683084e-02
 1.390000000000000e+00, 1.304110377876262e-02
 1.400000000000000e+00, 1.459452510832059e-02
 1.410000000000000e+00, 1.614530248574439e-02
 1.420000000000000e+00, 1.701265915484554e-02
 1.430000000000000e+00, 1.852522801115009e-02
 1.440000000000000e+00, 2.080365436344815e-02
 1.450000000000000e+00, 2.237503147713401e-02
 1.460000000000000e+00, 2.304426525041181e-02
 1.470000000000000e+00, 2.283635648776380e-02
 1.480000000000000e+00, 2.193854017132547e-02
 1.490000000000000e+00, 2.215567296792833e-02
 1.500000000000000e+00, 2.281594452128627e-02
 1.510000000000000e+00, 2.322382298095199e-02
 1.520000000000000e+00, 2.339301311499515e-02
 1.530000000000000e+00, 2.341565229653687e-02
 1.540000000000000e+00, 2.333116444432604e-02
 1.550000000000000e+00, 2.314497336650144e-02
 1.560000000000000e+00, 2.285773883824905e-02
 1.570000000000000e+00, 2.246160727934334e-02
 1.580000000000000e+00, 2.194501721603772e-02
 1.590000000000000e+00, 2.130435690604479e-02
 1.600000000000000e+00, 2.056994711820012e-02
 1.610000000000000e+00, 1.980814723972930e-02
 1.620000000000000e+00, 1.912476165638008e-02
 1.630000000000000e+00, 1.851711226104382e-02
 1.640000000000000e+00, 1.800013515671116e-02
 1.650000000000000e+00, 1.755546749487484e-02
 1.660000000000000e+00, 1.715377608419584e-02
 1.670000000000000e+00, 1.817922299214248e-02
 1.680000000000000e+00, 2.010002841884167e-02
 1.690000000000000e+00, 2.149613681848055e-02
 1.700000000000000e+00, 2.184181114468982e-02
 1.710000000000000e+00, 2.093751911136521e-02
 1.720000000000000e+00, 1.924856433351781e-02
 1.730000000000000e+00, 1.788794407441514e-02
 1.740000000000000e+00, 1.776297921965079e-02
 1.750000000000000e+00, 1.700282570512609e-02
 1.760000000000000e+00, 1.585218604505870e-02
 1.770000000000000e+00, 1.562522166903404e-02
 1.780000000000000e+00, 1.547070112695383e-02
 1.790000000000000e+00, 1.536288994976074e-02
 1.800000000000000e+00, 1.516833634246260e-02
 1.810000000000000e+00, 1.491501826912241e-02
 1.820000000000000e+00, 1.452746684300422e-02
 1.830000000000000e+00, 1.463637858473908e-02
 1.840000000000000e+00, 1.499465097189293e-02
 1.850000000000000e+00, 1.540207739932949e-02
 1.860000000000000e+00, 1.573289420036529e-02
 1.870000000000000e+00, 1.575267854394293e-02
 1.880000000000000e+00, 1.587654108436824e-02
 1.890000000000000e+00, 1.584454779553312e-02
 1.900000000000000e+00, 1.570196740073723e-02
 1.910000000000000e+00, 1.545367181354622e-02
 1.920000000000000e+00, 1.505735083387515e-02
 1.930000000000000e+00, 1.491388697263325e-02
 1.940000000000000e+00, 1.575707912547008e-02
 1.950000000000000e+00, 1.668788657987358e-02
 1.960000000000000e+00, 1.762419171177660e-02
 1.970000000000000e+00, 1.837216639673494e-02
 1.980000000000000e+00, 1.887461091104291e-02
 1.990000000000000e+00, 1.918510114602269e-02
 2.000000000000000e+00, 1.932621001302151e-02
 2.010000000000000e+00, 1.918978074670948e-02
 2.020000000000000e+00, 1.890147926054939e-02
 2.030000000000000e+00, 1.861835161468171e-02
 2.040000000000000e+00, 1.839519360903657e-02
 2.050000000000000e+00, 1.831514786717995e-02
 2.060000000000000e+00, 1.848749410422120e-02
 2.070000000000000e+00, 1.896243264673815e-02
 2.080000000000000e+00, 1.972121952834311e-02
 2.090000000000000e+00, 2.070339068570185e-02
 2.100000000000000e+00, 2.184883397859479e-02
 2.110000000000000e+00, 2.456006894649938e-02
 2.120000000000000e+00, 2.782946743550553e-02
