Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Right.ShoulderArm.InterfaceFolder.HipFlexion.Acc
 1.030000000000000e+00,-5.275363237944509e-01
 1.040000000000000e+00,-5.509968697458164e-01
 1.050000000000000e+00,-5.331387508281197e-01
 1.060000000000000e+00,-4.735017010127716e-01
 1.070000000000000e+00,-3.783954769345780e-01
 1.080000000000000e+00,-2.515806547702342e-01
 1.090000000000000e+00,-9.095005329786680e-02
 1.100000000000000e+00, 1.105916795568959e-01
 1.110000000000000e+00, 3.629080504224839e-01
 1.120000000000000e+00, 6.743511825829778e-01
 1.130000000000000e+00, 1.047523394005416e+00
 1.140000000000000e+00, 1.479720216778553e+00
 1.150000000000000e+00, 1.999879692741715e+00
 1.160000000000000e+00, 2.462218133004710e+00
 1.170000000000000e+00, 2.980955436745909e+00
 1.180000000000000e+00, 3.426430355395770e+00
 1.190000000000000e+00, 3.772700321077038e+00
 1.200000000000000e+00, 3.993270613774487e+00
 1.210000000000000e+00, 4.075506931135433e+00
 1.220000000000000e+00, 4.064525487378475e+00
 1.230000000000000e+00, 3.751635096411740e+00
 1.240000000000000e+00, 3.439167815105914e+00
 1.250000000000000e+00, 2.957100076248770e+00
 1.260000000000000e+00, 2.372419022886453e+00
 1.270000000000000e+00, 1.707006391578177e+00
 1.280000000000000e+00, 9.930494206206566e-01
 1.290000000000000e+00, 2.708318527364962e-01
 1.300000000000000e+00,-4.219480222120403e-01
 1.310000000000000e+00,-1.052989396868795e+00
 1.320000000000000e+00,-1.597767443742756e+00
 1.330000000000000e+00,-2.041782613174411e+00
 1.340000000000000e+00,-2.374121339390853e+00
 1.350000000000000e+00,-2.583680916950822e+00
 1.360000000000000e+00,-2.703363549505330e+00
 1.370000000000000e+00,-2.568395464244696e+00
 1.380000000000000e+00,-2.449636409165455e+00
 1.390000000000000e+00,-2.186928843263395e+00
 1.400000000000000e+00,-1.857743505099347e+00
 1.410000000000000e+00,-1.489796687942172e+00
 1.420000000000000e+00,-1.113781409053398e+00
 1.430000000000000e+00,-7.729668267100503e-01
 1.440000000000000e+00,-5.131978388672180e-01
 1.450000000000000e+00,-3.637690166743401e-01
 1.460000000000000e+00,-3.279453557128129e-01
 1.470000000000000e+00,-3.875513632864045e-01
 1.480000000000000e+00,-5.178329728891867e-01
 1.490000000000000e+00,-6.980425753664653e-01
 1.500000000000000e+00,-9.118197889835691e-01
 1.510000000000000e+00,-1.141368852237075e+00
 1.520000000000000e+00,-1.358931143816110e+00
 1.530000000000000e+00,-1.534533968861205e+00
 1.540000000000000e+00,-1.658170545786405e+00
 1.550000000000000e+00,-1.740394589109663e+00
 1.560000000000000e+00,-1.789376648856247e+00
 1.570000000000000e+00,-1.799183473381000e+00
 1.580000000000000e+00,-1.764895726979502e+00
 1.590000000000000e+00,-1.703318093345961e+00
 1.600000000000000e+00,-1.650569448189922e+00
 1.610000000000000e+00,-1.640121635915252e+00
 1.620000000000000e+00,-1.685485473894744e+00
 1.630000000000000e+00,-1.780649362277663e+00
 1.640000000000000e+00,-1.915004878742592e+00
 1.650000000000000e+00,-2.084365317001065e+00
 1.660000000000000e+00,-2.282366188445792e+00
 1.670000000000000e+00,-2.486595418773380e+00
 1.680000000000000e+00,-2.666566376965832e+00
 1.690000000000000e+00,-2.809347281163591e+00
 1.700000000000000e+00,-2.929227152759757e+00
 1.710000000000000e+00,-3.046883242722071e+00
 1.720000000000000e+00,-3.167573858927436e+00
 1.730000000000000e+00,-3.276470312261003e+00
 1.740000000000000e+00,-3.332709543329975e+00
 1.750000000000000e+00,-3.271886152579057e+00
 1.760000000000000e+00,-3.032345547217585e+00
 1.770000000000000e+00,-2.583178279637524e+00
 1.780000000000000e+00,-1.926982920045406e+00
 1.790000000000000e+00,-1.146808627300876e+00
 1.800000000000000e+00,-3.470618271966263e-01
 1.810000000000000e+00, 3.546319222610926e-01
 1.820000000000000e+00, 8.811308288220162e-01
 1.830000000000000e+00, 1.201376178052439e+00
 1.840000000000000e+00, 1.318776485142999e+00
 1.850000000000000e+00, 1.256132581247935e+00
 1.860000000000000e+00, 1.042366648495848e+00
 1.870000000000000e+00, 7.060088622069460e-01
 1.880000000000000e+00, 2.755108332663829e-01
 1.890000000000000e+00,-2.161420221721099e-01
 1.900000000000000e+00,-7.284695461715807e-01
