Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Right.Leg.JointMomentMeasure.HipFlexion
 1.030000000000000e+00,-1.150918918749980e+00
 1.040000000000000e+00,-1.111317826657484e+00
 1.050000000000000e+00,-1.074494871815583e+00
 1.060000000000000e+00,-1.035972181422052e+00
 1.070000000000000e+00,-9.912872837805075e-01
 1.080000000000000e+00,-9.324143508805959e-01
 1.090000000000000e+00,-8.451266186392938e-01
 1.100000000000000e+00,-7.145716222489076e-01
 1.110000000000000e+00,-5.322657602224582e-01
 1.120000000000000e+00,-2.936573585991631e-01
 1.130000000000000e+00, 6.920956006777440e-03
 1.140000000000000e+00, 3.721412267668278e-01
 1.150000000000000e+00, 7.905700598952656e-01
 1.160000000000000e+00, 1.254070314962881e+00
 1.170000000000000e+00, 1.717818889371805e+00
 1.180000000000000e+00, 2.151087723972734e+00
 1.190000000000000e+00, 2.516802340469803e+00
 1.200000000000000e+00, 2.790868779962115e+00
 1.210000000000000e+00, 2.947437068731722e+00
 1.220000000000000e+00, 2.940803760587584e+00
 1.230000000000000e+00, 2.757531986619249e+00
 1.240000000000000e+00, 2.366881498653902e+00
 1.250000000000000e+00, 1.825359292501468e+00
 1.260000000000000e+00, 1.174820068283321e+00
 1.270000000000000e+00, 4.584015459586173e-01
 1.280000000000000e+00,-2.792609526552411e-01
 1.290000000000000e+00,-9.896402852809391e-01
 1.300000000000000e+00,-1.626179454268785e+00
 1.310000000000000e+00,-2.149228189754425e+00
 1.320000000000000e+00,-2.531079880210759e+00
 1.330000000000000e+00,-2.759711828052022e+00
 1.340000000000000e+00,-2.832696644426506e+00
 1.350000000000000e+00,-2.750531176973436e+00
 1.360000000000000e+00,-2.517762733876983e+00
 1.370000000000000e+00,-2.170860775535390e+00
 1.380000000000000e+00,-1.714895895876970e+00
 1.390000000000000e+00,-1.196104467093046e+00
 1.400000000000000e+00,-6.413503678751453e-01
 1.410000000000000e+00,-8.576602226761147e-02
 1.420000000000000e+00, 4.369588277868763e-01
 1.430000000000000e+00, 9.032292361080231e-01
 1.440000000000000e+00, 1.300309622581987e+00
 1.450000000000000e+00, 1.621794552956999e+00
 1.460000000000000e+00, 1.867110107293520e+00
 1.470000000000000e+00, 2.042343418719476e+00
 1.480000000000000e+00, 2.156172929064721e+00
 1.490000000000000e+00, 2.216282084458106e+00
 1.500000000000000e+00, 2.231699535813342e+00
 1.510000000000000e+00, 2.215406984386475e+00
 1.520000000000000e+00, 2.180711287784767e+00
 1.530000000000000e+00, 2.135411575051034e+00
 1.540000000000000e+00, 2.081187952635501e+00
 1.550000000000000e+00, 2.015185195251793e+00
 1.560000000000000e+00, 1.929120988158659e+00
 1.570000000000000e+00, 1.810886789140625e+00
 1.580000000000000e+00, 1.650796855306943e+00
 1.590000000000000e+00, 1.448032661672916e+00
 1.600000000000000e+00, 1.214343445565826e+00
 1.610000000000000e+00, 9.720254640256321e-01
 1.620000000000000e+00, 7.459589533787545e-01
 1.630000000000000e+00, 5.554223620596056e-01
 1.640000000000000e+00, 4.095203761377702e-01
 1.650000000000000e+00, 3.063093737133664e-01
 1.660000000000000e+00, 2.384181787045247e-01
 1.670000000000000e+00, 2.008121203462215e-01
 1.680000000000000e+00, 1.876727506211079e-01
 1.690000000000000e+00, 1.853108733894939e-01
 1.700000000000000e+00, 1.779301987967142e-01
 1.710000000000000e+00, 1.576792314239693e-01
 1.720000000000000e+00, 1.254797266792820e-01
 1.730000000000000e+00, 8.619271278596231e-02
 1.740000000000000e+00, 4.385713056236749e-02
 1.750000000000000e+00,-6.137650819689990e-04
 1.760000000000000e+00,-4.834867393410619e-02
