Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Right.ShoulderArm.InterfaceFolder.HipFlexion.Pos
 1.030000000000000e+00, 6.850860044296622e-02
 1.040000000000000e+00, 6.833785925167304e-02
 1.050000000000000e+00, 6.811269767313709e-02
 1.060000000000000e+00, 6.783491820691288e-02
 1.070000000000000e+00, 6.751037932529194e-02
 1.080000000000000e+00, 6.714852894712638e-02
 1.090000000000000e+00, 6.676208371045673e-02
 1.100000000000000e+00, 6.636722504357023e-02
 1.110000000000000e+00, 6.598427170828736e-02
 1.120000000000000e+00, 6.563859481784164e-02
 1.130000000000000e+00, 6.536138236336787e-02
 1.140000000000000e+00, 6.518990673916891e-02
 1.150000000000000e+00, 6.516787001088910e-02
 1.160000000000000e+00, 6.534485821344639e-02
 1.170000000000000e+00, 6.576900830228236e-02
 1.180000000000000e+00, 6.649003158752466e-02
 1.190000000000000e+00, 6.755204087176832e-02
 1.200000000000000e+00, 6.898921841103803e-02
 1.210000000000000e+00, 7.082340731757415e-02
 1.220000000000000e+00, 7.306358057418916e-02
 1.230000000000000e+00, 7.570516092762358e-02
 1.240000000000000e+00, 7.872190026390335e-02
 1.250000000000000e+00, 8.207972163960635e-02
 1.260000000000000e+00, 8.573154106670104e-02
 1.270000000000000e+00, 8.961926326870290e-02
 1.280000000000000e+00, 9.367689184784660e-02
 1.290000000000000e+00, 9.783370924524112e-02
 1.300000000000000e+00, 1.020181254667299e-01
 1.310000000000000e+00, 1.061614005514746e-01
 1.320000000000000e+00, 1.102008352437603e-01
 1.330000000000000e+00, 1.140821867195790e-01
 1.340000000000000e+00, 1.177612275033908e-01
 1.350000000000000e+00, 1.212049017710317e-01
 1.360000000000000e+00, 1.243917002100987e-01
 1.370000000000000e+00, 1.273123976469584e-01
 1.380000000000000e+00, 1.299759745023435e-01
 1.390000000000000e+00, 1.323969755851456e-01
 1.400000000000000e+00, 1.346003806672919e-01
 1.410000000000000e+00, 1.366186475909850e-01
 1.420000000000000e+00, 1.384880614776962e-01
 1.430000000000000e+00, 1.402455046085292e-01
 1.440000000000000e+00, 1.419242954625904e-01
 1.450000000000000e+00, 1.435499229559018e-01
 1.460000000000000e+00, 1.451372753989087e-01
 1.470000000000000e+00, 1.466902377145156e-01
 1.480000000000000e+00, 1.482032610516830e-01
 1.490000000000000e+00, 1.496636616673931e-01
 1.500000000000000e+00, 1.510536898379375e-01
 1.510000000000000e+00, 1.523522635802882e-01
 1.520000000000000e+00, 1.535368905089237e-01
 1.530000000000000e+00, 1.545863143169419e-01
 1.540000000000000e+00, 1.554831421789223e-01
 1.550000000000000e+00, 1.562148356951531e-01
 1.560000000000000e+00, 1.567730386537335e-01
 1.570000000000000e+00, 1.571529564388068e-01
 1.580000000000000e+00, 1.573536985654664e-01
 1.590000000000000e+00, 1.573784259158456e-01
 1.600000000000000e+00, 1.572327091028846e-01
 1.610000000000000e+00, 1.569222510875353e-01
 1.620000000000000e+00, 1.564458661330347e-01
 1.630000000000000e+00, 1.558001026302986e-01
 1.640000000000000e+00, 1.549756209975588e-01
 1.650000000000000e+00, 1.539590554615339e-01
 1.660000000000000e+00, 1.527335760532275e-01
 1.670000000000000e+00, 1.512797562201067e-01
 1.680000000000000e+00, 1.495776811497362e-01
 1.690000000000000e+00, 1.476095692760659e-01
 1.700000000000000e+00, 1.453609043585514e-01
 1.710000000000000e+00, 1.428193537890315e-01
 1.720000000000000e+00, 1.399730643199147e-01
 1.730000000000000e+00, 1.368102140343629e-01
 1.740000000000000e+00, 1.333205943374862e-01
 1.750000000000000e+00, 1.294996547293120e-01
 1.760000000000000e+00, 1.253545051253264e-01
 1.770000000000000e+00, 1.209096147434803e-01
 1.780000000000000e+00, 1.162098570015030e-01
 1.790000000000000e+00, 1.113194672825970e-01
 1.800000000000000e+00, 1.063147229092804e-01
 1.810000000000000e+00, 1.012736381357475e-01
 1.820000000000000e+00, 9.626509664103143e-02
 1.830000000000000e+00, 9.134123067045384e-02
 1.840000000000000e+00, 8.653412156782536e-02
 1.850000000000000e+00, 8.185588937775379e-02
 1.860000000000000e+00, 7.730075174612272e-02
 1.870000000000000e+00, 7.284780758230622e-02
 1.880000000000000e+00, 6.846389530124816e-02
 1.890000000000000e+00, 6.410651485639689e-02
 1.900000000000000e+00, 5.972717563130805e-02
 1.910000000000000e+00, 5.527541859700708e-02
 1.920000000000000e+00, 5.070331246413916e-02
 1.930000000000000e+00, 4.596942711858344e-02
 1.940000000000000e+00, 4.104089569911346e-02
 1.950000000000000e+00, 3.589426585853327e-02
 1.960000000000000e+00, 3.051608670109994e-02
 1.970000000000000e+00, 2.490614302982532e-02
 1.980000000000000e+00, 1.907861591916254e-02
 1.990000000000000e+00, 1.306006922274267e-02
 2.000000000000000e+00, 6.886118989730401e-03
 2.010000000000000e+00, 6.004058315124502e-04
 2.020000000000000e+00,-5.749776218976585e-03
 2.030000000000000e+00,-1.211364541125999e-02
 2.040000000000000e+00,-1.843940875084309e-02
 2.050000000000000e+00,-2.467822744555330e-02
 2.060000000000000e+00,-3.078916747273389e-02
 2.070000000000000e+00,-3.674382411631757e-02
 2.080000000000000e+00,-4.252869320631327e-02
 2.090000000000000e+00,-4.814572867919144e-02
 2.100000000000000e+00,-5.361160404725574e-02
 2.110000000000000e+00,-5.895226038623375e-02
 2.120000000000000e+00,-6.420478098912710e-02
 2.130000000000000e+00,-6.940966536146091e-02
 2.140000000000000e+00,-7.460664425041358e-02
 2.150000000000000e+00,-7.983093998660280e-02
 2.160000000000000e+00,-8.510926271898978e-02
 2.170000000000000e+00,-9.045670949061005e-02
 2.180000000000000e+00,-9.587498508735795e-02
 2.190000000000000e+00,-1.013512514245503e-01
 2.200000000000000e+00,-1.068561462374650e-01
