Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Right.ShoulderArm.InterfaceFolder.HipFlexion.Vel
 1.030000000000000e+00,-1.439822942150766e-02
 1.040000000000000e+00,-1.979089538920868e-02
 1.050000000000000e+00,-2.521157349208781e-02
 1.060000000000000e+00,-3.024477575141147e-02
 1.070000000000000e+00,-3.450426164104538e-02
 1.080000000000000e+00,-3.765414229957475e-02
 1.090000000000000e+00,-3.936679583995542e-02
 1.100000000000000e+00,-3.926858770866221e-02
 1.110000000000000e+00,-3.690108905871829e-02
 1.120000000000000e+00,-3.171479289381973e-02
 1.130000000000000e+00,-2.310542001086254e-02
 1.140000000000000e+00,-1.046920195666226e-02
 1.150000000000000e+00, 6.928797590537147e-03
 1.160000000000000e+00, 2.923928671977842e-02
 1.170000000000000e+00, 5.645515456790184e-02
 1.180000000000000e+00, 8.849208352936222e-02
 1.190000000000000e+00, 1.244877369108414e-01
 1.200000000000000e+00, 1.633175915851616e-01
 1.210000000000000e+00, 2.036614793106529e-01
 1.220000000000000e+00, 2.443616414022851e-01
 1.230000000000000e+00, 2.834424443221188e-01
 1.240000000000000e+00, 3.193964588788412e-01
 1.250000000000000e+00, 3.513777983356168e-01
 1.260000000000000e+00, 3.780253938312943e-01
 1.270000000000000e+00, 3.984225209036494e-01
 1.280000000000000e+00, 4.119227999649476e-01
 1.290000000000000e+00, 4.182422063315869e-01
 1.300000000000000e+00, 4.174866254841942e-01
 1.310000000000000e+00, 4.101119383889631e-01
 1.320000000000000e+00, 3.968581541859046e-01
 1.330000000000000e+00, 3.786604039012948e-01
 1.340000000000000e+00, 3.565808841379424e-01
 1.350000000000000e+00, 3.317918728568547e-01
 1.360000000000000e+00, 3.053566505245301e-01
 1.370000000000000e+00, 2.789978554551911e-01
 1.380000000000000e+00, 2.539076960887078e-01
 1.390000000000000e+00, 2.307248698260292e-01
 1.400000000000000e+00, 2.105015080846968e-01
 1.410000000000000e+00, 1.937638071194470e-01
 1.420000000000000e+00, 1.807459166341777e-01
 1.430000000000000e+00, 1.713121754555804e-01
 1.440000000000000e+00, 1.648813521275576e-01
 1.450000000000000e+00, 1.604965178499578e-01
 1.460000000000000e+00, 1.570379459879574e-01
 1.470000000000000e+00, 1.534604623930442e-01
 1.480000000000000e+00, 1.489335407120719e-01
 1.490000000000000e+00, 1.428541629709316e-01
 1.500000000000000e+00, 1.348048511489978e-01
 1.510000000000000e+00, 1.245389079431308e-01
 1.520000000000000e+00, 1.120374079625826e-01
 1.530000000000000e+00, 9.757008239953643e-02
 1.540000000000000e+00, 8.160655982625874e-02
 1.550000000000000e+00, 6.461373415139121e-02
 1.560000000000000e+00, 4.696487796196632e-02
 1.570000000000000e+00, 2.902207735036296e-02
 1.580000000000000e+00, 1.120168134901022e-02
 1.590000000000000e+00,-6.139387752625300e-03
 1.600000000000000e+00,-2.290882546029519e-02
 1.610000000000000e+00,-3.936228088082064e-02
 1.620000000000000e+00,-5.599031642991639e-02
 1.630000000000000e+00,-7.332099061114419e-02
 1.640000000000000e+00,-9.179926181580997e-02
 1.650000000000000e+00,-1.117961127945279e-01
 1.660000000000000e+00,-1.336297703217622e-01
 1.670000000000000e+00,-1.574745783578596e-01
 1.680000000000000e+00,-1.832403873366086e-01
 1.690000000000000e+00,-2.106199556278733e-01
 1.700000000000000e+00,-2.393128277967763e-01
 1.710000000000000e+00,-2.691933797742294e-01
 1.720000000000000e+00,-3.002656652832078e-01
 1.730000000000000e+00,-3.324858861383208e-01
 1.740000000000000e+00,-3.655317854162823e-01
 1.750000000000000e+00,-3.985547638958472e-01
 1.760000000000000e+00,-4.300759223948725e-01
 1.770000000000000e+00,-4.581535415297865e-01
 1.780000000000000e+00,-4.807043475276616e-01
 1.790000000000000e+00,-4.960733052644003e-01
 1.800000000000000e+00,-5.035426575369099e-01
 1.810000000000000e+00,-5.035048070615552e-01
 1.820000000000000e+00,-4.973259933062853e-01
 1.830000000000000e+00,-4.869134582719125e-01
 1.840000000000000e+00,-4.743126949559341e-01
 1.850000000000000e+00,-4.614381496239840e-01
 1.860000000000000e+00,-4.499456534752351e-01
 1.870000000000000e+00,-4.412037759215147e-01
 1.880000000000000e+00,-4.362961774442707e-01
 1.890000000000000e+00,-4.359993333887935e-01
 1.900000000000000e+00,-4.407223912305039e-01
 1.910000000000000e+00,-4.504399805474331e-01
 1.920000000000000e+00,-4.646766373865793e-01
 1.930000000000000e+00,-4.826509136417849e-01
 1.940000000000000e+00,-5.034447371878857e-01
 1.950000000000000e+00,-5.261185144799807e-01
 1.960000000000000e+00,-5.495239022550930e-01
 1.970000000000000e+00,-5.722227220285476e-01
 1.980000000000000e+00,-5.928264400423000e-01
 1.990000000000000e+00,-6.102936550530484e-01
 2.000000000000000e+00,-6.237480136250578e-01
 2.010000000000000e+00,-6.326133036803661e-01
 2.020000000000000e+00,-6.365673320282595e-01
 2.030000000000000e+00,-6.353327414459747e-01
 2.040000000000000e+00,-6.289914650835995e-01
 2.050000000000000e+00,-6.180760143680383e-01
 2.060000000000000e+00,-6.036321014279369e-01
 2.070000000000000e+00,-5.870745889372485e-01
 2.080000000000000e+00,-5.699272701236374e-01
 2.090000000000000e+00,-5.537877054424893e-01
 2.100000000000000e+00,-5.397951648446747e-01
 2.110000000000000e+00,-5.289911502777378e-01
 2.120000000000000e+00,-5.221933183675499e-01
 2.130000000000000e+00,-5.194570696785141e-01
 2.140000000000000e+00,-5.205373815671864e-01
 2.150000000000000e+00,-5.247757914940480e-01
 2.160000000000000e+00,-5.311449926753353e-01
 2.170000000000000e+00,-5.383750883693910e-01
 2.180000000000000e+00,-5.450713632333059e-01
 2.190000000000000e+00,-5.497020370509250e-01
 2.200000000000000e+00,-5.504688306555930e-01
 2.210000000000000e+00,-5.453244829946945e-01
 2.220000000000000e+00,-5.323699230115699e-01
 2.230000000000000e+00,-5.104291299009331e-01
 2.240000000000000e+00,-4.791006076121619e-01
 2.250000000000000e+00,-4.395041636058108e-01
 2.260000000000000e+00,-3.926421600318791e-01
 2.270000000000000e+00,-3.388812023167943e-01
 2.280000000000000e+00,-2.788200476844718e-01
 2.290000000000000e+00,-2.122408904098730e-01
 2.300000000000000e+00,-1.385708175897299e-01
 2.310000000000000e+00,-5.574783615106411e-02
 2.320000000000000e+00, 3.812462266064440e-02
 2.330000000000000e+00, 1.448301450288431e-01
 2.340000000000000e+00, 2.659472780938989e-01
 2.350000000000000e+00, 4.026279154916932e-01
 2.360000000000000e+00, 5.554180089370097e-01
 2.370000000000000e+00, 7.224407774123306e-01
 2.380000000000000e+00, 9.003352358318663e-01
 2.390000000000000e+00, 1.083858630022256e+00
 2.400000000000000e+00, 1.266136708228180e+00
 2.410000000000000e+00, 1.439192310496767e+00
 2.420000000000000e+00, 1.594837628025821e+00
 2.430000000000000e+00, 1.725038470741328e+00
 2.440000000000000e+00, 1.824527689480157e+00
 2.450000000000000e+00, 1.891237488453027e+00
 2.460000000000000e+00, 1.925425125601032e+00
 2.470000000000000e+00, 1.930754152473039e+00
 2.480000000000000e+00, 1.912005404584391e+00
 2.490000000000000e+00, 1.875524572116438e+00
 2.500000000000000e+00, 1.828140462011362e+00
 2.510000000000000e+00, 1.774818703052821e+00
 2.520000000000000e+00, 1.719280411103115e+00
 2.530000000000000e+00, 1.663680013769773e+00
 2.540000000000000e+00, 1.608871280928543e+00
 2.550000000000000e+00, 1.554794203603890e+00
 2.560000000000000e+00, 1.500903696014579e+00
 2.570000000000000e+00, 1.446636055240466e+00
 2.580000000000000e+00, 1.391789326747335e+00
 2.590000000000000e+00, 1.336549870730969e+00
 2.600000000000000e+00, 1.281175591069942e+00
 2.609999999999999e+00, 1.225738315911372e+00
 2.620000000000000e+00, 1.170171160198050e+00
 2.630000000000000e+00, 1.114450993507970e+00
 2.640000000000000e+00, 1.058680689072993e+00
 2.650000000000000e+00, 1.003031572957127e+00
 2.660000000000000e+00, 9.476418277376901e-01
 2.670000000000000e+00, 8.925694696057656e-01
 2.680000000000000e+00, 8.378105700611581e-01
 2.690000000000000e+00, 7.833027695527756e-01
 2.700000000000000e+00, 7.288602299411603e-01
 2.710000000000000e+00, 6.741040253325553e-01
 2.720000000000000e+00, 6.184798468185506e-01
