Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Left.Leg.Muscles.Envelope
 1.030000000000000e+00, 3.230426025659477e-02
 1.040000000000000e+00, 2.913125574617888e-02
 1.050000000000000e+00, 2.771650587801086e-02
 1.060000000000000e+00, 2.757327281706572e-02
 1.070000000000000e+00, 2.815912700037885e-02
 1.080000000000000e+00, 2.869769816914738e-02
 1.090000000000000e+00, 2.828886034876208e-02
 1.100000000000000e+00, 2.725619244069483e-02
 1.110000000000000e+00, 2.721065754200774e-02
 1.120000000000000e+00, 2.991252235670690e-02
 1.130000000000000e+00, 3.479247511695269e-02
 1.140000000000000e+00, 4.344694964838443e-02
 1.150000000000000e+00, 5.334038217324485e-02
 1.160000000000000e+00, 6.262852881593428e-02
 1.170000000000000e+00, 6.785471811844948e-02
 1.180000000000000e+00, 6.604146231238606e-02
 1.190000000000000e+00, 5.712585639319771e-02
 1.200000000000000e+00, 4.463136624495068e-02
 1.210000000000000e+00, 3.278514090659758e-02
 1.220000000000000e+00, 2.398915707344831e-02
 1.230000000000000e+00, 1.620157760766882e-02
 1.240000000000000e+00, 1.638621654318235e-02
 1.250000000000000e+00, 1.634230714849091e-02
 1.260000000000000e+00, 1.593661489395931e-02
 1.270000000000000e+00, 1.956979123649492e-02
 1.280000000000000e+00, 3.015583937872056e-02
 1.290000000000000e+00, 4.754304149665319e-02
 1.300000000000000e+00, 6.902242652761403e-02
 1.310000000000000e+00, 9.313789719002516e-02
 1.320000000000000e+00, 1.178759690481812e-01
 1.330000000000000e+00, 1.403379358675402e-01
 1.340000000000000e+00, 1.563253511047455e-01
 1.350000000000000e+00, 1.627024009599534e-01
 1.360000000000000e+00, 1.575221260098371e-01
 1.370000000000000e+00, 1.401742179952481e-01
 1.380000000000000e+00, 1.132371514373496e-01
 1.390000000000000e+00, 8.306786095511996e-02
 1.400000000000000e+00, 5.614092936049138e-02
 1.410000000000000e+00, 3.629178534862756e-02
 1.420000000000000e+00, 2.693351981554045e-02
 1.430000000000000e+00, 2.216946559422180e-02
 1.440000000000000e+00, 2.012251715340734e-02
 1.450000000000000e+00, 2.029830713989108e-02
 1.460000000000000e+00, 2.209917180489863e-02
 1.470000000000000e+00, 2.482967726394777e-02
 1.480000000000000e+00, 2.819737273163991e-02
 1.490000000000000e+00, 3.169888018271734e-02
 1.500000000000000e+00, 3.527966926552640e-02
 1.510000000000000e+00, 3.964034413176425e-02
 1.520000000000000e+00, 4.316988789806373e-02
 1.530000000000000e+00, 4.330522812708439e-02
 1.540000000000000e+00, 3.891309374434132e-02
 1.550000000000000e+00, 3.168869905372319e-02
 1.560000000000000e+00, 2.585513139964319e-02
 1.570000000000000e+00, 2.020660128493808e-02
 1.580000000000000e+00, 1.618183262131089e-02
 1.590000000000000e+00, 1.512278499896328e-02
 1.600000000000000e+00, 1.482519833563982e-02
 1.610000000000000e+00, 1.560475750014043e-02
 1.620000000000000e+00, 1.828033596104211e-02
 1.630000000000000e+00, 2.276646864961000e-02
 1.640000000000000e+00, 2.673450198921672e-02
 1.650000000000000e+00, 3.030169728874917e-02
 1.660000000000000e+00, 3.290987354371502e-02
 1.670000000000000e+00, 3.505736204197522e-02
 1.680000000000000e+00, 3.698704253887256e-02
 1.690000000000000e+00, 3.874523283494033e-02
 1.700000000000000e+00, 4.051152659961112e-02
 1.710000000000000e+00, 4.224832574012440e-02
 1.720000000000000e+00, 4.396909810889321e-02
 1.730000000000000e+00, 4.574797815149262e-02
 1.740000000000000e+00, 4.769818729679897e-02
 1.750000000000000e+00, 5.014133053922674e-02
 1.760000000000000e+00, 5.295279071545274e-02
 1.770000000000000e+00, 5.553326414003715e-02
 1.780000000000000e+00, 5.673260630687979e-02
 1.790000000000000e+00, 5.615805504709039e-02
 1.800000000000000e+00, 5.189420651657291e-02
 1.810000000000000e+00, 4.362258273479142e-02
 1.820000000000000e+00, 3.437839432926992e-02
 1.830000000000000e+00, 3.068740057752954e-02
 1.840000000000000e+00, 3.012700856947593e-02
 1.850000000000000e+00, 2.949998037212528e-02
 1.860000000000000e+00, 2.885432711018633e-02
 1.870000000000000e+00, 2.801287071520025e-02
 1.880000000000000e+00, 2.675859833341847e-02
 1.890000000000000e+00, 3.673597160137126e-02
 1.900000000000000e+00, 5.323366483034257e-02
 1.910000000000000e+00, 7.738442885753247e-02
 1.920000000000000e+00, 1.049052690419765e-01
 1.930000000000000e+00, 1.256836580583191e-01
 1.940000000000000e+00, 1.312677036310755e-01
 1.950000000000000e+00, 1.063224370853179e-01
 1.960000000000000e+00, 1.127935768712746e-01
 1.970000000000000e+00, 1.092517586435530e-01
 1.980000000000000e+00, 1.085107764498018e-01
 1.990000000000000e+00, 1.079787655785915e-01
 2.000000000000000e+00, 1.073710469943337e-01
 2.010000000000000e+00, 1.067656868820303e-01
 2.020000000000000e+00, 1.060786841087714e-01
 2.030000000000000e+00, 1.056243825768213e-01
 2.040000000000000e+00, 1.051175427136673e-01
 2.050000000000000e+00, 1.048339742588323e-01
 2.060000000000000e+00, 1.049586285258341e-01
 2.070000000000000e+00, 1.053604012631381e-01
 2.080000000000000e+00, 1.060323675526573e-01
 2.090000000000000e+00, 1.078488155486675e-01
 2.100000000000000e+00, 1.097572824686844e-01
 2.110000000000000e+00, 1.113810494463540e-01
 2.120000000000000e+00, 1.124807590441790e-01
 2.130000000000000e+00, 1.128850386134537e-01
 2.140000000000000e+00, 1.123575835050663e-01
 2.150000000000000e+00, 1.110496518386198e-01
 2.160000000000000e+00, 1.088600796828291e-01
 2.170000000000000e+00, 1.059748876551085e-01
 2.180000000000000e+00, 1.022120680065248e-01
 2.190000000000000e+00, 9.773389797152685e-02
 2.200000000000000e+00, 9.363163238751029e-02
 2.210000000000000e+00, 9.097443799526320e-02
 2.220000000000000e+00, 8.852662052120325e-02
 2.230000000000000e+00, 8.658093324092980e-02
 2.240000000000000e+00, 8.527752192811204e-02
 2.250000000000000e+00, 8.472062345600059e-02
 2.260000000000000e+00, 8.467410401636725e-02
 2.270000000000000e+00, 8.535651463151832e-02
 2.280000000000000e+00, 8.702449606646737e-02
