Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Acc
 1.030000000000000e+00, 2.649631831953748e-01
 1.040000000000000e+00, 3.166261183188995e-01
 1.050000000000000e+00, 3.279645433418765e-01
 1.060000000000000e+00, 3.116622996101890e-01
 1.070000000000000e+00, 2.868282446671442e-01
 1.080000000000000e+00, 2.855105696203137e-01
 1.090000000000000e+00, 3.402514376857365e-01
 1.100000000000000e+00, 4.488846757215381e-01
 1.110000000000000e+00, 5.645074007424068e-01
 1.120000000000000e+00, 6.283950876818019e-01
 1.130000000000000e+00, 5.980987776135315e-01
 1.140000000000000e+00, 4.540472492442494e-01
 1.150000000000000e+00, 2.060697869477088e-01
 1.160000000000000e+00,-9.735484826994803e-02
 1.170000000000000e+00,-3.633568945997976e-01
 1.180000000000000e+00,-4.865491126521117e-01
 1.190000000000000e+00,-4.308362761251152e-01
 1.200000000000000e+00,-2.485196314543077e-01
 1.210000000000000e+00, 3.291644901968109e-03
 1.220000000000000e+00, 3.064194506959683e-01
 1.230000000000000e+00, 6.475710830677728e-01
 1.240000000000000e+00, 9.975118873686979e-01
 1.250000000000000e+00, 1.317955650790056e+00
 1.260000000000000e+00, 1.567246234806672e+00
 1.270000000000000e+00, 1.702984101063089e+00
 1.280000000000000e+00, 1.680001673382149e+00
 1.290000000000000e+00, 1.448780019421543e+00
 1.300000000000000e+00, 9.773221081985171e-01
 1.310000000000000e+00, 2.862426038606037e-01
 1.320000000000000e+00,-5.435804834688216e-01
 1.330000000000000e+00,-1.391837174333429e+00
 1.340000000000000e+00,-2.125228118187918e+00
 1.350000000000000e+00,-2.619410574033471e+00
 1.360000000000000e+00,-2.774801043229076e+00
 1.370000000000000e+00,-2.538516063068756e+00
 1.380000000000000e+00,-1.953889721092792e+00
 1.390000000000000e+00,-1.199139702578276e+00
 1.400000000000000e+00,-5.014721392601695e-01
 1.410000000000000e+00, 1.727597788310891e-02
 1.420000000000000e+00, 3.591372222669438e-01
 1.430000000000000e+00, 5.645092141147438e-01
 1.440000000000000e+00, 6.743509921547213e-01
 1.450000000000000e+00, 7.246467427753770e-01
 1.460000000000000e+00, 7.246043615216827e-01
 1.470000000000000e+00, 6.500176862243142e-01
 1.480000000000000e+00, 4.785651172694878e-01
 1.490000000000000e+00, 2.265084355326281e-01
 1.500000000000000e+00,-6.285439290344230e-02
 1.510000000000000e+00,-3.439070068761443e-01
 1.520000000000000e+00,-5.531207583372795e-01
 1.530000000000000e+00,-6.138178481576695e-01
 1.540000000000000e+00,-5.096613602161764e-01
 1.550000000000000e+00,-3.136077107386598e-01
 1.560000000000000e+00,-1.163085635861345e-01
 1.570000000000000e+00, 3.334420356849690e-02
 1.580000000000000e+00, 1.245050437119504e-01
 1.590000000000000e+00, 1.672021873155696e-01
 1.600000000000000e+00, 1.811482708957809e-01
 1.610000000000000e+00, 1.857144903508075e-01
 1.620000000000000e+00, 1.966155463505845e-01
 1.630000000000000e+00, 2.340501827507417e-01
 1.640000000000000e+00, 3.326198485957465e-01
 1.650000000000000e+00, 5.351855192214913e-01
 1.660000000000000e+00, 8.739963949744285e-01
 1.670000000000000e+00, 1.357785322814331e+00
 1.680000000000000e+00, 1.973667645440979e+00
 1.690000000000000e+00, 2.697673297856680e+00
 1.700000000000000e+00, 3.497166487672274e+00
 1.710000000000000e+00, 4.333770341856991e+00
 1.720000000000000e+00, 5.189664622226463e+00
 1.730000000000000e+00, 6.090616478650902e+00
 1.740000000000000e+00, 7.072453149935250e+00
 1.750000000000000e+00, 8.100588979005881e+00
 1.760000000000000e+00, 9.051128091837706e+00
 1.770000000000000e+00, 9.806556651022287e+00
 1.780000000000000e+00, 1.033134895821814e+01
 1.790000000000000e+00, 1.063407657649393e+01
 1.800000000000000e+00, 1.071657577874403e+01
 1.810000000000000e+00, 1.057810236742132e+01
 1.820000000000000e+00, 1.014394836319375e+01
 1.830000000000000e+00, 9.691826709362902e+00
 1.840000000000000e+00, 8.764312754310479e+00
 1.850000000000000e+00, 7.628884108768061e+00
