Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Left.Leg.JointMomentMeasure.HipFlexion
 1.030000000000000e+00,-6.056652933644469e+00
 1.040000000000000e+00,-5.824270192506870e+00
 1.050000000000000e+00,-5.709114288622322e+00
 1.060000000000000e+00,-5.724322887670180e+00
 1.070000000000000e+00,-5.834638285983690e+00
 1.080000000000000e+00,-5.895996785578604e+00
 1.090000000000000e+00,-5.751205947025959e+00
 1.100000000000000e+00,-5.409696015755213e+00
 1.110000000000000e+00,-5.105802529409076e+00
 1.120000000000000e+00,-5.074631455365328e+00
 1.130000000000000e+00,-5.351875125546972e+00
 1.140000000000000e+00,-5.783654703879068e+00
 1.150000000000000e+00,-6.302224040493102e+00
 1.160000000000000e+00,-6.846927744595440e+00
 1.170000000000000e+00,-7.235817586472005e+00
 1.180000000000000e+00,-7.277108791128565e+00
 1.190000000000000e+00,-6.931802586702044e+00
 1.200000000000000e+00,-6.346259950190446e+00
 1.210000000000000e+00,-5.650484060921026e+00
 1.220000000000000e+00,-4.832328908129672e+00
 1.230000000000000e+00,-4.202163592128261e+00
 1.240000000000000e+00,-3.550123982603004e+00
 1.250000000000000e+00,-3.271633034833289e+00
 1.260000000000000e+00,-3.509054199876761e+00
 1.270000000000000e+00,-4.346448259041569e+00
 1.280000000000000e+00,-5.763866733723876e+00
 1.290000000000000e+00,-7.272026883782500e+00
 1.300000000000000e+00,-8.762327354300112e+00
 1.310000000000000e+00,-1.033550311666356e+01
 1.320000000000000e+00,-1.190707458817633e+01
 1.330000000000000e+00,-1.328497474232863e+01
 1.340000000000000e+00,-1.426527950282046e+01
 1.350000000000000e+00,-1.465777128806632e+01
 1.360000000000000e+00,-1.436173538906709e+01
 1.370000000000000e+00,-1.338657752809439e+01
 1.380000000000000e+00,-1.191366545354890e+01
 1.390000000000000e+00,-1.022427503521187e+01
 1.400000000000000e+00,-8.606393404254119e+00
 1.410000000000000e+00,-7.097652976531922e+00
 1.420000000000000e+00,-5.695502756962853e+00
 1.430000000000000e+00,-4.936967425768380e+00
 1.440000000000000e+00,-4.688090424979176e+00
 1.450000000000000e+00,-4.795245997969357e+00
 1.460000000000000e+00,-5.140107218192199e+00
 1.470000000000000e+00,-5.593128157467542e+00
 1.480000000000000e+00,-6.045410721883682e+00
 1.490000000000000e+00,-6.483350393734984e+00
 1.500000000000000e+00,-6.983063794742468e+00
 1.510000000000000e+00,-7.345330786863839e+00
 1.520000000000000e+00,-7.683556045319439e+00
 1.530000000000000e+00,-7.806867170617925e+00
 1.540000000000000e+00,-7.574521021967374e+00
 1.550000000000000e+00,-7.049715707271471e+00
 1.560000000000000e+00,-6.300187361350507e+00
 1.570000000000000e+00,-5.648856505918259e+00
 1.580000000000000e+00,-5.276935890537550e+00
 1.590000000000000e+00,-5.213668247467203e+00
 1.600000000000000e+00,-5.464870586445895e+00
 1.610000000000000e+00,-6.003387809749643e+00
 1.620000000000000e+00,-6.690854237318085e+00
 1.630000000000000e+00,-7.347274328041701e+00
 1.640000000000000e+00,-7.917654296840246e+00
 1.650000000000000e+00,-8.288265236923301e+00
 1.660000000000000e+00,-8.505704180810060e+00
 1.670000000000000e+00,-8.634516831112510e+00
 1.680000000000000e+00,-8.730864505836340e+00
 1.690000000000000e+00,-8.840457608146334e+00
 1.700000000000000e+00,-8.970261411007058e+00
 1.710000000000000e+00,-9.118217156860416e+00
 1.720000000000000e+00,-9.295548191090189e+00
 1.730000000000000e+00,-9.502393598290173e+00
 1.740000000000000e+00,-9.697124951934894e+00
 1.750000000000000e+00,-9.864305642250899e+00
 1.760000000000000e+00,-1.005088113827206e+01
 1.770000000000000e+00,-1.023364650262366e+01
 1.780000000000000e+00,-1.043304672604565e+01
 1.790000000000000e+00,-1.061077513278100e+01
 1.800000000000000e+00,-1.051990522102998e+01
