Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Pos
 1.030000000000000e+00, 4.932942445865444e-02
 1.040000000000000e+00, 4.920495986408464e-02
 1.050000000000000e+00, 4.911152092394912e-02
 1.060000000000000e+00, 4.905041470977373e-02
 1.070000000000000e+00, 4.902033018641310e-02
 1.080000000000000e+00, 4.901931883083867e-02
 1.090000000000000e+00, 4.904779148941413e-02
 1.100000000000000e+00, 4.911118604472644e-02
 1.110000000000000e+00, 4.921958439572964e-02
 1.120000000000000e+00, 4.938357118618340e-02
 1.130000000000000e+00, 4.960882923815463e-02
 1.140000000000000e+00, 4.989200383429060e-02
 1.150000000000000e+00, 5.021885387097507e-02
 1.160000000000000e+00, 5.056538948494650e-02
 1.170000000000000e+00, 5.090281664272426e-02
 1.180000000000000e+00, 5.120629338730721e-02
 1.190000000000000e+00, 5.146410445839511e-02
 1.200000000000000e+00, 5.168095040867837e-02
 1.210000000000000e+00, 5.187410857593773e-02
 1.220000000000000e+00, 5.206845152342381e-02
 1.230000000000000e+00, 5.229406420011211e-02
 1.240000000000000e+00, 5.258456979489912e-02
 1.250000000000000e+00, 5.297432220826197e-02
 1.260000000000000e+00, 5.349467203026659e-02
 1.270000000000000e+00, 5.416984405323180e-02
 1.280000000000000e+00, 5.501266282623065e-02
 1.290000000000000e+00, 5.602000839317914e-02
 1.300000000000000e+00, 5.716822740288743e-02
 1.310000000000000e+00, 5.841051669656946e-02
 1.320000000000000e+00, 5.967911125743899e-02
 1.330000000000000e+00, 6.089302522852287e-02
 1.340000000000000e+00, 6.196964538422162e-02
 1.350000000000000e+00, 6.283770088969491e-02
 1.360000000000000e+00, 6.344943904720046e-02
 1.370000000000000e+00, 6.379021889982622e-02
 1.380000000000000e+00, 6.388297079806839e-02
 1.390000000000000e+00, 6.378321009218396e-02
 1.400000000000000e+00, 6.356263494889712e-02
 1.410000000000000e+00, 6.328897303600299e-02
 1.420000000000000e+00, 6.301411385174359e-02
 1.430000000000000e+00, 6.277289779915110e-02
 1.440000000000000e+00, 6.258653061170710e-02
 1.450000000000000e+00, 6.246658751255450e-02
 1.460000000000000e+00, 6.241824856052807e-02
 1.470000000000000e+00, 6.244110912765185e-02
 1.480000000000000e+00, 6.252734646388786e-02
 1.490000000000000e+00, 6.266009581400603e-02
 1.500000000000000e+00, 6.281487968455234e-02
 1.510000000000000e+00, 6.296352329305654e-02
 1.520000000000000e+00, 6.307897801078484e-02
 1.530000000000000e+00, 6.314159882334383e-02
 1.540000000000000e+00, 6.314558904607188e-02
 1.550000000000000e+00, 6.310014970678066e-02
 1.560000000000000e+00, 6.302337467465548e-02
 1.570000000000000e+00, 6.293417632311407e-02
 1.580000000000000e+00, 6.284733641942401e-02
 1.590000000000000e+00, 6.277213702056678e-02
 1.600000000000000e+00, 6.271317704166637e-02
 1.610000000000000e+00, 6.267217599544316e-02
 1.620000000000000e+00, 6.264985602122129e-02
 1.630000000000000e+00, 6.264764908266117e-02
 1.640000000000000e+00, 6.266988052868114e-02
 1.650000000000000e+00, 6.272712457939858e-02
 1.660000000000000e+00, 6.284017553478861e-02
 1.670000000000000e+00, 6.304305915271174e-02
 1.680000000000000e+00, 6.338393877215531e-02
 1.690000000000000e+00, 6.392400293450484e-02
 1.700000000000000e+00, 6.473511088708717e-02
 1.710000000000000e+00, 6.589658147975756e-02
 1.720000000000000e+00, 6.749179432076512e-02
 1.730000000000000e+00, 6.960678659524847e-02
 1.740000000000000e+00, 7.233226568496642e-02
 1.750000000000000e+00, 7.576399109230576e-02
 1.760000000000000e+00, 8.000590679931951e-02
 1.770000000000000e+00, 8.514968346633155e-02
 1.780000000000000e+00, 9.127027185081499e-02
 1.790000000000000e+00, 9.842029404122186e-02
 1.800000000000000e+00, 1.066300534045797e-01
 1.810000000000000e+00, 1.159077874628878e-01
 1.820000000000000e+00, 1.262384037500553e-01
 1.830000000000000e+00, 1.375831154265086e-01
 1.840000000000000e+00, 1.498890865936146e-01
 1.850000000000000e+00, 1.630680238232236e-01
 1.860000000000000e+00, 1.770056442199035e-01
 1.870000000000000e+00, 1.915642896564209e-01
 1.880000000000000e+00, 2.065882317596743e-01
 1.890000000000000e+00, 2.219126618582551e-01
 1.900000000000000e+00, 2.373726847802889e-01
 1.910000000000000e+00, 2.528108433838768e-01
 1.920000000000000e+00, 2.680845869604320e-01
 1.930000000000000e+00, 2.830741865224808e-01
 1.940000000000000e+00, 2.976873897256397e-01
 1.950000000000000e+00, 3.118578557083451e-01
 1.960000000000000e+00, 3.255393878572064e-01
 1.970000000000000e+00, 3.386997713849991e-01
 1.980000000000000e+00, 3.513162484451857e-01
 1.990000000000000e+00, 3.633731522798317e-01
 2.000000000000000e+00, 3.748613635295674e-01
 2.010000000000000e+00, 3.857779373314041e-01
 2.020000000000000e+00, 3.961242002747551e-01
 2.030000000000000e+00, 4.059029819686104e-01
 2.040000000000000e+00, 4.151168079144566e-01
 2.050000000000000e+00, 4.237674964937390e-01
 2.060000000000000e+00, 4.318568622251270e-01
 2.070000000000000e+00, 4.393878754566360e-01
 2.080000000000000e+00, 4.463649292904652e-01
 2.090000000000000e+00, 4.527926403337559e-01
 2.100000000000000e+00, 4.586745091025307e-01
 2.110000000000000e+00, 4.640138139403665e-01
 2.120000000000000e+00, 4.688169562044594e-01
 2.130000000000000e+00, 4.730958491568208e-01
 2.140000000000000e+00, 4.768669233365210e-01
 2.150000000000000e+00, 4.801476965730358e-01
 2.160000000000000e+00, 4.829551089060940e-01
 2.170000000000000e+00, 4.853125956201880e-01
 2.180000000000000e+00, 4.872384308027487e-01
 2.190000000000000e+00, 4.887526273315746e-01
 2.200000000000000e+00, 4.898777430774888e-01
 2.210000000000000e+00, 4.906391768936269e-01
 2.220000000000000e+00, 4.910657017069081e-01
 2.230000000000000e+00, 4.911897326275044e-01
 2.240000000000000e+00, 4.910476236545389e-01
 2.250000000000000e+00, 4.906795922532542e-01
 2.260000000000000e+00, 4.901287781155489e-01
 2.270000000000000e+00, 4.894389661854770e-01
 2.280000000000000e+00, 4.886510114257197e-01
 2.290000000000000e+00, 4.877985757750951e-01
 2.300000000000000e+00, 4.869035176830872e-01
 2.310000000000000e+00, 4.859713960503376e-01
 2.320000000000000e+00, 4.849884878732107e-01
 2.330000000000000e+00, 4.839223093411550e-01
 2.340000000000000e+00, 4.827260998061056e-01
 2.350000000000000e+00, 4.813448400022615e-01
 2.360000000000000e+00, 4.797207432158427e-01
 2.370000000000000e+00, 4.777990410959558e-01
 2.380000000000000e+00, 4.755344082680267e-01
 2.390000000000000e+00, 4.728951228720109e-01
 2.400000000000000e+00, 4.698618819052585e-01
 2.410000000000000e+00, 4.664220397155151e-01
 2.420000000000000e+00, 4.625632508762065e-01
 2.430000000000000e+00, 4.582703920490380e-01
 2.440000000000000e+00, 4.535274657818623e-01
 2.450000000000000e+00, 4.483233271064870e-01
 2.460000000000000e+00, 4.426577889593539e-01
 2.470000000000000e+00, 4.365445297793419e-01
 2.480000000000000e+00, 4.300090078742837e-01
 2.490000000000000e+00, 4.230820707343777e-01
 2.500000000000000e+00, 4.157921886336778e-01
 2.510000000000000e+00, 4.081590595422514e-01
 2.520000000000000e+00, 4.001890751797204e-01
 2.530000000000000e+00, 3.918729708517320e-01
 2.540000000000000e+00, 3.831873814693428e-01
 2.550000000000000e+00, 3.741018955488138e-01
 2.560000000000000e+00, 3.645883204844520e-01
 2.570000000000000e+00, 3.546231484490581e-01
 2.580000000000000e+00, 3.442071890994570e-01
 2.590000000000000e+00, 3.333600033104351e-01
 2.600000000000000e+00, 3.221192968146190e-01
 2.609999999999999e+00, 3.105382524274686e-01
 2.620000000000000e+00, 2.986810844676850e-01
 2.630000000000000e+00, 2.866185846692325e-01
 2.640000000000000e+00, 2.744233758573344e-01
