Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Vel
 1.030000000000000e+00,-1.385534619230757e-02
 1.040000000000000e+00,-1.094739968473638e-02
 1.050000000000000e+00,-7.724446376426016e-03
 1.060000000000000e+00,-4.526312161590506e-03
 1.070000000000000e+00,-1.533859440272496e-03
 1.080000000000000e+00, 1.327834631223785e-03
 1.090000000000000e+00, 4.456644667680550e-03
 1.100000000000000e+00, 8.402325234806855e-03
 1.110000000000000e+00, 1.346928561701021e-02
 1.120000000000000e+00, 1.943379805928097e-02
 1.130000000000000e+00, 2.556626738560605e-02
 1.140000000000000e+00, 3.082699751989247e-02
 1.150000000000000e+00, 3.412758270085505e-02
 1.160000000000000e+00, 3.467115739424310e-02
 1.170000000000000e+00, 3.236759867989467e-02
 1.180000000000000e+00, 2.811806864363440e-02
 1.190000000000000e+00, 2.353114169974417e-02
 1.200000000000000e+00, 2.013436216184714e-02
 1.210000000000000e+00, 1.890822222908524e-02
 1.220000000000000e+00, 2.045677770707508e-02
 1.230000000000000e+00, 2.522673037589286e-02
 1.240000000000000e+00, 3.345214522808903e-02
 1.250000000000000e+00, 4.502948291915212e-02
 1.260000000000000e+00, 5.945549234681042e-02
 1.270000000000000e+00, 7.580664402655608e-02
 1.280000000000000e+00, 9.272157289839199e-02
 1.290000000000000e+00, 1.083654813628011e-01
 1.300000000000000e+00, 1.204959920005975e-01
 1.310000000000000e+00, 1.268138155609096e-01
 1.320000000000000e+00, 1.255271261628422e-01
 1.330000000000000e+00, 1.158500378740503e-01
 1.340000000000000e+00, 9.826471141101749e-02
 1.350000000000000e+00, 7.454151795049480e-02
 1.360000000000000e+00, 4.757045986416570e-02
 1.370000000000000e+00, 2.100387433263150e-02
 1.380000000000000e+00,-1.458154588715468e-03
 1.390000000000000e+00,-1.722330170667307e-02
 1.400000000000000e+00,-2.572636091588210e-02
 1.410000000000000e+00,-2.814734172279993e-02
 1.420000000000000e+00,-2.626527572209366e-02
 1.430000000000000e+00,-2.164704354018982e-02
 1.440000000000000e+00,-1.545274250883392e-02
 1.450000000000000e+00,-8.457753834182829e-03
 1.460000000000000e+00,-1.211498312681680e-03
 1.470000000000000e+00, 5.661611926215811e-03
 1.480000000000000e+00, 1.130452594354446e-02
 1.490000000000000e+00, 1.482989370756096e-02
 1.500000000000000e+00, 1.564816392072497e-02
 1.510000000000000e+00, 1.361435692187326e-02
 1.520000000000000e+00, 9.129218095690186e-03
 1.530000000000000e+00, 3.294525063352772e-03
 1.540000000000000e+00,-2.322870978529304e-03
 1.550000000000000e+00,-6.439216333396018e-03
 1.560000000000000e+00,-8.588797704970463e-03
 1.570000000000000e+00,-9.003619505060222e-03
 1.580000000000000e+00,-8.214373268677992e-03
 1.590000000000000e+00,-6.755837113538164e-03
 1.600000000000000e+00,-5.014084822481369e-03
 1.610000000000000e+00,-3.179771016249101e-03
 1.620000000000000e+00,-1.268120832738397e-03
 1.630000000000000e+00, 8.852078128070023e-04
 1.640000000000000e+00, 3.718557969471122e-03
 1.650000000000000e+00, 8.057584808558029e-03
 1.660000000000000e+00, 1.510349437953765e-02
 1.670000000000000e+00, 2.626240296848089e-02
 1.680000000000000e+00, 4.291966780978964e-02
 1.690000000000000e+00, 6.627637252679532e-02
 1.700000000000000e+00, 9.725057145367470e-02
 1.710000000000000e+00, 1.364052556013808e-01
 1.720000000000000e+00, 1.840224304229170e-01
 1.730000000000000e+00, 2.404238359258548e-01
 1.740000000000000e+00, 3.062391840687883e-01
 1.750000000000000e+00, 3.821043947135377e-01
 1.760000000000000e+00, 4.678629800678820e-01
 1.770000000000000e+00, 5.621514037842822e-01
 1.780000000000000e+00, 6.628409318280613e-01
 1.790000000000000e+00, 7.676680595016353e-01
 1.800000000000000e+00, 8.744213212780571e-01
 1.810000000000000e+00, 9.808947120113635e-01
 1.820000000000000e+00, 1.084504965661868e+00
 1.830000000000000e+00, 1.183683841024654e+00
 1.840000000000000e+00, 1.275964538343021e+00
 1.850000000000000e+00, 1.357930522658370e+00
 1.860000000000000e+00, 1.427280637734746e+00
 1.870000000000000e+00, 1.481826638311566e+00
 1.880000000000000e+00, 1.520189023168345e+00
 1.890000000000000e+00, 1.541928881556713e+00
 1.900000000000000e+00, 1.547431318074672e+00
 1.910000000000000e+00, 1.537800282725168e+00
 1.920000000000000e+00, 1.514938207154597e+00
 1.930000000000000e+00, 1.481449857968668e+00
 1.940000000000000e+00, 1.440103241643450e+00
 1.950000000000000e+00, 1.393237998292447e+00
 1.960000000000000e+00, 1.342544276720907e+00
 1.970000000000000e+00, 1.289159662620827e+00
 1.980000000000000e+00, 1.233875296503896e+00
 1.990000000000000e+00, 1.177353443865075e+00
 2.000000000000000e+00, 1.120245452839988e+00
 2.010000000000000e+00, 1.063100237787023e+00
 2.020000000000000e+00, 1.006204580914443e+00
 2.030000000000000e+00, 9.495947819038191e-01
 2.040000000000000e+00, 8.931985334111923e-01
 2.050000000000000e+00, 8.369653957210816e-01
 2.060000000000000e+00, 7.809561383127381e-01
 2.070000000000000e+00, 7.253237108210727e-01
 2.080000000000000e+00, 6.701691185861313e-01
 2.090000000000000e+00, 6.154292669201442e-01
 2.100000000000000e+00, 5.609877525426211e-01
 2.110000000000000e+00, 5.069718041511460e-01
 2.120000000000000e+00, 4.538591627718576e-01
 2.130000000000000e+00, 4.022021116185352e-01
 2.140000000000000e+00, 3.523225319409569e-01
 2.150000000000000e+00, 3.040619862812063e-01
 2.160000000000000e+00, 2.578851937936859e-01
 2.170000000000000e+00, 2.138669520385056e-01
 2.180000000000000e+00, 1.716435660057616e-01
 2.190000000000000e+00, 1.315682961957080e-01
 2.200000000000000e+00, 9.387693055610262e-02
 2.210000000000000e+00, 5.888884931494604e-02
 2.220000000000000e+00, 2.695526040369099e-02
 2.230000000000000e+00,-1.543171104800846e-03
 2.240000000000000e+00,-2.620599180291892e-02
 2.250000000000000e+00,-4.667497392456078e-02
 2.260000000000000e+00,-6.274777415432027e-02
 2.270000000000000e+00,-7.452174987475349e-02
 2.280000000000000e+00,-8.249523360031039e-02
 2.290000000000000e+00,-8.761443939837013e-02
 2.300000000000000e+00,-9.129513237833477e-02
 2.310000000000000e+00,-9.535894942030149e-02
 2.320000000000000e+00,-1.017780138293010e-01
 2.330000000000000e+00,-1.122550089264678e-01
 2.340000000000000e+00,-1.279183714716858e-01
 2.350000000000000e+00,-1.493123076590079e-01
 2.360000000000000e+00,-1.764393756153225e-01
 2.370000000000000e+00,-2.086698621226067e-01
 2.380000000000000e+00,-2.447816601676142e-01
 2.390000000000000e+00,-2.833789638618825e-01
 2.400000000000000e+00,-3.234603923757680e-01
 2.410000000000000e+00,-3.647044127439296e-01
 2.420000000000000e+00,-4.073112648498879e-01
 2.430000000000000e+00,-4.515448277109727e-01
 2.440000000000000e+00,-4.972449528009123e-01
 2.450000000000000e+00,-5.435948438510284e-01
 2.460000000000000e+00,-5.892787178800722e-01
 2.470000000000000e+00,-6.329294814818913e-01
 2.480000000000000e+00,-6.736376804726104e-01
 2.490000000000000e+00,-7.112575100686018e-01
 2.500000000000000e+00,-7.463780537018702e-01
 2.510000000000000e+00,-7.801336380913204e-01
 2.520000000000000e+00,-8.140214389545366e-01
 2.530000000000000e+00,-8.496072260413953e-01
 2.540000000000000e+00,-8.880577873745129e-01
 2.550000000000000e+00,-9.294842377429177e-01
 2.560000000000000e+00,-9.737235840344212e-01
 2.570000000000000e+00,-1.019245585594771e+00
 2.580000000000000e+00,-1.063633517767989e+00
 2.590000000000000e+00,-1.105163908347095e+00
