Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Right.Leg.Muscles.Envelope
 1.030000000000000e+00, 4.914635286049258e-02
 1.040000000000000e+00, 4.636507732078349e-02
 1.050000000000000e+00, 4.487330490785634e-02
 1.060000000000000e+00, 4.480110431078134e-02
 1.070000000000000e+00, 4.575482828164670e-02
 1.080000000000000e+00, 4.636850853057978e-02
 1.090000000000000e+00, 4.493663150503893e-02
 1.100000000000000e+00, 4.174669766546869e-02
 1.110000000000000e+00, 3.916732300279650e-02
 1.120000000000000e+00, 3.939773631570259e-02
 1.130000000000000e+00, 4.255823017483168e-02
 1.140000000000000e+00, 4.850777786009003e-02
 1.150000000000000e+00, 5.572220798405519e-02
 1.160000000000000e+00, 6.272159989498066e-02
 1.170000000000000e+00, 6.812659756050832e-02
 1.180000000000000e+00, 6.990004297840054e-02
 1.190000000000000e+00, 6.717941352127758e-02
 1.200000000000000e+00, 6.108282835527878e-02
 1.210000000000000e+00, 5.389089197141034e-02
 1.220000000000000e+00, 4.783464485542940e-02
 1.230000000000000e+00, 4.198930555903099e-02
 1.240000000000000e+00, 3.822665195809996e-02
 1.250000000000000e+00, 3.822520309889141e-02
 1.260000000000000e+00, 4.171900558088196e-02
 1.270000000000000e+00, 5.024213602224966e-02
 1.280000000000000e+00, 6.216660370549823e-02
 1.290000000000000e+00, 7.880622008029138e-02
 1.300000000000000e+00, 9.721607336799633e-02
 1.310000000000000e+00, 1.165479441412354e-01
 1.320000000000000e+00, 1.356215820083091e-01
 1.330000000000000e+00, 1.516430871335923e-01
 1.340000000000000e+00, 1.617939949872429e-01
 1.350000000000000e+00, 1.643483809127368e-01
 1.360000000000000e+00, 1.588053579453525e-01
 1.370000000000000e+00, 1.456014055521656e-01
 1.380000000000000e+00, 1.266723494939575e-01
 1.390000000000000e+00, 1.060840859100459e-01
 1.400000000000000e+00, 8.843828273645338e-02
 1.410000000000000e+00, 7.577998206172974e-02
 1.420000000000000e+00, 6.973991075605485e-02
 1.430000000000000e+00, 6.701476053562123e-02
 1.440000000000000e+00, 6.627741530641434e-02
 1.450000000000000e+00, 6.692321759227517e-02
 1.460000000000000e+00, 6.838118494268523e-02
 1.470000000000000e+00, 6.981044548887719e-02
 1.480000000000000e+00, 7.044879448965521e-02
 1.490000000000000e+00, 7.029453230814456e-02
 1.500000000000000e+00, 7.010910057238032e-02
 1.510000000000000e+00, 7.159088392689184e-02
 1.520000000000000e+00, 7.349745273619790e-02
 1.530000000000000e+00, 7.324234255696603e-02
 1.540000000000000e+00, 6.880413910352755e-02
 1.550000000000000e+00, 6.049319469949311e-02
 1.560000000000000e+00, 5.151524988139819e-02
 1.570000000000000e+00, 4.336678201402599e-02
 1.580000000000000e+00, 3.779732566931935e-02
 1.590000000000000e+00, 3.761262941197164e-02
 1.600000000000000e+00, 3.843427958090263e-02
 1.610000000000000e+00, 4.242935831637231e-02
 1.620000000000000e+00, 5.040781472087607e-02
 1.630000000000000e+00, 6.003925324679982e-02
 1.640000000000000e+00, 6.833645073655410e-02
 1.650000000000000e+00, 7.409196718085824e-02
 1.660000000000000e+00, 7.762745364293373e-02
 1.670000000000000e+00, 7.971538069709233e-02
 1.680000000000000e+00, 8.077917354730897e-02
 1.690000000000000e+00, 8.115032754887669e-02
 1.700000000000000e+00, 8.144984426603574e-02
 1.710000000000000e+00, 8.261090764148556e-02
 1.720000000000000e+00, 8.532754448857384e-02
 1.730000000000000e+00, 8.980335022660119e-02
 1.740000000000000e+00, 9.549321336227413e-02
 1.750000000000000e+00, 1.014269575707944e-01
 1.760000000000000e+00, 1.077336298154197e-01
 1.770000000000000e+00, 1.137365622006401e-01
 1.780000000000000e+00, 1.174711482658176e-01
 1.790000000000000e+00, 1.172835568551230e-01
 1.800000000000000e+00, 1.140182287659266e-01
 1.810000000000000e+00, 1.096398822548294e-01
 1.820000000000000e+00, 1.085307143137895e-01
 1.830000000000000e+00, 9.516921792966516e-02
 1.840000000000000e+00, 9.242957554283278e-02
 1.850000000000000e+00, 8.657676111975322e-02
 1.860000000000000e+00, 7.977207534719545e-02
 1.870000000000000e+00, 6.907995161600199e-02
 1.880000000000000e+00, 5.078513520732261e-02
 1.890000000000000e+00, 4.003990200420757e-02
 1.900000000000000e+00, 4.241522519661899e-02
 1.910000000000000e+00, 7.544137537489064e-02
 1.920000000000000e+00, 1.209616490679089e-01
 1.930000000000000e+00, 1.478985068477628e-01
 1.940000000000000e+00, 1.526710068969877e-01
 1.950000000000000e+00, 1.744272464376698e-01
 1.960000000000000e+00, 2.465505015545435e-01
 1.970000000000000e+00, 2.035521312303059e-01
 1.980000000000000e+00, 2.013127494159609e-01
 1.990000000000000e+00, 2.021587177606000e-01
 2.000000000000000e+00, 2.044197909280134e-01
 2.010000000000000e+00, 1.998186531110481e-01
 2.020000000000000e+00, 1.815128567602011e-01
 2.030000000000000e+00, 2.051589384786220e-01
 2.040000000000000e+00, 2.247623081743360e-01
 2.050000000000000e+00, 2.264596667779871e-01
 2.060000000000000e+00, 2.269296492124086e-01
 2.070000000000000e+00, 2.266429546600006e-01
 2.080000000000000e+00, 2.257794780001399e-01
 2.090000000000000e+00, 2.245364995492025e-01
 2.100000000000000e+00, 2.229359292578658e-01
 2.110000000000000e+00, 2.203782007498223e-01
 2.120000000000000e+00, 2.168374541092477e-01
