Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Right.ShoulderArm.InterfaceFolder.HipFlexion.Acc
 1.030000000000000e+00, 1.518585677479159e-01
 1.040000000000000e+00, 2.537008255927019e-01
 1.050000000000000e+00, 3.188901848284205e-01
 1.060000000000000e+00, 3.466673948871296e-01
 1.070000000000000e+00, 3.476250317300335e-01
 1.080000000000000e+00, 3.602533646909343e-01
 1.090000000000000e+00, 4.344392722330747e-01
 1.100000000000000e+00, 5.747124847359510e-01
 1.110000000000000e+00, 7.220496382606799e-01
 1.120000000000000e+00, 8.047787030930107e-01
 1.130000000000000e+00, 7.826625720426940e-01
 1.140000000000000e+00, 6.464000412972637e-01
 1.150000000000000e+00, 4.040403221577338e-01
 1.160000000000000e+00, 7.988277312531004e-02
 1.170000000000000e+00,-2.696886503603397e-01
 1.180000000000000e+00,-5.638547855764386e-01
 1.190000000000000e+00,-7.565167878727755e-01
 1.200000000000000e+00,-8.568348275960254e-01
 1.210000000000000e+00,-8.688839774186241e-01
 1.220000000000000e+00,-7.626145868816824e-01
 1.230000000000000e+00,-5.095015642537242e-01
 1.240000000000000e+00,-1.138246104796092e-01
 1.250000000000000e+00, 3.784832290826237e-01
 1.260000000000000e+00, 8.872241452872109e-01
 1.270000000000000e+00, 1.317667728939596e+00
 1.280000000000000e+00, 1.578826688615396e+00
 1.290000000000000e+00, 1.597844442448267e+00
 1.300000000000000e+00, 1.339020487282821e+00
 1.310000000000000e+00, 8.246178501736936e-01
 1.320000000000000e+00, 1.400319927913251e-01
 1.330000000000000e+00,-5.840417111691255e-01
 1.340000000000000e+00,-1.207163263288132e+00
 1.350000000000000e+00,-1.616356568096656e+00
 1.360000000000000e+00,-1.738962297768290e+00
 1.370000000000000e+00,-1.541508195706204e+00
 1.380000000000000e+00,-1.061730879965017e+00
 1.390000000000000e+00,-4.442360130937308e-01
 1.400000000000000e+00, 1.264997372893704e-01
 1.410000000000000e+00, 5.469319450352980e-01
 1.420000000000000e+00, 8.077393409464979e-01
 1.430000000000000e+00, 9.296128854025999e-01
 1.440000000000000e+00, 9.357276392093129e-01
 1.450000000000000e+00, 8.553143742841949e-01
 1.460000000000000e+00, 7.241160645755815e-01
 1.470000000000000e+00, 5.740618437710162e-01
 1.480000000000000e+00, 4.201762032792685e-01
 1.490000000000000e+00, 2.618930072481829e-01
 1.500000000000000e+00, 9.590247465151933e-02
 1.510000000000000e+00,-6.445828203123548e-02
 1.520000000000000e+00,-1.675459885595041e-01
 1.530000000000000e+00,-1.455666992570450e-01
 1.540000000000000e+00, 1.011434053772626e-02
 1.550000000000000e+00, 2.243012196017118e-01
 1.560000000000000e+00, 4.030866677848277e-01
 1.570000000000000e+00, 4.898997773109530e-01
 1.580000000000000e+00, 4.672762236075753e-01
 1.590000000000000e+00, 3.405513387300125e-01
 1.600000000000000e+00, 1.225622536300048e-01
 1.610000000000000e+00,-1.730970742208515e-01
 1.620000000000000e+00,-5.244574688106302e-01
 1.630000000000000e+00,-8.925865912479298e-01
 1.640000000000000e+00,-1.229414714769518e+00
 1.650000000000000e+00,-1.495722398613117e+00
 1.660000000000000e+00,-1.671305432346112e+00
 1.670000000000000e+00,-1.756927827973634e+00
 1.680000000000000e+00,-1.770305498861809e+00
 1.690000000000000e+00,-1.728042444219482e+00
 1.700000000000000e+00,-1.629296977709492e+00
 1.710000000000000e+00,-1.471711694924089e+00
 1.720000000000000e+00,-1.279000647394214e+00
 1.730000000000000e+00,-1.086309933294445e+00
 1.740000000000000e+00,-9.056753447255609e-01
 1.750000000000000e+00,-7.444399098466264e-01
 1.760000000000000e+00,-6.364608176345146e-01
 1.770000000000000e+00,-6.051199354226778e-01
 1.780000000000000e+00,-6.287791733196129e-01
 1.790000000000000e+00,-6.794868595978685e-01
 1.800000000000000e+00,-7.549951795822781e-01
 1.810000000000000e+00,-8.554145872670532e-01
 1.820000000000000e+00,-1.053838745535515e+00
 1.830000000000000e+00,-9.641902013499459e-01
 1.840000000000000e+00,-1.109225122627037e+00
 1.850000000000000e+00,-1.163411013637851e+00
 1.860000000000000e+00,-1.234275957026904e+00
 1.870000000000000e+00,-1.295811042691767e+00
 1.880000000000000e+00,-1.254363688752609e+00
 1.890000000000000e+00,-1.035644265887998e+00
 1.900000000000000e+00,-6.811056571071034e-01
