Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Right.Leg.JointMomentMeasure.HipFlexion
 1.030000000000000e+00, 5.272092293049505e-01
 1.040000000000000e+00, 7.224724922583028e-01
 1.050000000000000e+00, 8.256782322922479e-01
 1.060000000000000e+00, 8.537753767694417e-01
 1.070000000000000e+00, 8.328782002305293e-01
 1.080000000000000e+00, 7.950010172904849e-01
 1.090000000000000e+00, 7.818604110960007e-01
 1.100000000000000e+00, 7.758939076767938e-01
 1.110000000000000e+00, 7.163797658902703e-01
 1.120000000000000e+00, 5.527711864461979e-01
 1.130000000000000e+00, 2.422688731802879e-01
 1.140000000000000e+00,-2.860160616192692e-01
 1.150000000000000e+00,-9.431922316352651e-01
 1.160000000000000e+00,-1.559197606575691e+00
 1.170000000000000e+00,-1.959462195061062e+00
 1.180000000000000e+00,-1.960007693216812e+00
 1.190000000000000e+00,-1.530586040608404e+00
 1.200000000000000e+00,-8.521212893820089e-01
 1.210000000000000e+00,-1.871502901420139e-01
 1.220000000000000e+00, 2.399500999080915e-01
 1.230000000000000e+00, 6.585130438605866e-01
 1.240000000000000e+00, 8.013625382690678e-01
 1.250000000000000e+00, 9.642617109919799e-01
 1.260000000000000e+00, 1.151227483410545e+00
 1.270000000000000e+00, 1.334093396020387e+00
 1.280000000000000e+00, 1.437089078450549e+00
 1.290000000000000e+00, 9.493213210132092e-01
 1.300000000000000e+00,-2.041202581969594e-01
 1.310000000000000e+00,-1.747500057768315e+00
 1.320000000000000e+00,-3.417523968858163e+00
 1.330000000000000e+00,-4.939058857877962e+00
 1.340000000000000e+00,-6.035924000512265e+00
 1.350000000000000e+00,-6.529346952737878e+00
 1.360000000000000e+00,-6.312045954814452e+00
 1.370000000000000e+00,-5.321549825798334e+00
 1.380000000000000e+00,-3.604615898212809e+00
 1.390000000000000e+00,-1.565079976745090e+00
 1.400000000000000e+00, 1.841173752830757e-01
 1.410000000000000e+00, 1.122847974191926e+00
 1.420000000000000e+00, 1.206714658545159e+00
 1.430000000000000e+00, 1.184379541939372e+00
 1.440000000000000e+00, 1.150391175712951e+00
 1.450000000000000e+00, 1.113471205990950e+00
 1.460000000000000e+00, 1.072426556528017e+00
 1.470000000000000e+00, 1.012406176678803e+00
 1.480000000000000e+00, 9.216201934954550e-01
 1.490000000000000e+00, 8.133969581250829e-01
 1.500000000000000e+00, 7.030265528978292e-01
 1.510000000000000e+00, 3.497459687437290e-01
 1.520000000000000e+00, 4.002361966445288e-02
 1.530000000000000e+00,-5.968804992461674e-02
 1.540000000000000e+00, 9.483387660476519e-02
 1.550000000000000e+00, 3.760985786550007e-01
 1.560000000000000e+00, 4.838985205134390e-01
 1.570000000000000e+00, 4.408459073490480e-01
 1.580000000000000e+00, 2.778634058274129e-01
 1.590000000000000e+00, 2.101556358457691e-02
 1.600000000000000e+00,-2.546720707440593e-01
 1.610000000000000e+00,-5.218907256110922e-01
 1.620000000000000e+00,-8.430724588492948e-01
 1.630000000000000e+00,-1.231256362565594e+00
 1.640000000000000e+00,-1.547936173510632e+00
 1.650000000000000e+00,-1.810565182305020e+00
 1.660000000000000e+00,-1.997863211576713e+00
 1.670000000000000e+00,-2.110147176073541e+00
 1.680000000000000e+00,-2.142284182160966e+00
 1.690000000000000e+00,-2.101206068223415e+00
 1.700000000000000e+00,-2.029979387861102e+00
 1.710000000000000e+00,-1.964704338620074e+00
 1.720000000000000e+00,-1.912187071841367e+00
 1.730000000000000e+00,-1.836468955537149e+00
 1.740000000000000e+00,-1.691045254890536e+00
 1.750000000000000e+00,-1.481456473992755e+00
 1.760000000000000e+00,-1.277038986148566e+00
