Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Right.ShoulderArm.InterfaceFolder.HipFlexion.Pos
 1.030000000000000e+00, 2.423603978663652e-02
 1.040000000000000e+00, 2.398211071370455e-02
 1.050000000000000e+00, 2.375298250464986e-02
 1.060000000000000e+00, 2.355511882247651e-02
 1.070000000000000e+00, 2.339147406886997e-02
 1.080000000000000e+00, 2.326278571045351e-02
 1.090000000000000e+00, 2.317114775873407e-02
 1.100000000000000e+00, 2.312405363589178e-02
 1.110000000000000e+00, 2.313454665756384e-02
 1.120000000000000e+00, 2.321616660276359e-02
 1.130000000000000e+00, 2.337651680634490e-02
 1.140000000000000e+00, 2.361323126458494e-02
 1.150000000000000e+00, 2.391281769194460e-02
 1.160000000000000e+00, 2.425144472278892e-02
 1.170000000000000e+00, 2.459763712191959e-02
 1.180000000000000e+00, 2.491778771977301e-02
 1.190000000000000e+00, 2.518325278667637e-02
 1.200000000000000e+00, 2.537461697955082e-02
 1.210000000000000e+00, 2.548178049878181e-02
 1.220000000000000e+00, 2.550403558757418e-02
 1.230000000000000e+00, 2.545247907284748e-02
 1.240000000000000e+00, 2.535234501123727e-02
 1.250000000000000e+00, 2.524243030238427e-02
 1.260000000000000e+00, 2.517062551298417e-02
 1.270000000000000e+00, 2.518622479168965e-02
 1.280000000000000e+00, 2.533075766059508e-02
 1.290000000000000e+00, 2.562912928436495e-02
 1.300000000000000e+00, 2.608265026074128e-02
 1.310000000000000e+00, 2.666581147709597e-02
 1.320000000000000e+00, 2.732859484911525e-02
 1.330000000000000e+00, 2.800471492077511e-02
 1.340000000000000e+00, 2.862409733071523e-02
 1.350000000000000e+00, 2.912630650995220e-02
 1.360000000000000e+00, 2.947163358888154e-02
 1.370000000000000e+00, 2.964838442752564e-02
 1.380000000000000e+00, 2.967569322213769e-02
 1.390000000000000e+00, 2.959914846656771e-02
 1.400000000000000e+00, 2.947743771045443e-02
 1.410000000000000e+00, 2.936590677978456e-02
 1.420000000000000e+00, 2.930643201498275e-02
 1.430000000000000e+00, 2.932542690526916e-02
 1.440000000000000e+00, 2.943545649480449e-02
 1.450000000000000e+00, 2.963761460334138e-02
 1.460000000000000e+00, 2.992445380766200e-02
 1.470000000000000e+00, 3.028338656635625e-02
 1.480000000000000e+00, 3.069965840192436e-02
 1.490000000000000e+00, 3.115787096391183e-02
 1.500000000000000e+00, 3.164213948354169e-02
 1.510000000000000e+00, 3.213608601482223e-02
 1.520000000000000e+00, 3.262453518796149e-02
 1.530000000000000e+00, 3.309830967595306e-02
 1.540000000000000e+00, 3.355975387081453e-02
 1.550000000000000e+00, 3.402318456036214e-02
 1.560000000000000e+00, 3.450845537566303e-02
 1.570000000000000e+00, 3.503250085890557e-02
 1.580000000000000e+00, 3.560371045440068e-02
 1.590000000000000e+00, 3.621991091504195e-02
 1.600000000000000e+00, 3.686864449072797e-02
 1.610000000000000e+00, 3.752833953929426e-02
 1.620000000000000e+00, 3.816979618872925e-02
 1.630000000000000e+00, 3.875852593279980e-02
 1.640000000000000e+00, 3.925851469645375e-02
 1.650000000000000e+00, 3.963673093337982e-02
 1.660000000000000e+00, 3.986687900857420e-02
 1.670000000000000e+00, 3.993138717003148e-02
 1.680000000000000e+00, 3.982139736323651e-02
 1.690000000000000e+00, 3.953529426612713e-02
 1.700000000000000e+00, 3.907731797359418e-02
 1.710000000000000e+00, 3.845738360140231e-02
 1.720000000000000e+00, 3.769085659671019e-02
 1.730000000000000e+00, 3.679642460562431e-02
 1.740000000000000e+00, 3.579316103243924e-02
 1.750000000000000e+00, 3.469985816012380e-02
 1.760000000000000e+00, 3.353046287299805e-02
 1.770000000000000e+00, 3.229614420061543e-02
 1.780000000000000e+00, 3.100039686608837e-02
 1.790000000000000e+00, 2.964132080675104e-02
 1.800000000000000e+00, 2.821388271757794e-02
 1.810000000000000e+00, 2.671052992561057e-02
 1.820000000000000e+00, 2.512000226245718e-02
 1.830000000000000e+00, 2.342889193638765e-02
 1.840000000000000e+00, 2.163745119903076e-02
 1.850000000000000e+00, 1.973660209988876e-02
 1.860000000000000e+00, 1.771913391512313e-02
 1.870000000000000e+00, 1.557839363225673e-02
 1.880000000000000e+00, 1.330978861922752e-02
 1.890000000000000e+00, 1.091870177187212e-02
 1.900000000000000e+00, 8.426314151057518e-03
 1.910000000000000e+00, 5.866327642882368e-03
 1.920000000000000e+00, 3.276149845920416e-03
 1.930000000000000e+00, 6.899100149704617e-04
 1.940000000000000e+00,-1.866926937312185e-03
 1.950000000000000e+00,-4.384053442298690e-03
 1.960000000000000e+00,-6.870853810580088e-03
 1.970000000000000e+00,-9.354674935210520e-03
 1.980000000000000e+00,-1.187373033913011e-02
 1.990000000000000e+00,-1.446871200054850e-02
 2.000000000000000e+00,-1.717607894739896e-02
 2.010000000000000e+00,-2.002467931703711e-02
 2.020000000000000e+00,-2.303619928667335e-02
 2.030000000000000e+00,-2.622741257500362e-02
 2.040000000000000e+00,-2.961166599578868e-02
 2.050000000000000e+00,-3.319955301496145e-02
 2.060000000000000e+00,-3.699944174567723e-02
 2.070000000000000e+00,-4.101739703116400e-02
 2.080000000000000e+00,-4.525702699129041e-02
 2.090000000000000e+00,-4.972060965917133e-02
 2.100000000000000e+00,-5.441061698926305e-02
 2.110000000000000e+00,-5.932918301213799e-02
 2.120000000000000e+00,-6.447594253926418e-02
 2.130000000000000e+00,-6.984736103625672e-02
 2.140000000000000e+00,-7.543797768102743e-02
 2.150000000000000e+00,-8.124229406800641e-02
 2.160000000000000e+00,-8.725397455005973e-02
 2.170000000000000e+00,-9.345464462477218e-02
 2.180000000000000e+00,-9.982931406654258e-02
 2.190000000000000e+00,-1.063580050373554e-01
 2.200000000000000e+00,-1.130154023258395e-01
