Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Right.ShoulderArm.InterfaceFolder.HipFlexion.Vel
 1.030000000000000e+00,-2.631881532474953e-02
 1.040000000000000e+00,-2.429101835804569e-02
 1.050000000000000e+00,-2.142806330593554e-02
 1.060000000000000e+00,-1.810027540727810e-02
 1.070000000000000e+00,-1.462881327427244e-02
 1.080000000000000e+00,-1.108942129209380e-02
 1.090000000000000e+00,-7.115958107566017e-03
 1.100000000000000e+00,-2.070199322604972e-03
 1.110000000000000e+00, 4.413611292228971e-03
 1.120000000000000e+00, 1.204775299918684e-02
 1.130000000000000e+00, 1.998495937466947e-02
 1.140000000000000e+00, 2.713027244136548e-02
 1.150000000000000e+00, 3.238247425864388e-02
 1.160000000000000e+00, 3.480208973505887e-02
 1.170000000000000e+00, 3.385306034888383e-02
 1.180000000000000e+00, 2.968534316920027e-02
 1.190000000000000e+00, 2.308348530194961e-02
 1.200000000000000e+00, 1.501672722460481e-02
 1.210000000000000e+00, 6.388133199531481e-03
 1.220000000000000e+00,-1.769359621969762e-03
 1.230000000000000e+00,-8.129940377646786e-03
 1.240000000000000e+00,-1.124657125131950e-02
 1.250000000000000e+00,-9.923278158276311e-03
 1.260000000000000e+00,-3.594741286569442e-03
 1.270000000000000e+00, 7.429718084839792e-03
 1.280000000000000e+00, 2.191219017228135e-02
 1.290000000000000e+00, 3.779554582799995e-02
 1.300000000000000e+00, 5.247987047628604e-02
 1.310000000000000e+00, 6.329806216359386e-02
 1.320000000000000e+00, 6.812131137853278e-02
 1.330000000000000e+00, 6.590126278669409e-02
 1.340000000000000e+00, 5.694523791418024e-02
 1.350000000000000e+00, 4.282763875760368e-02
 1.360000000000000e+00, 2.605104442826834e-02
 1.370000000000000e+00, 9.648691960868167e-03
 1.380000000000000e+00,-3.367503417805692e-03
 1.390000000000000e+00,-1.089733788290930e-02
 1.400000000000000e+00,-1.248601926193363e-02
 1.410000000000000e+00,-9.118860850215035e-03
 1.420000000000000e+00,-2.345504420469953e-03
 1.430000000000000e+00, 6.341256711266108e-03
 1.440000000000000e+00, 1.566795933433689e-02
 1.450000000000000e+00, 2.462316940180524e-02
 1.460000000000000e+00, 3.252032159612136e-02
 1.470000000000000e+00, 3.901121113800088e-02
 1.480000000000000e+00, 4.398240137313023e-02
 1.490000000000000e+00, 4.739274742577290e-02
 1.500000000000000e+00, 4.918172483531123e-02
 1.510000000000000e+00, 4.933894579840740e-02
 1.520000000000000e+00, 4.817892444541369e-02
 1.530000000000000e+00, 4.661336100636788e-02
 1.540000000000000e+00, 4.593609921276789e-02
 1.550000000000000e+00, 4.710817701349553e-02
 1.560000000000000e+00, 5.024511645035747e-02
 1.570000000000000e+00, 5.471004867595331e-02
 1.580000000000000e+00, 5.949592868042660e-02
 1.590000000000000e+00, 6.353506649211524e-02
 1.600000000000000e+00, 6.585063445391497e-02
 1.610000000000000e+00, 6.559796035095998e-02
 1.620000000000000e+00, 6.211018763579495e-02
 1.630000000000000e+00, 5.502496733534819e-02
 1.640000000000000e+00, 4.441496080551142e-02
 1.650000000000000e+00, 3.078927523859836e-02
 1.660000000000000e+00, 1.495413608380151e-02
 1.670000000000000e+00,-2.187030217797392e-03
 1.680000000000000e+00,-1.982319685201115e-02
 1.690000000000000e+00,-3.731493656781885e-02
 1.700000000000000e+00,-5.410163367704948e-02
 1.710000000000000e+00,-6.960667704024164e-02
 1.720000000000000e+00,-8.336023875215630e-02
 1.730000000000000e+00,-9.518679165529566e-02
 1.740000000000000e+00,-1.051467180453967e-01
 1.750000000000000e+00,-1.133972943182624e-01
 1.760000000000000e+00,-1.203017979556768e-01
 1.770000000000000e+00,-1.265097017210920e-01
 1.780000000000000e+00,-1.326791972646560e-01
 1.790000000000000e+00,-1.392205274292455e-01
 1.800000000000000e+00,-1.463929376251629e-01
 1.810000000000000e+00,-1.544449864595803e-01
 1.820000000000000e+00,-1.639912531233555e-01
 1.830000000000000e+00,-1.740813978577834e-01
 1.840000000000000e+00,-1.844484744776677e-01
 1.850000000000000e+00,-1.958116551589863e-01
 1.860000000000000e+00,-2.078000900123322e-01
 1.870000000000000e+00,-2.204505250112332e-01
 1.880000000000000e+00,-2.332013986681421e-01
 1.890000000000000e+00,-2.446514384413364e-01
 1.900000000000000e+00,-2.532351880563118e-01
 1.910000000000000e+00,-2.581200480790933e-01
 1.920000000000000e+00,-2.593339111888014e-01
 1.930000000000000e+00,-2.574695955719792e-01
 1.940000000000000e+00,-2.537107414352896e-01
 1.950000000000000e+00,-2.498764756625358e-01
 1.960000000000000e+00,-2.479614176089385e-01
 1.970000000000000e+00,-2.494643013524983e-01
 1.980000000000000e+00,-2.550443350038718e-01
 1.990000000000000e+00,-2.645694776603049e-01
 2.000000000000000e+00,-2.773823362854723e-01
 2.010000000000000e+00,-2.926913716986392e-01
 2.020000000000000e+00,-3.098882785070628e-01
 2.030000000000000e+00,-3.285754918140797e-01
 2.040000000000000e+00,-3.484497675119051e-01
 2.050000000000000e+00,-3.692675709980708e-01
 2.060000000000000e+00,-3.908126744933096e-01
 2.070000000000000e+00,-4.128349368290382e-01
 2.080000000000000e+00,-4.351231525727992e-01
 2.090000000000000e+00,-4.576362416047849e-01
 2.100000000000000e+00,-4.804088802726376e-01
 2.110000000000000e+00,-5.033002427403347e-01
 2.120000000000000e+00,-5.259878131906346e-01
 2.130000000000000e+00,-5.482019113217249e-01
 2.140000000000000e+00,-5.698150841078410e-01
 2.150000000000000e+00,-5.910176624997197e-01
 2.160000000000000e+00,-6.109133280365605e-01
 2.170000000000000e+00,-6.290341944244535e-01
 2.180000000000000e+00,-6.455517515901925e-01
 2.190000000000000e+00,-6.597669255385713e-01
 2.200000000000000e+00,-6.712070265879793e-01
 2.210000000000000e+00,-6.792623610670878e-01
 2.220000000000000e+00,-6.830172938861495e-01
 2.230000000000000e+00,-6.812159469847152e-01
 2.240000000000000e+00,-6.726461271457729e-01
 2.250000000000000e+00,-6.566279032353033e-01
 2.260000000000000e+00,-6.331637604938332e-01
 2.270000000000000e+00,-6.028378565372564e-01
 2.280000000000000e+00,-5.667373468827464e-01
 2.290000000000000e+00,-5.263108757870750e-01
 2.300000000000000e+00,-4.830691306627518e-01
 2.310000000000000e+00,-4.383819274022841e-01
 2.320000000000000e+00,-3.934249908317793e-01
 2.330000000000000e+00,-3.489476832375225e-01
 2.340000000000000e+00,-3.048777547872123e-01
 2.350000000000000e+00,-2.601222920878746e-01
 2.360000000000000e+00,-2.125452381272401e-01
 2.370000000000000e+00,-1.590019086097611e-01
 2.380000000000000e+00,-9.582490443209851e-02
 2.390000000000000e+00,-1.982194695650809e-02
 2.400000000000000e+00, 7.109719019878773e-02
 2.410000000000000e+00, 1.780300696749613e-01
 2.420000000000000e+00, 3.012187037333453e-01
 2.430000000000000e+00, 4.400290414242832e-01
 2.440000000000000e+00, 5.931235412992522e-01
 2.450000000000000e+00, 7.585074927607579e-01
 2.460000000000000e+00, 9.333683396301393e-01
 2.470000000000000e+00, 1.114295291010025e+00
 2.480000000000000e+00, 1.297567728852870e+00
 2.490000000000000e+00, 1.478822319391153e+00
 2.500000000000000e+00, 1.652724374611796e+00
 2.510000000000000e+00, 1.813361915083071e+00
 2.520000000000000e+00, 1.954792740225698e+00
 2.530000000000000e+00, 2.071520358957647e+00
 2.540000000000000e+00, 2.159670891757249e+00
 2.550000000000000e+00, 2.218804303854863e+00
 2.560000000000000e+00, 2.250972155170406e+00
 2.570000000000000e+00, 2.261275419092940e+00
 2.580000000000000e+00, 2.256262946679730e+00
 2.590000000000000e+00, 2.241306855420004e+00
 2.600000000000000e+00, 2.221310374491254e+00
 2.609999999999999e+00, 2.199924735422623e+00
 2.620000000000000e+00, 2.179541040617973e+00
 2.630000000000000e+00, 2.161441688410823e+00
 2.640000000000000e+00, 2.145683561647417e+00
 2.650000000000000e+00, 2.131357878059296e+00
 2.660000000000000e+00, 2.117187171594581e+00
 2.670000000000000e+00, 2.101846766321496e+00
 2.680000000000000e+00, 2.084162155860395e+00
 2.690000000000000e+00, 2.063063254365992e+00
 2.700000000000000e+00, 2.037476247102827e+00
 2.710000000000000e+00, 2.006246412294569e+00
 2.720000000000000e+00, 1.968128254552080e+00
